Predictor variable,Categorical,Sample average
alt,false,253.14285714285714
alt,false,253.14285714285714
bio1,false,138.14285714285714
bio1,false,138.14285714285714
bio10,false,240.33333333333334
bio10,false,240.33333333333334
bio11,false,26.857142857142858
bio11,false,26.857142857142858
bio12,false,1325.5714285714287
bio12,false,1325.5714285714287
bio13,false,141.95238095238096
bio13,false,141.95238095238096
bio14,false,79.52380952380952
bio14,false,79.52380952380952
bio15,false,16.095238095238095
bio15,false,16.095238095238095
bio16,false,390.42857142857144
bio16,false,390.42857142857144
bio17,false,267.4761904761905
bio17,false,267.4761904761905
bio18,false,311.5238095238095
bio18,false,311.5238095238095
bio19,false,338.95238095238096
bio19,false,338.95238095238096
bio2,false,125.33333333333333
bio2,false,125.33333333333333
bio3,false,35.04761904761905
bio3,false,35.04761904761905
bio4,false,8247.095238095239
bio4,false,8247.095238095239
bio5,false,311.3809523809524
bio5,false,311.3809523809524
bio6,false,-42.0
bio6,false,-42.0
bio7,false,353.3809523809524
bio7,false,353.3809523809524
bio8,false,114.95238095238095
bio8,false,114.95238095238095
bio9,false,180.38095238095238
bio9,false,180.38095238095238
mask,true,50.0
