Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.42774E-7,0.000014277,0.000021468,1,0,0
1.43962E-7,0.000028674,0.000021646,0.997641509,0,0
1.78462E-7,0.000062954,0.000026833,0.992924528,0,0
3.17719E-7,0.000119408,0.000047772,0.988207547,0,0
5.12894E-7,0.000262678,0.000077117,0.981132075,0,0
6.77432E-7,0.000567721,0.000101855,0.969339623,0,0
1.33992E-6,0.001115282,0.000201453,0.95754717,0,0
2.26318E-6,0.002522277,0.000340238,0.938679245,0,0
2.73425E-6,0.005003228,0.000411043,0.91509434,0,0
5.13966E-6,0.010410832,0.000772512,0.884433962,0,0
9.06807E-6,0.025242192,0.001362565,0.837264151,0,0
1.61274E-5,0.050217844,0.002422011,0.79009434,0,0
3.30448E-5,0.100934047,0.004956366,0.740566038,0,0
7.44525E-5,0.206357371,0.011132405,0.695754717,0,0
9.59646E-5,0.306230492,0.014325834,0.66745283,0,0
1.16905E-4,0.402491176,0.017424421,0.646226415,0,0
1.36591E-4,0.504346798,0.020328668,0.627358491,0,0
1.79789E-4,0.615369276,0.026671335,0.610849057,0,0
1.96484E-4,0.71087911,0.029111565,0.599056604,0,0
2.03313E-4,0.751499405,0.030108072,0.594339623,0,0
2.14622E-4,0.813926835,0.031755918,0.587264151,0,0
2.53514E-4,0.9059495,0.037401572,0.577830189,0,0
2.97901E-4,1.019424495,0.04380456,0.568396226,0,0
3.08615E-4,1.111105569,0.045343767,0.561320755,0,0
3.53645E-4,1.213601966,0.051785789,0.554245283,0,0
3.78676E-4,1.323472308,0.055347853,0.547169811,0,0
3.9088E-4,1.438852698,0.057079737,0.54009434,0,0
3.94698E-4,1.517654303,0.057620801,0.535377358,0,0
4.31975E-4,1.769751436,0.062888158,0.521226415,0,0
4.76024E-4,2.002439313,0.069074392,0.509433962,0,0
5.16051E-4,2.298505263,0.074660446,0.495283019,0,0
5.44937E-4,2.513958092,0.07867076,0.485849057,0,0
5.93951E-4,2.797219252,0.085435854,0.474056604,0,0
6.4028E-4,3.049012936,0.091784624,0.464622642,0,0
6.78389E-4,3.315893161,0.096974024,0.455188679,0,0
6.95546E-4,3.523189793,0.099300668,0.448113208,0,0
7.94215E-4,3.824304578,0.112564816,0.438679245,0,0
8.23554E-4,4.069780004,0.116471115,0.431603774,0,0
8.89964E-4,4.327529735,0.125249639,0.424528302,0,0
8.98397E-4,4.506470645,0.126358179,0.419811321,0,0
9.87787E-4,4.788324575,0.138022179,0.412735849,0,0
1.08047E-3,5.10138434,0.149951122,0.405660377,0,0
1.11267E-3,5.322299892,0.154056942,0.400943396,0,0
1.11629E-3,5.545330103,0.154517588,0.396226415,0,0
1.13882E-3,5.772786676,0.157377121,0.391509434,0,0
1.14977E-3,6.00215275,0.158763198,0.386792453,0,0
1.22546E-3,6.357316774,0.168283148,0.379716981,0,0
1.2495E-3,6.605566877,0.171283659,0.375,0,0
1.31848E-3,6.865475561,0.17983463,0.370283019,0,0
1.36258E-3,7.001733479,0.185255065,0.367924528,0,0
1.39129E-3,7.278801813,0.188764355,0.363207547,0,0
1.42363E-3,7.561127432,0.192699837,0.358490566,0.038461538,0
