Predictor variable,Categorical,Sample average
alt,false,541.3171806167401
alt,false,541.3171806167401
bio1,false,77.3215859030837
bio1,false,77.3215859030837
bio10,false,208.1013215859031
bio10,false,208.1013215859031
bio11,false,-64.47136563876651
bio11,false,-64.47136563876651
bio12,false,691.7577092511013
bio12,false,691.7577092511013
bio13,false,98.2466960352423
bio13,false,98.2466960352423
bio14,false,23.26872246696035
bio14,false,23.26872246696035
bio15,false,47.53303964757709
bio15,false,47.53303964757709
bio16,false,265.3832599118943
bio16,false,265.3832599118943
bio17,false,84.16740088105728
bio17,false,84.16740088105728
bio18,false,245.84581497797356
bio18,false,245.84581497797356
bio19,false,84.83700440528635
bio19,false,84.83700440528635
bio2,false,128.73568281938327
bio2,false,128.73568281938327
bio3,false,29.462555066079297
bio3,false,29.462555066079297
bio4,false,10542.017621145375
bio4,false,10542.017621145375
bio5,false,292.3436123348018
bio5,false,292.3436123348018
bio6,false,-140.88546255506608
bio6,false,-140.88546255506608
bio7,false,433.22907488986783
bio7,false,433.22907488986783
bio8,false,181.24669603524228
bio8,false,181.24669603524228
bio9,false,-56.52422907488987
bio9,false,-56.52422907488987
mask,true,50.0
