Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.13716E-7,0.000081372,0.000313621,1,0,0
9.09922E-7,0.000172364,0.000350694,0.999223602,0,0
9.13793E-7,0.000263743,0.000352186,0.998447205,0,0
1.18821E-6,0.000593806,0.000457926,0.996118012,0,0
1.24783E-6,0.001087509,0.000480894,0.993012422,0,0
1.39742E-6,0.00255795,0.00053853,0.98447205,0,0
1.88103E-6,0.005056591,0.000724832,0.972826087,0,0
2.68665E-6,0.010049255,0.001035109,0.955745342,0,0
4.11716E-6,0.025179884,0.001585817,0.920807453,0,0
6.22034E-6,0.050464486,0.002394935,0.882763975,0,0
1.08882E-5,0.100297486,0.004188356,0.836180124,0,0
1.75718E-5,0.200895899,0.006750663,0.781055901,0,0
2.6397E-5,0.300597261,0.010123873,0.744565217,0,0
3.2806E-5,0.401605191,0.012566399,0.718167702,0,0
4.1046E-5,0.501225958,0.015697846,0.697204969,0,0
4.64603E-5,0.602041857,0.017750049,0.679347826,0,0
5.05203E-5,0.704080301,0.019286085,0.663043478,0,0
5.28535E-5,0.751054732,0.020167753,0.656055901,0,0
5.62579E-5,0.800261786,0.021452748,0.649068323,0,0
6.46427E-5,0.903782043,0.024610481,0.635869565,0,0
6.91174E-5,1.004243018,0.026291488,0.624223602,0,0
7.43798E-5,1.105727039,0.028264675,0.613354037,0,0
8.00321E-5,1.205775174,0.03037964,0.60326087,0,0
8.32678E-5,1.303999929,0.031588277,0.593944099,0,0
8.79592E-5,1.407595394,0.033338017,0.584627329,0,0
9.2164E-5,1.507702027,0.034903554,0.576086957,0,0
9.99598E-5,1.757199826,0.037799436,0.555900621,0,0
1.10281E-4,2.010339647,0.04162018,0.537267081,0,0
1.19156E-4,2.250166058,0.044893195,0.520962733,0,0
1.28932E-4,2.511367082,0.048485561,0.504658385,0,0
1.4244E-4,2.757404565,0.053427372,0.49068323,0,0
1.54102E-4,3.010152042,0.057672985,0.477484472,0,0
