X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-110.2976,31.3874,train,8.281806858830797E-4,48.07682716107035,0.6499812559853855
-113.492386,35.961296,train,5.92495424147531E-4,39.910898811155576,0.5281166202286447
-110.904,33.8048,train,0.0032494851279749764,86.07337468186995,0.9837378803735392
-113.843,36.2467,train,1.3381966211415913E-4,10.02344439199225,0.15601826744722735
-108.66667,27.35,train,1.0669941382509912E-4,7.672272394820162,0.12650064789601556
-108.983611,29.860278,train,5.646174184626818E-4,38.97067445400972,0.511143535126015
-112.661,34.1649,train,0.0013960960047100994,61.2865820488291,0.8296048654490258
-105.2999575,23.83332957,train,5.149446173510364E-4,36.709668895292474,0.47937387905906825
-111.423,35.2019,train,0.0010712616187467327,55.196467805372684,0.7427966336333969
-108.664673,33.373758,train,0.002243978099257319,75.43456222483717,0.9418294754737582
-111.039,33.8775,train,0.0033718612910046803,87.07308433189156,0.9860745326773663
-109.2631,31.9226,train,0.0021481225414468077,74.11735123382522,0.9343142879113495
-108.166667,28.066667,train,0.0010050179091563676,53.37836500564047,0.7202671763896549
-111.7697,35.0032,train,0.003643637217698343,88.50768572737303,0.990132691738366
-108.869722,28.343056,train,0.0020594974825822033,72.85019989672286,0.9265048810912366
-106.536,32.67606,train,1.5050563612059142E-4,11.6379651925989,0.17368142759112137
-113.774,35.1794,train,8.193322425050179E-4,47.71555082708452,0.646033371546581
-109.484,33.9588,train,0.005916786218990938,96.61024606138815,0.9994468495597533
-112.18045,34.74789,train,8.609068505847345E-4,49.005930250552154,0.664203831160348
-105.7368755,33.46098946,train,0.0015807463025434086,64.89780395405052,0.865163253663967
-113.48951,36.25809,train,9.200031007957574E-4,51.2554093005453,0.6884386395875489
-110.7748,31.8259,train,0.003582537855632461,87.78485950327138,0.9893381260686656
-108.3333,29.98333,train,4.64654362180486E-4,34.56876231141209,0.44510546236273707
-109.553,33.9017,train,0.005205079988116031,94.91644031155478,0.9986365681228598
-110.854,33.3178,train,0.0019206005126804887,70.65236664196745,0.9123563453527597
-113.3,34.8,train,0.0013024642225778268,59.838841515768934,0.8081327077263866
-111.68,35.33,train,0.008047761874075849,98.95636369081537,0.9999628675643617
-111.837778,35.021944,train,0.002399294236169197,77.77213457251375,0.9522248190103001
-108.6898953,33.38124496,train,8.640260697304478E-4,49.184335153576136,0.6655288797984342
-107.701071,27.74821426,train,0.0016040514367202884,65.17967408786382,0.8690881614749232
-102.5498481,28.98326051,train,6.33920749956337E-4,42.02659274444656,0.5522554811827918
-111.6825,35.34083,train,0.010436371276637315,99.9999874502781,0.9999982018011428
-109.048,28.372,train,5.918776111671435E-4,39.83469217828997,0.5277469365808778
-113.8988,35.0892,train,0.0031686174508777022,85.4243985824972,0.9819825078306424
-111.91627,36.14834,train,3.259990565980468E-4,25.260843941114633,0.3384854562331836
-109.97,32.71,train,0.0018093142320327604,67.59331086601745,0.8990786769265521
-107.945,33.204,train,9.230965681927618E-4,51.40110824595173,0.6896579279072285
-112.15,34.7,train,8.855717113922943E-4,50.166624066896624,0.6745398104344071
-111.652,35.3419,train,0.0031634060455940473,85.10767568080404,0.9818630944830558
-110.921,33.8336,train,0.002729203250998096,81.33768288455742,0.9685522681009564
-107.749,32.535,train,3.2415063288021264E-4,25.045755711822572,0.33693371868015076
-110.7596,32.4427,train,0.007815281240164484,98.1515909780783,0.9999501422486881
-111.015895,34.315452,train,0.002494314359617074,79.25486384009646,0.9576460118981609
-110.188,32.8842,train,0.0016654550115989958,65.87850756088552,0.8788909471183918
-111.75,34.992,train,0.0025420908982848366,79.76111474079721,0.9601348317930001
-111.621,35.261,train,0.005297572407695225,95.44620080220223,0.9987874018555721
-110.843663,37.056035,train,1.9159392915452545E-4,15.296020652314033,0.21561614601494516
-111.50444,35.16667,train,0.004632969486630749,93.44906983536936,0.9971843609499876
-112.506,36.8947,train,2.6879800359218406E-4,21.237388995599332,0.2887402265821821
-112.317,34.1536,train,0.00231068562792555,76.12170467594127,0.9465459187409646
-109.0163449,32.943652,train,1.9298415203372244E-4,15.395849063409093,0.21699716276726433
-102.61667,29.11667,train,5.601214486007902E-4,38.59668701168736,0.5083496321956782
-111.389346,34.115277,train,0.0020720732056387103,73.05751373866264,0.9276671405697035
-112.885,34.948,train,0.0011668933973036652,57.33401150842556,0.7721589858027753
-112.661,34.2506,train,0.0021540342951257255,74.33270085291875,0.9348046642809861
-113.158072,37.50666,train,7.948932806285063E-4,47.07563956589541,0.634896642324401
-108.07938,33.35048,train,2.4878765597049373E-4,19.73345166036632,0.27046887051235236
-107.5719393,27.62135093,train,0.0011251585148850326,56.29743710032607,0.7597813524302396
-112.208453,35.200095,train,0.0023207449367529257,76.35402745600726,0.9472231728142368
-108.3166731,28.18361944,train,0.001724514431419575,66.23423248554303,0.8876262853276916
-112.018387,36.231004,train,0.004586340053936371,92.9857785238901,0.9970129244025943
-109.8609,32.6579,train,8.234467166443591E-4,47.8287862327031,0.6478746230723695
-110.478,36.712,train,6.172327056053114E-4,41.2398093670387,0.5426834164956487
-104.0833278,29.18330653,train,3.594016582981869E-5,1.6871065064011328,0.04453420178076284
-111.237,33.7551,train,7.903564167854423E-4,46.95119964427483,0.6327909767429236
-112.57466,35.0554,train,2.5272604394712577E-4,20.017346231758342,0.2741017184076586
-107.0843566,34.43435046,train,5.113990399547516E-5,2.8560134688655285,0.0627665561728803
-103.1281926,23.45059054,train,3.052367280161731E-5,1.3762881781102367,0.037951661433219264
-113.912,34.9681,train,0.0033238536814037406,86.73592126741089,0.9852008186830791
-111.163333,34.547556,train,0.003731263870641022,89.2613511070111,0.9911699994974952
-112.975,36.9903,train,3.3200819094474917E-4,25.734604622559964,0.343505029896222
-109.0192797,33.82660903,train,8.299088799295822E-4,48.15619644154679,0.6507471641191748
-106.554317,32.351993,train,2.1778047217616147E-4,17.48631267727951,0.24122484114652187
-109.143,33.9206,train,0.0022144143321979758,75.2102117147436,0.9396082432103273
-109.3464,31.8539,train,0.0010931592536140566,55.651331994053976,0.7498375471047829
-110.7834,33.6284,train,0.002942697893766073,83.87587674995781,0.9760082594058075
-107.50089,27.37211,train,7.345093010261217E-4,45.020968338746904,0.6058542391452826
-107.1596363,33.97908131,train,1.4447444012738453E-4,11.075721016445073,0.16734009471402156
-105.8499839,25.06666581,train,4.1628971930417126E-4,31.19345594714496,0.41002323660649775
-110.415,31.4964,train,0.002038392007423841,72.43909787504533,0.9245121703049963
-108.0332667,28.43322651,train,9.021034627982989E-4,50.7145051452247,0.6812888634019503
-111.22472,34.43056,train,0.0022916065864365797,75.89065364884776,0.945237436221919
-104.361,32.284548,train,1.941999910893467E-4,15.483155410388791,0.21820295721805294
-112.74,34.2526,train,0.0037313617866804277,89.6200483683384,0.9911710953600421
-106.4994125,28.79493064,train,1.2436568171200933E-4,9.243653967797071,0.14584358198648684
-110.82056,33.28222,train,0.0024753667661156684,78.757319868408,0.9566164735065025
-113.345,34.7989,train,0.0018856302466700255,69.31946993146144,0.9083839825792022
-107.5824766,27.1429496,train,4.595931065413871E-4,34.287668736980606,0.4415341237228131
-111.85,35.40806,train,0.007598009074087074,97.37005814254823,0.99993433412084
-111.462279,35.35177,train,4.991596722711213E-4,36.07924498686412,0.4688520921402075
-109.36,33.77,train,0.002052560572996815,72.64434185811386,0.9258557928182243
-106.7225618,25.36849648,train,2.98717290756546E-4,23.469248719403073,0.3152093028952334
-110.7871,33.3942,train,0.0018768187869346404,69.03576049977694,0.9073549826977018
-110.86667,31.72583,train,9.353360616410166E-4,51.7672787946129,0.6944355086810832
-111.69441,34.46508,train,0.0013442963346025822,60.43557995719541,0.8180413902866044
-108.7001167,27.300429,train,1.0757084310248068E-4,7.7311875671656125,0.12746497276336655
-112.13889,36.05556,train,0.0019196788467646618,70.61411037273442,0.9122538943567017
-106.491667,31.900556,train,5.827075730449545E-5,3.5017891817092717,0.0711998353971669
-111.023426,34.365686,train,0.003962124141170138,90.40777513966862,0.9934101811096119
-112.7396,34.1657,train,4.206501952018513E-4,31.585356017739525,0.41327513981245945
-109.17324,36.14768,train,4.716743292732472E-4,34.83091454686029,0.45002113781262865
-114.13826,35.39778,train,8.001346598147575E-4,47.25874006008857,0.6373142620999208
-102.1051312,27.59993198,train,2.3816037703700005E-4,19.045856469100464,0.26057507823774095
-109.0667,36.45,train,0.00185950095752511,68.56877853213186,0.9052988109156865
-109.0706,35.7333,train,1.9737273268703335E-4,15.833083621840318,0.22134074956314964
-113.557626,36.370509,train,0.00127772484584586,59.243208176295866,0.8020206787312346
-106.571831,32.32273728,train,2.0601724474025678E-4,16.599516738382853,0.22982628390924298
-108.2434388,32.78934028,train,3.2328353223110804E-4,24.971501446619172,0.3362045405878099
-107.657711,27.75304635,train,9.442435341764162E-4,52.064142235725704,0.6978661585470953
-110.9125,34.40641,train,0.004828940378788862,94.39593285317353,0.9978036773907101
-113.565,37.1047,train,3.2356206138187685E-4,24.988529967245878,0.3364388537789469
-112.089,36.4089,train,0.0046396335511265764,93.91304734925288,0.9972080447653396
-104.773368,32.10070519,train,5.036583175245143E-4,36.26102258964654,0.4718722388525324
