Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.92794E-8,0.000003928,0.000197552,1,0,0
5.63126E-8,0.000015176,0.000283207,0.999801469,0,0
7.10381E-8,0.000028255,0.000357251,0.999602938,0,0
8.56967E-8,0.00005207,0.000430953,0.999305142,0,0
1.30464E-7,0.00010682,0.000656007,0.998808815,0,0
2.29561E-7,0.000265719,0.001154006,0.997915426,0,0
3.16951E-7,0.000519398,0.001592963,0.997022037,0,0
4.22995E-7,0.001005854,0.002125365,0.995731586,0,0
6.87138E-7,0.002553091,0.003450276,0.992952154,0,0
1.06878E-6,0.005037191,0.005361454,0.990172722,0,0
1.53558E-6,0.010006408,0.007694051,0.986400635,0,0
2.27539E-6,0.025222105,0.011379778,0.978558666,0,0
2.90052E-6,0.0502287,0.014483418,0.969029184,0,0
3.54367E-6,0.100321978,0.017666428,0.953643041,0,0
4.72738E-6,0.200074833,0.023497811,0.929521541,0,0
5.78995E-6,0.300424399,0.028702908,0.910661108,0.00295858,0
6.80846E-6,0.400597779,0.033666168,0.894778638,0.00295858,0
7.86745E-6,0.500016672,0.038799769,0.881278539,0.00591716,0
8.87388E-6,0.600628624,0.043653317,0.869366687,0.00591716,0
9.76625E-6,0.7001505,0.047936281,0.858745285,0.00591716,0
1.0091E-5,0.750940257,0.049490099,0.853682748,0.00591716,0
1.04875E-5,0.800377076,0.051383872,0.848918007,0.00591716,0
1.12103E-5,0.901117758,0.054826394,0.839686321,0.00887574,0
1.196E-5,1.00059731,0.058383794,0.831149494,0.00887574,0
1.27521E-5,1.100713744,0.062128203,0.823108993,0.00887574,0
1.34243E-5,1.200173845,0.065293951,0.81556482,0.01183432,0
1.41181E-5,1.300752415,0.068550184,0.808318444,0.014792899,0
1.46606E-5,1.400115642,0.071088091,0.801469128,0.020710059,0
1.52162E-5,1.500413351,0.073680709,0.794818344,0.020710059,0
1.66386E-5,1.751561582,0.080284413,0.779233671,0.020710059,0
1.79641E-5,2.001265539,0.086395951,0.764939448,0.029585799,0
1.9066E-5,2.251337093,0.091445453,0.751538614,0.032544379,0
2.01872E-5,2.500861226,0.096554662,0.738931904,0.032544379,0
2.12664E-5,2.751846878,0.101445458,0.726920786,0.035502959,0
2.2056E-5,3.00092832,0.105007084,0.715505261,0.035502959,0
2.32861E-5,3.252141475,0.110527611,0.704486798,0.035502959,0
2.43018E-5,3.502420618,0.115060428,0.694063927,0.041420118,0
2.55039E-5,3.751261168,0.120394715,0.684137383,0.041420118,0
2.65047E-5,4.000974424,0.124811677,0.674607902,0.044378698,0
2.77845E-5,4.250506362,0.130427339,0.665475481,0.047337278,0
2.87553E-5,4.501612412,0.134663376,0.656640858,0.050295858,0
2.98854E-5,4.751500303,0.139568166,0.648203296,0.050295858,0
3.08272E-5,5.000495473,0.14363432,0.64006353,0.050295858,0
3.18032E-5,5.250887301,0.147828394,0.632122295,0.053254438,0
3.28297E-5,5.502818372,0.152216891,0.624379591,0.053254438,0
3.38646E-5,5.753109214,0.156618435,0.616934683,0.053254438,0
3.47485E-5,6.000001423,0.160359654,0.609787572,0.053254438,0
3.59342E-5,6.251097242,0.165352545,0.602739726,0.053254438,0
3.69914E-5,6.503177666,0.169778919,0.595890411,0.053254438,0
3.79989E-5,6.750863611,0.173975622,0.589338892,0.053254438,0
3.90441E-5,7.001287593,0.178306739,0.582886639,0.053254438,0
4.03063E-5,7.250973808,0.183506914,0.576632916,0.059171598,0
4.12163E-5,7.50377931,0.187235868,0.570478459,0.062130178,0
4.23161E-5,7.750262374,0.19171941,0.564621799,0.062130178,0
4.33129E-5,8.00288628,0.195761956,0.558765138,0.062130178,0
4.4287E-5,8.252525071,0.199692819,0.553107008,0.062130178,0
4.53361E-5,8.503192296,0.203904715,0.547548144,0.062130178,0
4.64366E-5,8.751284851,0.208299122,0.54218781,0.062130178,0
4.7635E-5,9.000901228,0.213057237,0.536926742,0.062130178,0
4.86723E-5,9.251084977,0.217152208,0.531764939,0.065088757,0
4.95997E-5,9.501464188,0.220795493,0.526702402,0.073964497,0
5.0374E-5,9.751504029,0.223824295,0.52173913,0.079881657,0
5.12167E-5,10.000358172,0.227107484,0.516875124,0.085798817,0
5.19851E-5,10.253164371,0.230089028,0.512011118,0.085798817,0
5.26619E-5,10.504256294,0.232705368,0.507246377,0.088757396,0
5.34803E-5,10.753815877,0.235857537,0.502580901,0.088757396,0
5.43957E-5,11.002306147,0.239367951,0.498014691,0.088757396,0
5.52228E-5,11.254460246,0.2425257,0.493448481,0.088757396,0
5.5943E-5,11.504591157,0.245264467,0.488981537,0.088757396,0
5.67102E-5,11.752370144,0.248171488,0.484613857,0.091715976,0
5.75127E-5,12.003938043,0.251200146,0.480246178,0.094674556,0
5.81179E-5,12.252568253,0.25347627,0.475977765,0.097633136,0
5.88921E-5,12.504262851,0.256377701,0.471709351,0.103550296,0
5.98999E-5,12.753641891,0.260137461,0.467540203,0.103550296,0
6.07189E-5,13.001042354,0.263179218,0.46347032,0.109467456,0
6.1462E-5,13.251589322,0.265927878,0.459400437,0.109467456,0
6.21778E-5,13.504833306,0.268566153,0.455330554,0.115384615,0
6.2899E-5,13.754889035,0.271214643,0.451359936,0.118343195,0
6.38203E-5,14.00214933,0.274584269,0.447488584,0.127218935,0
6.46592E-5,14.252709456,0.277638531,0.443617232,0.127218935,0
6.56404E-5,14.500398312,0.281194809,0.439845146,0.127218935,0
6.62333E-5,14.750840272,0.283335392,0.436073059,0.127218935,0
6.70774E-5,15.004333232,0.28637163,0.432300973,0.130177515,0
6.79577E-5,15.254052404,0.289524596,0.428628152,0.133136095,0
6.86621E-5,15.506794753,0.292037516,0.424955331,0.133136095,0
6.9814E-5,15.755896284,0.296127274,0.421381775,0.133136095,0
7.05395E-5,16.001478499,0.298691199,0.417907485,0.136094675,0
7.15719E-5,16.250282145,0.302323835,0.414433194,0.136094675,0
7.23645E-5,16.5023294,0.305099468,0.410958904,0.139053254,0
