Predictor variable,Categorical,Sample average
BIOCLIM_1,false,79.375
BIOCLIM_12,false,1532.0625
BIOCLIM_17,false,61.3125
BIOCLIM_7,false,247.8125
GTOPO30_ELEVATION,false,987.125
GTOPO30_SLOPE_reduced,false,7.3125
ISRICSOILGRIDS_new_average_coarsefragmentpercent_reduced,false,22.625
ISRICSOILGRIDS_new_average_phx10percent_reduced,false,53.125
ISRICSOILGRIDS_new_average_sandpercent_reduced,false,38.25
ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced,false,50.25
LandCover_1_Needleleaf,false,87.5625
LandCover_6_Herbaceous,false,0.0
mask,true,50.0
