Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.01078E-7,0.000010108,0.000022407,1,0,0
1.73569E-7,0.000039004,0.000038477,0.998510797,0,0
2.12696E-7,0.000060273,0.000047151,0.997766195,0,0
2.72429E-7,0.000109274,0.000060392,0.996276992,0,0
3.28699E-7,0.000257756,0.000072866,0.992553984,0,0
6.22536E-7,0.000551605,0.000137999,0.988086374,0,0
7.0864E-7,0.00102149,0.000157084,0.982874162,0,0
8.88879E-7,0.002542707,0.000197034,0.968726731,0,0
9.96723E-7,0.005082047,0.000220937,0.948622487,0,0
1.20757E-6,0.010044812,0.000267668,0.915115413,0,0
2.22151E-6,0.025014353,0.00049236,0.845122859,0,0
3.63559E-6,0.0501735,0.000805639,0.78183172,0,0
6.39381E-6,0.100371518,0.001416424,0.705137751,0,0
1.24774E-5,0.200565539,0.002762259,0.620253165,0,0
2.0056E-5,0.300306581,0.004436297,0.573343261,0,0
2.78139E-5,0.40071882,0.006147017,0.542069993,0,0
3.58486E-5,0.502385408,0.007915692,0.51824274,0,0
4.3769E-5,0.601696402,0.009656109,0.499627699,0,0
4.87549E-5,0.704309776,0.010750143,0.483246463,0,0
5.23112E-5,0.750055348,0.01152976,0.476545048,0,0
5.57462E-5,0.804581365,0.012282182,0.469099032,0,0
6.50774E-5,0.90182168,0.014323277,0.457185406,0,0
7.06247E-5,1.004105948,0.015534693,0.446016381,0,0
8.06224E-5,1.102673164,0.017714211,0.43633656,0,0
8.66864E-5,1.202433996,0.019033812,0.42740134,0,0
9.08325E-5,1.300491032,0.019935045,0.419210722,0,0
9.77961E-5,1.403713905,0.021446855,0.411020104,0,0
9.97621E-5,1.502612074,0.021873238,0.403574088,0,0
1.21107E-4,1.754990032,0.026490712,0.38644825,0,0
1.44111E-4,2.007367347,0.03144261,0.372300819,0,0
1.55235E-4,2.262447203,0.03382832,0.359642591,0,0
1.67799E-4,2.505645664,0.036515495,0.348473567,0,0
1.82408E-4,2.766892939,0.039630849,0.337304542,0,0
1.8926E-4,3.009232995,0.041088668,0.327624721,0,0
2.06735E-4,3.268357548,0.044796105,0.317944899,0,0
2.19105E-4,3.503460585,0.047411996,0.309754281,0,0
2.30647E-4,3.750015437,0.049846286,0.301563663,0,0
2.44772E-4,4.01160805,0.05281694,0.293373045,0,0
2.54556E-4,4.26171745,0.054869064,0.285927029,0,0
2.73026E-4,4.525953116,0.058731151,0.278481013,0,0
2.86712E-4,4.777203194,0.061582603,0.271779598,0,0
3.00752E-4,5.01291643,0.064498895,0.265822785,0,0
3.11624E-4,5.258696599,0.066750852,0.259865972,0,0
3.25341E-4,5.514446928,0.069584614,0.253909159,0,0
3.38024E-4,5.780251897,0.072196821,0.247952345,0,0
3.45469E-4,6.019197545,0.073726977,0.242740134,0,0
3.55905E-4,6.26596081,0.075867288,0.237527923,0,0
3.79125E-4,6.527954395,0.080612118,0.232315711,0,0
3.88581E-4,6.758793624,0.082537522,0.227848101,0.027777778,0
4.00856E-4,7.034949698,0.085030617,0.22263589,0.027777778,0
4.22734E-4,7.283965556,0.089457572,0.21816828,0.027777778,0
4.35164E-4,7.5417786,0.091963204,0.21370067,0.027777778,0
4.55276E-4,7.764844908,0.096002766,0.209977662,0.027777778,0
4.80495E-4,8.002960427,0.101042735,0.206254654,0.027777778,0
4.93031E-4,8.296115526,0.103537425,0.201787044,0.027777778,0
4.99951E-4,8.544414795,0.104911685,0.198064036,0.027777778,0
5.0783E-4,8.79666802,0.106473662,0.194341028,0.027777778,0
5.24601E-4,9.00251331,0.10978969,0.191362621,0.027777778,0
5.49085E-4,9.275230639,0.114608448,0.187639613,0.055555556,0
5.68696E-4,9.55499385,0.118449309,0.183916605,0.083333333,0
5.90544E-4,9.786179762,0.122708829,0.180938198,0.083333333,0
6.00275E-4,10.024171013,0.124599132,0.177959792,0.083333333,0
6.08792E-4,10.266060451,0.126250449,0.174981385,0.083333333,0
6.13076E-4,10.510535691,0.127079998,0.172002978,0.083333333,0
6.38675E-4,10.761716706,0.132019722,0.169024572,0.083333333,0
6.48454E-4,11.019832383,0.133899288,0.166046165,0.083333333,0
6.61869E-4,11.283550974,0.136471204,0.163067759,0.083333333,0
6.66175E-4,11.549421673,0.137295226,0.160089352,0.083333333,0
6.78795E-4,11.751478548,0.139705357,0.157855547,0.083333333,0
7.00404E-4,12.028210883,0.143816673,0.154877141,0.083333333,0
7.35049E-4,12.31845901,0.150367266,0.151898734,0.083333333,0
7.4379E-4,12.540393261,0.152012147,0.149664929,0.083333333,0
7.60123E-4,12.767308764,0.155076927,0.147431124,0.083333333,0
7.8345E-4,13.000123474,0.159435089,0.145197319,0.083333333,0
8.34641E-4,13.323664275,0.168920163,0.142218913,0.083333333,0
8.44349E-4,13.576125679,0.170706959,0.139985108,0.111111111,0
8.92712E-4,13.838561381,0.179550743,0.137751303,0.111111111,0
9.06439E-4,14.018687694,0.182043637,0.1362621,0.111111111,0
9.40087E-4,14.294691787,0.188122351,0.134028295,0.111111111,0
9.67046E-4,14.581604098,0.192960053,0.13179449,0.111111111,0
9.7081E-4,14.775494159,0.193633087,0.130305287,0.111111111,0
9.78453E-4,15.067695146,0.194998284,0.128071482,0.111111111,0
9.88807E-4,15.26460684,0.196843902,0.126582278,0.111111111,0
1.02066E-3,15.568185566,0.202494581,0.124348474,0.111111111,0
1.03895E-3,15.774837372,0.205721889,0.12285927,0.111111111,0
1.04891E-3,16.087945193,0.20747501,0.120625465,0.138888889,0
1.09143E-3,16.301981575,0.214909639,0.119136262,0.138888889,0
1.11285E-3,16.524124732,0.218628439,0.117647059,0.138888889,0
1.13399E-3,16.862151913,0.222281688,0.115413254,0.138888889,0
1.1919E-3,17.095607747,0.232202489,0.113924051,0.138888889,0
1.23492E-3,17.340287755,0.239491074,0.112434847,0.138888889,0
1.3622E-3,17.606459211,0.260649151,0.110945644,0.138888889,0
1.39717E-3,17.885412242,0.266359044,0.109456441,0.138888889,0
1.43528E-3,18.028940389,0.272531065,0.108711839,0.138888889,0
1.44115E-3,18.316990163,0.273477384,0.107222636,0.138888889,0
1.45533E-3,18.60681062,0.275756627,0.105733433,0.138888889,0
1.48024E-3,18.754834276,0.279745,0.104988831,0.138888889,0
1.50101E-3,19.055018818,0.283054837,0.103499628,0.138888889,0
1.56432E-3,19.365824221,0.293046423,0.102010424,0.138888889,0
1.56786E-3,19.522610421,0.293601272,0.101265823,0.138888889,0
1.57659E-3,19.83743064,0.294966408,0.09977662,0.138888889,0
1.61505E-3,20.156763951,0.300952119,0.098287416,0.138888889,0
1.67162E-3,20.323926206,0.309664693,0.097542815,0.138888889,0
1.68094E-3,20.659974389,0.311089864,0.096053611,0.138888889,0
1.69279E-3,20.82925337,0.312896515,0.09530901,0.138888889,0
1.71715E-3,21.000968544,0.316597378,0.094564408,0.138888889,0
1.74092E-3,21.346844619,0.320188849,0.093075205,0.138888889,0
1.76083E-3,21.522927933,0.323183249,0.092330603,0.138888889,0
1.81203E-3,21.880712928,0.330822107,0.0908414,0.138888889,0
1.81822E-3,22.062534904,0.331739105,0.090096798,0.138888889,0
1.87786E-3,22.432383869,0.340515986,0.088607595,0.166666667,0
1.9315E-3,22.62553359,0.348311646,0.087862993,0.166666667,0
1.94539E-3,22.820072745,0.35031589,0.087118392,0.166666667,0
1.9543E-3,23.015503063,0.351598135,0.08637379,0.166666667,0
2.05544E-3,23.426485216,0.365973715,0.084884587,0.166666667,0
2.09138E-3,23.63562368,0.371006189,0.084139985,0.166666667,0
2.15985E-3,23.851608848,0.380481149,0.083395383,0.166666667,0
2.16118E-3,24.067726575,0.380663179,0.082650782,0.166666667,0
2.16583E-3,24.284309632,0.381301745,0.08190618,0.166666667,0
2.17699E-3,24.502009009,0.382830969,0.081161579,0.166666667,0
2.43489E-3,24.966341976,0.417125802,0.079672375,0.166666667,0
2.45162E-3,25.211503807,0.419283834,0.078927774,0.194444444,0
2.46046E-3,25.457549469,0.420420543,0.078183172,0.194444444,0
2.46118E-3,25.703667066,0.420512961,0.07743857,0.194444444,0
2.50592E-3,25.954259047,0.426232567,0.076693969,0.194444444,0
2.55181E-3,26.209440291,0.432040381,0.075949367,0.194444444,0
2.5691E-3,26.466349831,0.434212308,0.075204765,0.194444444,0
2.57501E-3,26.723850388,0.434953124,0.074460164,0.194444444,0
2.62464E-3,26.986314186,0.441136191,0.073715562,0.194444444,0
2.69103E-3,27.255417156,0.449301433,0.072970961,0.194444444,0
2.69864E-3,27.52528097,0.45022951,0.072226359,0.194444444,0
2.70293E-3,27.795573662,0.450751969,0.071481757,0.222222222,0
2.71961E-3,28.067534354,0.452779197,0.070737156,0.222222222,0
2.72759E-3,28.340293716,0.453747224,0.069992554,0.222222222,0
2.73492E-3,28.613785684,0.454633669,0.069247952,0.222222222,0
2.73511E-3,28.887296208,0.454656105,0.068503351,0.222222222,0
2.7445E-3,29.161745814,0.455790235,0.067758749,0.222222222,0
2.74611E-3,29.436357132,0.455985297,0.067014147,0.25,0
2.76675E-3,29.71303227,0.458468604,0.066269546,0.25,0
2.9064E-3,30.003672719,0.474977199,0.065524944,0.25,0
2.92299E-3,30.295971305,0.476903578,0.064780343,0.25,0
2.97772E-3,30.593743577,0.483212724,0.064035741,0.25,0
3.0021E-3,30.89395406,0.485998532,0.063291139,0.25,0
3.026E-3,31.196553949,0.488714006,0.062546538,0.25,0
3.0336E-3,31.499913616,0.489574458,0.061801936,0.25,0
3.0463E-3,31.804543118,0.49100932,0.061057334,0.25,0
3.05209E-3,32.10975258,0.491663307,0.060312733,0.25,0
3.06473E-3,32.416225596,0.493085237,0.059568131,0.25,0
3.10538E-3,32.726763378,0.497632567,0.058823529,0.25,0
3.25845E-3,33.052608864,0.514394522,0.058078928,0.277777778,0
3.36977E-3,33.389585538,0.526230902,0.057334326,0.277777778,0
3.41483E-3,33.731068849,0.530940599,0.056589724,0.277777778,0
3.44764E-3,34.075832835,0.53433962,0.055845123,0.277777778,0
3.45894E-3,34.421726533,0.535504376,0.055100521,0.277777778,0
3.51929E-3,34.77365599,0.541678174,0.05435592,0.277777778,0
3.6336E-3,35.137016099,0.553146283,0.053611318,0.277777778,0
3.65772E-3,35.502787778,0.555528856,0.052866716,0.277777778,0
3.72664E-3,35.875451739,0.562268456,0.052122115,0.277777778,0
3.74755E-3,36.250207081,0.564293228,0.051377513,0.277777778,0
3.82505E-3,36.6327118,0.57171448,0.050632911,0.277777778,0
4.01204E-3,37.033915968,0.589105812,0.04988831,0.277777778,0
4.07915E-3,37.441831086,0.595173575,0.049143708,0.277777778,0
4.09233E-3,37.851064113,0.596354606,0.048399106,0.277777778,0
4.10362E-3,38.261426035,0.597363514,0.047654505,0.277777778,0
4.13735E-3,38.675161132,0.600363163,0.046909903,0.277777778,0
4.58039E-3,39.133200476,0.637748311,0.046165302,0.305555556,0
4.71939E-3,39.605139053,0.648740109,0.0454207,0.305555556,0
4.73968E-3,40.079107503,0.650317219,0.044676098,0.305555556,0
4.74546E-3,40.553653816,0.650764893,0.043931497,0.305555556,0
4.83455E-3,41.037109282,0.657594786,0.043186895,0.305555556,0
5.01282E-3,41.538391119,0.670862355,0.042442293,0.305555556,0
5.05695E-3,42.044086536,0.674067052,0.041697692,0.305555556,0
5.07429E-3,42.551515371,0.675317134,0.04095309,0.305555556,0
5.17681E-3,43.069196603,0.682613389,0.040208488,0.305555556,0
5.48231E-3,43.617427148,0.703396387,0.039463887,0.305555556,0
5.84829E-3,44.202255825,0.726510529,0.038719285,0.305555556,0
5.8712E-3,44.789376199,0.727896444,0.037974684,0.333333333,0
5.88157E-3,45.377532814,0.728520806,0.037230082,0.333333333,0
5.98447E-3,45.975979715,0.734643762,0.03648548,0.361111111,0
6.01786E-3,46.577766172,0.736601039,0.035740879,0.361111111,0
6.08567E-3,47.186333611,0.740530996,0.034996277,0.388888889,0
6.1969E-3,47.806023128,0.746850305,0.034251675,0.388888889,0
6.3446E-3,48.440482871,0.755005136,0.033507074,0.388888889,0
6.86851E-3,49.127333942,0.781869782,0.032762472,0.388888889,0
7.04578E-3,49.831912429,0.790275923,0.03201787,0.388888889,0
7.19194E-3,50.551105949,0.796962023,0.031273269,0.416666667,0
7.21898E-3,51.27300403,0.79817573,0.030528667,0.416666667,0
7.32329E-3,52.00533332,0.802789304,0.029784066,0.416666667,0
7.41632E-3,52.746965418,0.806814761,0.029039464,0.416666667,0
7.49274E-3,53.496239736,0.810060107,0.028294862,0.444444444,0
7.70694E-3,54.266933818,0.818868601,0.027550261,0.444444444,0
7.89696E-3,55.056630007,0.826340336,0.026805659,0.444444444,0
7.99629E-3,55.856259001,0.830122491,0.026061057,0.444444444,0
8.57069E-3,56.713327576,0.850433478,0.025316456,0.472222222,0
8.7693E-3,57.590257857,0.85687615,0.024571854,0.472222222,0
8.97361E-3,58.487618427,0.863213825,0.023827252,0.472222222,0
9.01917E-3,59.3895359,0.864588695,0.023082651,0.472222222,0
9.20613E-3,60.310148523,0.870086085,0.022338049,0.472222222,0
9.24472E-3,61.23462009,0.871192732,0.021593448,0.5,0
9.26322E-3,62.160941666,0.871719919,0.020848846,0.5,0
9.57941E-3,63.118882454,0.880403909,0.020104244,0.527777778,0
9.64672E-3,64.083554054,0.882175199,0.019359643,0.527777778,0
1.008E-2,65.091549841,0.892965151,0.018615041,0.555555556,0
1.02401E-2,66.115555295,0.896697349,0.017870439,0.583333333,0
1.0529E-2,67.168456696,0.903107285,0.017125838,0.611111111,0
1.05909E-2,68.227547992,0.904427788,0.016381236,0.611111111,0
1.06297E-2,69.290518155,0.905246086,0.015636634,0.638888889,0
1.09555E-2,70.386072176,0.911849216,0.014892033,0.638888889,0
1.12864E-2,71.514711934,0.918083384,0.014147431,0.666666667,0
1.14342E-2,72.658130505,0.920723712,0.013402829,0.666666667,0
1.14575E-2,73.803885027,0.921133184,0.012658228,0.694444444,0
1.17545E-2,74.97933491,0.926157854,0.011913626,0.694444444,0
1.25159E-2,76.230929516,0.937627386,0.011169025,0.722222222,0
1.33301E-2,77.563939863,0.947927458,0.010424423,0.722222222,0
