Predictor variable,Categorical,Sample average
BIOCLIM_1,false,124.5
BIOCLIM_12,false,1188.982142857143
BIOCLIM_17,false,248.5
BIOCLIM_7,false,345.8392857142857
GTOPO30_ELEVATION,false,459.14285714285717
GTOPO30_SLOPE_reduced,false,2.8392857142857144
ISRICSOILGRIDS_new_average_coarsefragmentpercent_reduced,false,13.482142857142858
ISRICSOILGRIDS_new_average_phx10percent_reduced,false,53.42857142857143
ISRICSOILGRIDS_new_average_sandpercent_reduced,false,33.714285714285715
ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced,false,30.75
LandCover_1_Needleleaf,false,5.0
LandCover_6_Herbaceous,false,1.5892857142857142
mask,true,50.0
