Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.45275E-7,0.000074527,0.000485773,1,0,0
9.37093E-7,0.000168237,0.000610762,0.999521531,0,0
9.41224E-7,0.000262359,0.000613454,0.999043062,0,0
1.22974E-6,0.000605716,0.000801421,0.997607656,0,0
1.3502E-6,0.001123697,0.000879891,0.99569378,0,0
1.54063E-6,0.002611364,0.001003929,0.990909091,0,0
1.91939E-6,0.005029495,0.001250587,0.984210526,0,0
2.43452E-6,0.010097045,0.001585956,0.973205742,0,0
3.72949E-6,0.025372767,0.00242853,0.949282297,0,0
5.38772E-6,0.050017458,0.003506423,0.922488038,0,0
8.28148E-6,0.100427988,0.005384656,0.88708134,0,0
1.26337E-5,0.200713876,0.00820284,0.840669856,0,0
1.58924E-5,0.300390937,0.010307757,0.807655502,0,0
1.97697E-5,0.401296122,0.01280635,0.780382775,0,0
2.19158E-5,0.50163074,0.014186652,0.757416268,0,0
2.48476E-5,0.602126775,0.016069154,0.736842105,0,0
2.71997E-5,0.700778922,0.017576859,0.718660287,0,0
2.83165E-5,0.751101365,0.018291879,0.710047847,0,0
2.92364E-5,0.800039857,0.018880496,0.701913876,0,0
3.11901E-5,0.902559902,0.020129423,0.685645933,0,0
3.41612E-5,1.000741058,0.0220256,0.671291866,0,0
3.67768E-5,1.100836138,0.023691929,0.657894737,0,0
3.90539E-5,1.200263283,0.025140219,0.645454545,0,0
4.12079E-5,1.301228527,0.026508305,0.633492823,0,0
4.39087E-5,1.403468099,0.028220921,0.622009569,0,0
4.56052E-5,1.502067519,0.029295169,0.611483254,0,0
5.00951E-5,1.751372662,0.032132479,0.586602871,0,0
5.60159E-5,2.001831045,0.035861414,0.564114833,0,0
6.31855E-5,2.251482383,0.040357588,0.544019139,0.03125,0
7.04953E-5,2.50508267,0.044920073,0.525837321,0.03125,0
7.6878E-5,2.756496108,0.048886164,0.509569378,0.0625,0
8.25066E-5,3.003982001,0.052369984,0.494736842,0.0625,0
8.9988E-5,3.254546152,0.056980867,0.480861244,0.0625,0
9.63413E-5,3.505477762,0.060878879,0.467942584,0.0625,0
1.02352E-4,3.754392724,0.064551819,0.455980861,0.0625,0
1.10488E-4,4.010046929,0.069500611,0.444497608,0.0625,0
1.18143E-4,4.25041802,0.074132744,0.434449761,0.0625,0
1.25214E-4,4.505015451,0.078391234,0.424401914,0.0625,0
1.30162E-4,4.76082104,0.081359768,0.414832536,0.0625,0
1.36282E-4,5.001210596,0.08501755,0.406220096,0.0625,0
1.43959E-4,5.253272374,0.089585844,0.397607656,0.0625,0
1.50286E-4,5.503010934,0.093333571,0.389473684,0.0625,0
1.57181E-4,5.76393741,0.097399966,0.381339713,0.0625,0
1.63078E-4,6.004299529,0.100863891,0.374162679,0.0625,0
1.69569E-4,6.254570289,0.104660765,0.366985646,0.0625,0
1.75745E-4,6.514656114,0.108258565,0.359808612,0.0625,0
1.83808E-4,6.768136186,0.112934037,0.353110048,0.0625,0
1.89897E-4,7.012535256,0.116448323,0.346889952,0.0625,0
1.96082E-4,7.26288964,0.120004058,0.340669856,0.0625,0
2.01349E-4,7.501506007,0.123020689,0.33492823,0.0625,0
2.08328E-4,7.767726013,0.127002007,0.328708134,0.0625,0
2.14241E-4,8.021026626,0.130360805,0.322966507,0.0625,0
2.22042E-4,8.262047309,0.134772554,0.317703349,0.0625,0
2.29263E-4,8.508899613,0.138836165,0.312440191,0.0625,0
2.39657E-4,8.767169032,0.144652132,0.307177033,0.0625,0
2.53943E-4,9.012933946,0.152582042,0.302392344,0.0625,0
2.6457E-4,9.274267565,0.158432751,0.297607656,0.0625,0
2.74648E-4,9.517445143,0.163944515,0.293301435,0.0625,0
2.80954E-4,9.767176823,0.167374322,0.288995215,0.0625,0
2.95289E-4,10.026989458,0.175119864,0.284688995,0.0625,0
3.00403E-4,10.265096473,0.177865731,0.280861244,0.0625,0
3.08274E-4,10.508259898,0.182073683,0.277033493,0.0625,0
3.24749E-4,10.763122473,0.190811932,0.273205742,0.09375,0
3.36975E-4,11.026797487,0.197236468,0.26937799,0.09375,0
3.42198E-4,11.265258635,0.19996535,0.266028708,0.09375,0
3.51964E-4,11.508324613,0.205042976,0.262679426,0.09375,0
3.61846E-4,11.759423776,0.210148014,0.259330144,0.09375,0
3.67899E-4,12.015802547,0.213259131,0.255980861,0.09375,0
3.73168E-4,12.275677893,0.215956794,0.252631579,0.09375,0
3.77577E-4,12.500935243,0.218207233,0.249760766,0.09375,0
3.88759E-4,12.769100045,0.223886329,0.246411483,0.125,0
4.01301E-4,13.006594492,0.230206441,0.24354067,0.125,0
4.22753E-4,13.255677008,0.240897715,0.240669856,0.125,0
4.30637E-4,13.51234671,0.244789429,0.237799043,0.125,0
4.44449E-4,13.77744915,0.251559431,0.23492823,0.125,0
4.50883E-4,14.001851815,0.254692709,0.232535885,0.125,0
4.60921E-4,14.277037302,0.259554188,0.229665072,0.125,0
4.68248E-4,14.509408553,0.263082897,0.227272727,0.125,0
4.72946E-4,14.791833097,0.265336417,0.224401914,0.125,0
4.80043E-4,15.03064541,0.26872784,0.222009569,0.125,0
4.84163E-4,15.271997451,0.270689722,0.219617225,0.125,0
4.91894E-4,15.51670945,0.274356327,0.21722488,0.125,0
4.95212E-4,15.763967347,0.275924129,0.214832536,0.125,0
4.99803E-4,16.012842461,0.27808813,0.212440191,0.125,0
5.10552E-4,16.264974305,0.283129535,0.210047847,0.125,0
5.25484E-4,16.525256755,0.290074812,0.207655502,0.125,0
5.42711E-4,16.793959807,0.298003695,0.205263158,0.125,0
5.50846E-4,17.01322939,0.301716744,0.203349282,0.125,0
5.67555E-4,17.293894543,0.309282234,0.200956938,0.125,0
5.75262E-4,17.522654223,0.312744192,0.199043062,0.125,0
5.85874E-4,17.756126825,0.317482826,0.197129187,0.125,0
5.94854E-4,18.052164323,0.321466864,0.194736842,0.125,0
6.01758E-4,18.291832362,0.324514113,0.192822967,0.125,0
6.17361E-4,18.535925558,0.331350971,0.190909091,0.125,0
6.24647E-4,18.784716392,0.334519488,0.188995215,0.125,0
6.39132E-4,19.0373586,0.340774552,0.18708134,0.125,0
6.60488E-4,19.298767553,0.349889528,0.185167464,0.125,0
6.69319E-4,19.565478239,0.353621882,0.183253589,0.125,0
6.74895E-4,19.767736581,0.35596714,0.181818182,0.125,0
6.94031E-4,20.041527235,0.363952224,0.179904306,0.125,0
7.10705E-4,20.253556439,0.37082929,0.1784689,0.125,0
7.17611E-4,20.539398473,0.373655463,0.176555024,0.125,0
7.26516E-4,20.755913212,0.377281402,0.175119617,0.125,0
7.46088E-4,21.049766085,0.385176879,0.173205742,0.125,0
7.60061E-4,21.277117337,0.390752654,0.171770335,0.125,0
7.66621E-4,21.506248279,0.393352536,0.170334928,0.125,0
7.75709E-4,21.814512072,0.396936513,0.168421053,0.125,0
7.8041E-4,22.048339702,0.398781775,0.166985646,0.125,0
8.03995E-4,22.286916166,0.407955999,0.165550239,0.125,0
8.1231E-4,22.529116413,0.411156515,0.164114833,0.125,0
8.35486E-4,22.777557297,0.419986925,0.162679426,0.125,0
8.51028E-4,23.03138721,0.425834579,0.161244019,0.125,0
8.60447E-4,23.288884552,0.429349522,0.159808612,0.125,0
8.70959E-4,23.549623436,0.433247278,0.158373206,0.15625,0
8.80007E-4,23.812598204,0.436580713,0.156937799,0.15625,0
8.94181E-4,24.079483255,0.441763163,0.155502392,0.15625,0
8.97029E-4,24.258608314,0.442798754,0.154545455,0.15625,0
9.13422E-4,24.530718342,0.448722199,0.153110048,0.15625,0
9.23753E-4,24.807230516,0.452422746,0.151674641,0.15625,0
9.43651E-4,25.08709436,0.459480518,0.150239234,0.15625,0
9.46689E-4,25.276412316,0.460549903,0.149282297,0.15625,0
9.55628E-4,25.562442082,0.463684791,0.14784689,0.15625,0
9.62244E-4,25.754888959,0.465993099,0.146889952,0.15625,0
9.85535E-4,26.048265316,0.474040587,0.145454545,0.1875,0
1.00065E-3,26.347465667,0.479197775,0.144019139,0.1875,0
1.0049E-3,26.548023826,0.480637671,0.143062201,0.1875,0
1.02053E-3,26.750784558,0.485903693,0.142105263,0.1875,0
1.02986E-3,27.059507013,0.48902086,0.140669856,0.1875,0
1.04074E-3,27.267195706,0.492634272,0.139712919,0.1875,0
1.06496E-3,27.585454061,0.500583313,0.138277512,0.1875,0
1.07279E-3,27.799953305,0.503124192,0.137320574,0.1875,0
1.08669E-3,28.015956262,0.507609015,0.136363636,0.1875,0
1.11533E-3,28.346534131,0.51671633,0.13492823,0.1875,0
1.14971E-3,28.576217694,0.527428801,0.133971292,0.1875,0
1.15914E-3,28.807552346,0.530324348,0.133014354,0.1875,0
1.17872E-3,29.041836858,0.536281791,0.132057416,0.1875,0
1.19394E-3,29.279387393,0.540861641,0.131100478,0.1875,0
1.20023E-3,29.518969244,0.542739775,0.130143541,0.1875,0
1.2379E-3,29.762793865,0.553833967,0.129186603,0.1875,0
1.2446E-3,30.011676022,0.555777704,0.128229665,0.1875,0
1.24932E-3,30.261367378,0.557142738,0.127272727,0.1875,0
1.25693E-3,30.512584646,0.55933369,0.126315789,0.1875,0
1.28294E-3,30.767764329,0.566745927,0.125358852,0.1875,0
1.28519E-3,31.024769306,0.5673798,0.124401914,0.1875,0
1.28846E-3,31.282183974,0.568301476,0.123444976,0.1875,0
1.29855E-3,31.541639116,0.571131188,0.122488038,0.1875,0
1.30967E-3,31.803091827,0.574229033,0.1215311,0.1875,0
1.32396E-3,32.06667254,0.578178276,0.120574163,0.1875,0
1.34782E-3,32.3351397,0.584688606,0.119617225,0.1875,0
1.3511E-3,32.605108629,0.585576683,0.118660287,0.1875,0
1.35883E-3,32.876630004,0.587658652,0.117703349,0.1875,0
1.35905E-3,33.01253484,0.587717961,0.11722488,0.1875,0
1.375E-3,33.287446645,0.591984604,0.116267943,0.1875,0
1.40571E-3,33.565563021,0.600072301,0.115311005,0.1875,0
1.43731E-3,33.852873033,0.608227417,0.114354067,0.1875,0
1.45422E-3,34.142296819,0.612521699,0.113397129,0.1875,0
1.45752E-3,34.288048349,0.61335344,0.11291866,0.1875,0
1.46828E-3,34.581627781,0.616057216,0.111961722,0.1875,0
1.49934E-3,34.879646262,0.623754758,0.111004785,0.1875,0
1.51452E-3,35.031097893,0.627458474,0.110526316,0.1875,0
1.53173E-3,35.336275874,0.631615149,0.109569378,0.1875,0
1.53473E-3,35.642938894,0.632335387,0.10861244,0.1875,0
1.55919E-3,35.798857921,0.638152521,0.108133971,0.1875,0
1.56117E-3,36.1110594,0.638619973,0.107177033,0.1875,0
1.56306E-3,36.267365606,0.639064765,0.106698565,0.1875,0
1.59868E-3,36.583837731,0.647350289,0.105741627,0.1875,0
1.62176E-3,36.905902131,0.65261704,0.104784689,0.1875,0
1.62373E-3,37.068275529,0.653063153,0.10430622,0.21875,0
1.6386E-3,37.395400659,0.656409311,0.103349282,0.21875,0
1.6409E-3,37.559490279,0.656923433,0.102870813,0.21875,0
1.66052E-3,37.890141486,0.661284077,0.101913876,0.21875,0
1.67046E-3,38.057187311,0.663472347,0.101435407,0.25,0
1.6784E-3,38.392725715,0.6652109,0.100478469,0.25,0
1.68439E-3,38.561165051,0.666515907,0.1,0.25,0
1.7044E-3,38.901773663,0.670836682,0.099043062,0.25,0
1.70507E-3,39.072280432,0.670980737,0.098564593,0.25,0
1.72123E-3,39.415416672,0.674429585,0.097607656,0.25,0
1.74802E-3,39.590218388,0.680065952,0.097129187,0.25,0
1.75834E-3,39.766052281,0.682211686,0.096650718,0.25,0
1.76464E-3,40.118640594,0.683513809,0.09569378,0.25,0
1.78663E-3,40.297303278,0.688018827,0.095215311,0.25,0
1.79391E-3,40.655451637,0.689496917,0.094258373,0.25,0
1.7959E-3,40.835041951,0.689899931,0.093779904,0.25,0
1.79994E-3,41.015036162,0.690715428,0.093301435,0.25,0
1.81256E-3,41.377026412,0.693249074,0.092344498,0.25,0
1.83169E-3,41.560195626,0.697051753,0.091866029,0.25,0
1.85592E-3,41.931289746,0.701798876,0.090909091,0.25,0
1.85902E-3,42.117191309,0.70240065,0.090430622,0.25,0
1.86002E-3,42.303193237,0.70259532,0.089952153,0.25,0
1.86103E-3,42.675376636,0.702791435,0.088995215,0.25,0
1.86167E-3,42.861543185,0.702914342,0.088516746,0.25,0
1.86458E-3,43.048001502,0.703478925,0.088038278,0.25,0
1.87554E-3,43.422637259,0.705590347,0.08708134,0.25,0
1.89373E-3,43.612010068,0.70906004,0.086602871,0.25,0
1.89733E-3,43.801743556,0.70974338,0.086124402,0.25,0
1.91149E-3,44.183060173,0.712409689,0.085167464,0.25,0
1.92367E-3,44.375427387,0.714684797,0.084688995,0.25,0
1.92587E-3,44.568014786,0.71509408,0.084210526,0.25,0
1.93039E-3,44.761054159,0.715932376,0.083732057,0.25,0
1.94484E-3,45.149893723,0.718594905,0.08277512,0.25,0
1.94893E-3,45.344786469,0.719344191,0.082296651,0.25,0
1.95223E-3,45.54000911,0.719947175,0.081818182,0.25,0
1.96432E-3,45.932094678,0.722147004,0.080861244,0.28125,0
1.97415E-3,46.129509628,0.723921503,0.080382775,0.28125,0
1.98356E-3,46.327865849,0.725610534,0.079904306,0.28125,0
1.99902E-3,46.527768246,0.728362615,0.079425837,0.28125,0
2.00934E-3,46.928829097,0.730184039,0.0784689,0.28125,0
2.0144E-3,47.130269423,0.731072637,0.077990431,0.3125,0
2.03142E-3,47.333411494,0.734039821,0.077511962,0.3125,0
2.032E-3,47.536611249,0.734139824,0.077033493,0.3125,0
