X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-76.862194,40.80622,train,0.002142309493860216,99.99999941546736,0.9999300753854581
-79.144582,38.471219,train,1.2665488391618463E-4,25.189266943993495,0.43202197867972436
-79.878088,36.999585,train,4.40583927516814E-5,6.370247183432032,0.17862528393216903
-80.473889,36.344444,train,1.5597863158141887E-4,32.14133196961268,0.5017432565377957
-78.068633,39.974409,train,1.622277914320001E-4,33.530742684759424,0.5154574867131514
-79.179033,39.384752,train,5.157945666940539E-5,8.06896511446329,0.2057577963645395
-80.327481,36.720756,train,5.559476005955523E-4,81.90707626741612,0.9165077748803281
-77.254896,38.997065,train,7.432352097382006E-4,91.53045636460948,0.9638281944259224
-79.890702,37.008486,train,7.92915673447314E-4,93.50648958106456,0.9710261261573754
-78.792797,39.692864,train,3.317538309212672E-4,61.56899492169742,0.7727480625546341
-79.388265,39.839212,train,3.5114660845092485E-5,4.458261764781186,0.1451514019793111
-78.915681,38.662367,train,1.2113931760381695E-4,23.781163441896798,0.41785670485235826
-77.9631,38.4419,train,6.567586463371945E-5,11.357269801457516,0.2542202204670506
-79.959861,37.543744,train,4.5793867939929395E-4,75.79048750098602,0.8706546448002253
-78.430842,39.406764,train,7.465083345330604E-4,91.68074835019709,0.9643531292666222
-77.739821,39.361351,train,3.311829427372968E-4,61.500194719083176,0.77216789210981
-78.32112,39.592459,train,7.65684821286072E-4,92.35241226822349,0.9672790889804951
-77.022335,40.375086,train,5.994231222725391E-4,85.00857685965697,0.9312428380796824
-80.349722,36.811389,train,5.601569617918989E-4,82.21138973030878,0.9180627713590366
-77.874718,39.614293,train,8.280076764122358E-4,94.18966140320636,0.975229217994389
-78.089924,39.670107,train,9.467421663000789E-4,96.37916072348916,0.985424140097816
-77.7111,38.8242,train,2.4145302990659468E-4,48.491958708365914,0.6598572644651212
-78.466954,39.363432,train,3.9588485670104164E-4,69.87636910147782,0.8293467067718199
-76.977526,40.356658,train,0.0011865344355949973,98.76000999743029,0.9950052160180446
-80.268995,37.218742,train,3.9080173098482196E-4,69.15988347646429,0.8254281349800691
-77.125812,38.943722,train,6.103347329306642E-4,85.79739390932184,0.9345133105263012
-78.064198,40.36492,train,1.0730277749176102E-4,20.71541804759891,0.38074688661767386
-78.783012,39.704223,train,4.792473751224053E-4,77.51958747822928,0.8823968281567759
-77.595828,40.656713,train,1.6612908460702616E-4,34.65642261253587,0.5238271026539006
-78.749742,39.973118,train,1.4935137242976228E-4,30.802858024302783,0.4867749212589836
-77.7064,38.8664,train,1.7438051571343487E-4,36.38142082276195,0.5410560671000764
-80.266996,36.386527,train,0.0012841321855685446,99.10884396440207,0.9967699485227373
-76.799267,40.882959,train,5.455686126517265E-4,81.26681347718727,0.9125463721997074
-76.927496,40.343987,train,9.282200607326923E-4,96.09156954111562,0.9841670832843746
