Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.23117E-9,0.000000223,0.00000483,1,0,0
4.38036E-9,0.000000661,0.000009482,0.999901922,0,0
5.25933E-9,0.000001187,0.000011385,0.999803845,0,0
7.33675E-9,0.000003144,0.000015882,0.999509612,0,0
9.63461E-9,0.000010018,0.000020856,0.99872499,0,0
1.37475E-8,0.000025105,0.000029759,0.99744998,0,0
1.78529E-8,0.000051204,0.000038645,0.995880738,0,0
2.50552E-8,0.000100425,0.000054235,0.993723029,0,0
3.40827E-8,0.00025133,0.000073776,0.988819145,0,0
4.49885E-8,0.000500177,0.000097382,0.982542173,0,0
5.91107E-8,0.001003085,0.000127948,0.973126716,0,0
8.73345E-8,0.002500512,0.000189035,0.95311887,0,0
1.19213E-7,0.005010578,0.000258026,0.929285995,0,0
1.72354E-7,0.010007262,0.000373024,0.895645351,0,0
3.2897E-7,0.02502586,0.000711865,0.834641036,0,0
6.06017E-7,0.050001586,0.001310982,0.780306002,0,0
1.22015E-6,0.100041001,0.002637773,0.723617105,0,0
2.39253E-6,0.200235293,0.005165702,0.66722244,0.004366812,0
3.52945E-6,0.300175464,0.007611061,0.633777952,0.004366812,0
4.52464E-6,0.400213743,0.009746641,0.609454688,0.004366812,0
5.42217E-6,0.500359829,0.011668715,0.589741075,0.008733624,0
6.36318E-6,0.600162609,0.013679899,0.57306787,0.008733624,0
7.22455E-6,0.700290554,0.015517295,0.558552373,0.008733624,0
7.57554E-6,0.75072254,0.016264993,0.551883091,0.008733624,0
7.98024E-6,0.80049695,0.017126421,0.54560612,0.008733624,0
8.78341E-6,0.90003044,0.01883378,0.533934876,0.013100437,0
9.55778E-6,1.000901539,0.020477115,0.523146332,0.013100437,0
1.03234E-5,1.100211656,0.022099079,0.513338564,0.013100437,0
1.10692E-5,1.20077037,0.023676592,0.504119262,0.013100437,0
1.17964E-5,1.301143874,0.025212307,0.495488427,0.017467249,0
1.24088E-5,1.400566864,0.026503753,0.487446057,0.021834061,0
1.30796E-5,1.500221181,0.027916336,0.479795998,0.021834061,0
1.48355E-5,1.750907814,0.031604056,0.462142016,0.026200873,0
1.67795E-5,2.000565636,0.035670816,0.446743821,0.026200873,0
1.88844E-5,2.25019295,0.040054588,0.433012946,0.026200873,0
2.05501E-5,2.500755106,0.043509793,0.420557081,0.026200873,0
2.2253E-5,2.751685804,0.047029092,0.409081993,0.026200873,0
2.42348E-5,3.000362947,0.051108582,0.398587681,0.030567686,0
2.60284E-5,3.252013212,0.054785694,0.388779914,0.03930131,0
2.801E-5,3.500328748,0.058831565,0.379756767,0.03930131,0
3.00491E-5,3.752613697,0.062976681,0.371224009,0.03930131,0
3.18324E-5,4.000418886,0.066586949,0.363377795,0.03930131,0
3.34521E-5,4.252349705,0.069853776,0.355825814,0.03930131,0
3.55942E-5,4.501611577,0.074157027,0.348764221,0.03930131,0
3.72489E-5,4.75275781,0.077467288,0.341996862,0.03930131,0
3.90563E-5,5.003553215,0.08106963,0.335523735,0.043668122,0
4.09959E-5,5.251924935,0.084919885,0.329442919,0.048034934,0
4.2532E-5,5.50292109,0.087957568,0.323558258,0.052401747,0
4.44876E-5,5.750616064,0.09181043,0.317967831,0.052401747,0
4.57785E-5,6.003318298,0.0943447,0.312475481,0.052401747,0
4.74216E-5,6.250350296,0.097560228,0.307277364,0.052401747,0
4.90418E-5,6.501494835,0.100719659,0.302177324,0.052401747,0
5.09957E-5,6.75171116,0.104515339,0.297273441,0.056768559,0
5.25584E-5,7.005140903,0.107539322,0.292467634,0.056768559,0
5.40833E-5,7.250226075,0.110480423,0.287956061,0.061135371,0
5.60447E-5,7.503901875,0.114249196,0.283444488,0.061135371,0
5.83589E-5,7.75561461,0.118675305,0.27912907,0.061135371,0
5.98532E-5,8.004421546,0.121521581,0.275009808,0.061135371,0
6.13636E-5,8.253590525,0.124388965,0.270988623,0.061135371,0
6.282E-5,8.502161587,0.127145276,0.267065516,0.061135371,0
6.4271E-5,8.750251007,0.129882613,0.263240486,0.061135371,0
6.60141E-5,9.004362861,0.133159508,0.259415457,0.061135371,0
6.72474E-5,9.251001371,0.13547073,0.255786583,0.061135371,0
6.85846E-5,9.502796783,0.137969564,0.252157709,0.065502183,0
7.02161E-5,9.752323573,0.141008531,0.248626913,0.065502183,0
7.17912E-5,10.00079493,0.143932433,0.245194194,0.069868996,0
7.31585E-5,10.254775808,0.146462411,0.241761475,0.07860262,0
7.47214E-5,10.50584432,0.149345196,0.238426834,0.07860262,0
7.60977E-5,10.755055399,0.151875799,0.235190271,0.082969432,0
7.77876E-5,11.001298036,0.154972621,0.232051785,0.087336245,0
7.94404E-5,11.253112438,0.157990573,0.228913299,0.087336245,0
8.06333E-5,11.501142441,0.16016204,0.225872891,0.087336245,0
8.23667E-5,11.75371891,0.163307544,0.222832483,0.091703057,0
8.39159E-5,12.003438752,0.166108747,0.219890153,0.091703057,0
8.5786E-5,12.257881799,0.169477583,0.216947823,0.091703057,0
8.7368E-5,12.500478975,0.172316859,0.214201648,0.091703057,0
8.86655E-5,12.755945717,0.174638333,0.211357395,0.091703057,0
8.97391E-5,13.005632604,0.176554301,0.20861122,0.091703057,0
9.11655E-5,13.259043946,0.179092887,0.205865045,0.091703057,0
9.23001E-5,13.506809822,0.181106693,0.203216948,0.091703057,0
9.39879E-5,13.75836717,0.184093138,0.200568851,0.100436681,0
9.54677E-5,14.005181428,0.186702534,0.198018831,0.100436681,0
9.70746E-5,14.255609624,0.189526624,0.195468811,0.109170306,0
9.87121E-5,14.500585352,0.192394377,0.193016869,0.11790393,0
1.00763E-4,14.759963143,0.195971635,0.19046685,0.11790393,0
1.01955E-4,15.003063924,0.198043718,0.188112985,0.11790393,0
1.03907E-4,15.260388063,0.201426083,0.185661044,0.11790393,0
1.05121E-4,15.50076367,0.203520931,0.183405257,0.11790393,0
1.06644E-4,15.754878108,0.2061426,0.181051393,0.122270742,0
1.08118E-4,16.00202269,0.208671251,0.178795606,0.122270742,0
1.09767E-4,16.252890462,0.211490885,0.17653982,0.126637555,0
1.11022E-4,16.506631921,0.21362984,0.174284033,0.126637555,0
1.12636E-4,16.752830856,0.216372711,0.172126324,0.126637555,0
1.14103E-4,17.002053363,0.21885705,0.169968615,0.126637555,0
1.15504E-4,17.254724862,0.221222861,0.167810906,0.126637555,0
1.16628E-4,17.510301584,0.223115489,0.165653197,0.131004367,0
1.17506E-4,17.756255231,0.224591354,0.163593566,0.139737991,0
1.1907E-4,18.005037875,0.227211479,0.161533935,0.139737991,0
1.20747E-4,18.256784993,0.230012377,0.159474304,0.139737991,0
1.22655E-4,18.500818409,0.233185589,0.15751275,0.144104803,0
1.24692E-4,18.761276767,0.236560242,0.155453119,0.144104803,0
1.26818E-4,19.000493043,0.240064715,0.153589643,0.148471616,0
1.29187E-4,19.256934587,0.243951654,0.151628089,0.148471616,0
1.30445E-4,19.503686273,0.246008265,0.149764614,0.152838428,0
1.32093E-4,19.752923619,0.248692929,0.147901138,0.15720524,0
1.33971E-4,20.005533863,0.251741625,0.146037662,0.15720524,0
1.36125E-4,20.261971581,0.2552212,0.144174186,0.15720524,0
1.3772E-4,20.508323698,0.257788656,0.142408788,0.15720524,0
1.38953E-4,20.757460978,0.259766548,0.14064339,0.15720524,0
1.4011E-4,21.008560923,0.261618915,0.138877991,0.15720524,0
1.42073E-4,21.262725477,0.264750543,0.137112593,0.161572052,0
1.43825E-4,21.505965788,0.267533763,0.135445273,0.161572052,0
1.45659E-4,21.752219616,0.270434763,0.133777952,0.179039301,0
1.48333E-4,22.002231424,0.274646286,0.132110632,0.183406114,0
1.50571E-4,22.256250568,0.278151443,0.130443311,0.183406114,0
1.52206E-4,22.513725605,0.280702316,0.128775991,0.192139738,0
1.54328E-4,22.759179106,0.283997778,0.127206748,0.200873362,0
1.56104E-4,23.007374492,0.286746426,0.125637505,0.205240175,0
1.59204E-4,23.25991813,0.291516194,0.124068262,0.205240175,0
1.6171E-4,23.500626173,0.295348266,0.122597097,0.205240175,0
1.64501E-4,23.76160633,0.299592976,0.121027854,0.209606987,0
1.67966E-4,24.010430511,0.304827228,0.119556689,0.209606987,0
1.6944E-4,24.263530407,0.307042636,0.118085524,0.209606987,0
1.7131E-4,24.502147951,0.309841549,0.116712436,0.209606987,0
1.73553E-4,24.760652733,0.313183996,0.115241271,0.213973799,0
1.7651E-4,25.005351046,0.317567058,0.113868184,0.213973799,0
1.78712E-4,25.253793642,0.320811154,0.112495096,0.213973799,0
1.82002E-4,25.507241447,0.325631659,0.111122009,0.213973799,0
1.83626E-4,25.763402128,0.327998571,0.109748921,0.218340611,0
1.86126E-4,26.003979716,0.331624415,0.108473911,0.218340611,0
1.89173E-4,26.266952608,0.336019477,0.107100824,0.222707424,0
