Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.12331E-6,0.000712331,0.002759986,1,0,0
7.20967E-6,0.001433298,0.002793397,0.998007968,0,0
7.73838E-6,0.00296234,0.002997942,0.994023904,0,0
1.42636E-5,0.005472066,0.005518907,0.990039841,0,0
1.7875E-5,0.010428915,0.006911391,0.984063745,0,0
3.59594E-5,0.02723797,0.013855166,0.970119522,0,0
1.71005E-4,0.066622913,0.064195584,0.964143426,0,0
1.86425E-4,0.102986656,0.069777886,0.960159363,0,0
2.64412E-4,0.223835403,0.097503428,0.950199203,0,0
3.0381E-4,0.313234791,0.111193986,0.944223108,0,0
3.22157E-4,0.407431667,0.117498732,0.938247012,0,0
3.48977E-4,0.509156066,0.126634153,0.932270916,0,0
3.83748E-4,0.621832662,0.13833777,0.926294821,0,0
3.99474E-4,0.700185237,0.143579066,0.922310757,0,0
4.21392E-4,0.783010612,0.150831429,0.918326693,0,0
4.38164E-4,0.826826975,0.15633923,0.916334661,0,0
4.53016E-4,0.917383599,0.161187086,0.912350598,0,0
4.56717E-4,1.008654239,0.162390662,0.908366534,0,0
4.8924E-4,1.103995983,0.172893817,0.90438247,0,0
5.03042E-4,1.203294494,0.177311234,0.900398406,0,0
5.04554E-4,1.304121342,0.177793544,0.896414343,0,0
5.11981E-4,1.405971194,0.180159581,0.892430279,0,0
5.17629E-4,1.509100582,0.181954017,0.888446215,0,0
5.44952E-4,1.777250337,0.190580714,0.878486056,0,0
5.55632E-4,2.05236729,0.193927767,0.868525896,0,0
5.73188E-4,2.279371369,0.199399575,0.860557769,0,0
5.89859E-4,2.512266108,0.20456144,0.852589641,0,0
6.24636E-4,2.758527292,0.21522255,0.844621514,0,0
6.59469E-4,3.018814433,0.225757323,0.836653386,0,0
6.82175E-4,3.287547783,0.232548319,0.828685259,0,0
6.97563E-4,3.563407074,0.237116642,0.820717131,0,0
7.08694E-4,3.775181247,0.240404254,0.814741036,0,0
7.17904E-4,4.060112121,0.243113735,0.806772908,0,0
7.33221E-4,4.277763175,0.247598655,0.800796813,0,0
7.52311E-4,4.575133552,0.253150738,0.792828685,0,0
7.58193E-4,4.802010723,0.254853386,0.78685259,0,0
7.78988E-4,5.032680215,0.260841117,0.780876494,0,0
7.86642E-4,5.268420848,0.263033118,0.774900398,0,0
7.88847E-4,5.504774061,0.263663421,0.768924303,0,0
8.04551E-4,5.824474503,0.268136087,0.760956175,0,0
8.10101E-4,6.066964115,0.269710404,0.75498008,0,0
8.16669E-4,6.311136562,0.271569113,0.749003984,0,0
8.26607E-4,6.55737568,0.274372463,0.743027888,0,0
8.44798E-4,6.808341872,0.279476048,0.737051793,0,0
8.57475E-4,7.064012892,0.283011161,0.731075697,0,0
8.6691E-4,7.323892024,0.28563102,0.725099602,0,0
8.76897E-4,7.585783385,0.288393714,0.719123506,0,0
8.86399E-4,7.762706535,0.29101256,0.715139442,0,0
8.94525E-4,8.030472518,0.293244283,0.709163347,0,0
9.05807E-4,8.300816687,0.296331135,0.703187251,0,0
9.16678E-4,8.574492736,0.299292979,0.697211155,0,0
9.28092E-4,8.759072378,0.302389142,0.693227092,0,0
9.38619E-4,9.040243445,0.305232875,0.687250996,0,0
9.5034E-4,9.324573053,0.308385097,0.6812749,0,0
9.66616E-4,9.516947055,0.312738817,0.677290837,0,0
9.96607E-4,9.811411313,0.320689793,0.671314741,0,0
1.00589E-3,10.012379412,0.323133069,0.667330677,0,0
