species_name,x,y
Heuchera acutifolia,-97.2526944,19.7337778
Heuchera acutifolia,-97.332222,19.761944
Heuchera acutifolia,-96.0758333,17.0180556
Heuchera acutifolia,-96.5,17.75
Heuchera acutifolia,-99.0,20.5
Heuchera acutifolia,-96.067,17.017
Heuchera acutifolia,-96.4591667,17.5933333
Heuchera acutifolia,-97.104111,19.705391
Heuchera acutifolia,-98.216667,20.35
Heuchera acutifolia,-97.083333,19.55
Heuchera acutifolia,-97.36133,19.821835
Heuchera acutifolia,-96.075833,17.018056
Heuchera acutifolia,-97.3666667,19.8136111
Heuchera acutifolia,-96.459167,17.593333
Heuchera acutifolia,-97.36,19.815
Heuchera acutifolia,-97.243889,19.763056
Heuchera acutifolia,-97.161667,19.664167
Heuchera acutifolia,-97.360556,19.817222
Heuchera acutifolia,-98.45,20.635
Heuchera acutifolia,-98.445931,20.642644
Heuchera acutifolia,-97.3605556,19.8172222
Heuchera acutifolia,-98.64407,20.631687
Heuchera acutifolia,-96.06,17.01
Heuchera acutifolia,-98.92944,20.54056
Heuchera acutifolia,-97.252694,19.733778
Heuchera acutifolia,-95.916667,17.15
Heuchera acutifolia,-97.124722,19.484722
Heuchera acutifolia,-97.133889,19.648611
