Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.67802E-5,0.001678025,0.002943699,1,0,0
2.1957E-5,0.003873725,0.003850088,0.996015936,0,0
2.96193E-5,0.00683566,0.005190164,0.992031873,0,0
4.13685E-5,0.01097251,0.007241484,0.988047809,0,0
5.27125E-5,0.029862904,0.009218062,0.972111554,0,0
9.71729E-5,0.052478249,0.016926935,0.960159363,0,0
1.75149E-4,0.104785934,0.030302395,0.944223108,0,0
3.3561E-4,0.207340478,0.0572571,0.928286853,0,0
7.52239E-4,0.317934246,0.12379679,0.920318725,0,0
8.47562E-4,0.402690424,0.138348185,0.916334661,0,0
9.00356E-4,0.578705898,0.146303264,0.908366534,0,0
9.27429E-4,0.671448763,0.150353959,0.90438247,0,0
9.60126E-4,0.767461354,0.155220694,0.900398406,0,0
9.86189E-4,0.866080242,0.159079992,0.896414343,0,0
9.86692E-4,0.964749468,0.159154356,0.892430279,0,0
9.9095E-4,1.063844496,0.159783134,0.888446215,0,0
9.93836E-4,1.163228084,0.16020898,0.884462151,0,0
1.00026E-3,1.263254274,0.161156531,0.880478088,0,0
1.00534E-3,1.363788454,0.161904835,0.876494024,0,0
1.11141E-3,1.474929853,0.177378371,0.87250996,0,0
1.14143E-3,1.589072724,0.181704755,0.868525896,0,0
1.15289E-3,1.819024437,0.183351173,0.860557769,0,0
1.19362E-3,2.056110545,0.189174145,0.852589641,0,0
1.29312E-3,2.312217971,0.203224041,0.844621514,0,0
1.42277E-3,2.596637244,0.221168183,0.836653386,0,0
1.45286E-3,2.884724023,0.225273435,0.828685259,0,0
1.47269E-3,3.031992684,0.227967911,0.824701195,0,0
1.49849E-3,3.330704568,0.23145989,0.816733068,0,0
1.50164E-3,3.6308359,0.231885344,0.80876494,0,0
1.53739E-3,3.78457475,0.236694035,0.804780876,0,0
1.55519E-3,4.095488263,0.239077352,0.796812749,0,0
1.5662E-3,4.252108205,0.240547862,0.792828685,0,0
1.58232E-3,4.567392134,0.242695978,0.784860558,0,0
1.63102E-3,4.891102809,0.24914707,0.77689243,0,0
1.6693E-3,5.058033133,0.254180589,0.772908367,0,0
1.70975E-3,5.397178614,0.259460985,0.764940239,0,0
1.71269E-3,5.568447415,0.25984366,0.760956175,0,0
1.72815E-3,5.913045599,0.261851481,0.752988048,0,0
1.73404E-3,6.086449656,0.262615028,0.749003984,0,0
1.73664E-3,6.260113248,0.262951173,0.74501992,0,0
1.75211E-3,6.609158915,0.264952282,0.737051793,0,0
1.7673E-3,6.785889327,0.266911674,0.733067729,0,0
1.85799E-3,7.149889437,0.278498765,0.725099602,0,0
1.86952E-3,7.336841616,0.279959063,0.721115538,0,0
1.87664E-3,7.52450514,0.280858356,0.717131474,0,0
1.88782E-3,7.901081986,0.28226959,0.709163347,0,0
1.89517E-3,8.09059903,0.28319633,0.705179283,0,0
1.89605E-3,8.280203633,0.283306586,0.701195219,0,0
1.90136E-3,8.660268618,0.283974915,0.693227092,0,0
1.9052E-3,8.850788422,0.284458013,0.689243028,0,0
1.92779E-3,9.043567552,0.287292584,0.685258964,0,0
1.96658E-3,9.434330905,0.292132702,0.677290837,0,0
1.98432E-3,9.632763329,0.294336157,0.673306773,0,0
2.02041E-3,9.834803939,0.298795244,0.669322709,0,0
2.03272E-3,10.038076156,0.300310836,0.665338645,0,0
2.03499E-3,10.444915089,0.300590121,0.657370518,0,0
2.04206E-3,10.649121258,0.301457956,0.653386454,0,0
2.04611E-3,10.853732344,0.301954706,0.64940239,0,0
2.04996E-3,11.058728256,0.302426483,0.645418327,0,0
2.05877E-3,11.264605266,0.303505462,0.641434263,0,0
2.06886E-3,11.677568314,0.304739191,0.633466135,0,0
2.07892E-3,11.885460009,0.305966349,0.629482072,0,0
2.10415E-3,12.095874647,0.309035801,0.625498008,0,0
2.11787E-3,12.307661216,0.310699211,0.621513944,0,0
2.13444E-3,12.52110558,0.31270388,0.61752988,0,0
2.14211E-3,12.948868168,0.313628813,0.609561753,0,0
2.15364E-3,13.164231705,0.315017335,0.605577689,0,0
2.16885E-3,13.381116536,0.316845634,0.601593625,0,0
2.17766E-3,13.598882794,0.317902706,0.597609562,0,0
2.17821E-3,13.816703576,0.317968042,0.593625498,0,0
2.17999E-3,14.034702819,0.318181845,0.589641434,0,0
2.2026E-3,14.254962555,0.320884214,0.585657371,0,0
2.24366E-3,14.702962581,0.325765727,0.577689243,0,0
2.244E-3,14.927362339,0.325805778,0.573705179,0,0
2.24471E-3,15.15183321,0.325890003,0.569721116,0,0
2.24722E-3,15.376554773,0.326186835,0.565737052,0,0
2.25033E-3,15.601587642,0.326555254,0.561752988,0,0
2.30353E-3,15.83194062,0.332820377,0.557768924,0,0
2.34304E-3,16.066244195,0.33743498,0.553784861,0,0
2.38564E-3,16.304808136,0.342375652,0.549800797,0,0
2.38857E-3,16.543664841,0.34271381,0.545816733,0,0
2.44057E-3,16.787721581,0.348691228,0.541832669,0,0
2.46699E-3,17.034420107,0.351707094,0.537848606,0,0
2.46736E-3,17.281156596,0.351750331,0.533864542,0,0
2.51479E-3,17.532635134,0.357128514,0.529880478,0,0
2.51996E-3,17.78463071,0.357712207,0.525896414,0,0
2.54992E-3,18.03962286,0.361084668,0.521912351,0,0
2.5848E-3,18.298102962,0.364987851,0.517928287,0,0
2.61954E-3,18.560056548,0.368851147,0.513944223,0,0
2.6319E-3,18.8232465,0.370220585,0.509960159,0.043478261,0
2.65931E-3,19.089177202,0.37324574,0.505976096,0.043478261,0
2.68206E-3,19.357383361,0.375746277,0.501992032,0.043478261,0
2.68492E-3,19.625875565,0.37605991,0.498007968,0.043478261,0
2.70697E-3,19.896572903,0.378472435,0.494023904,0.043478261,0
2.74638E-3,20.171211081,0.382760702,0.490039841,0.043478261,0
2.74865E-3,20.446076006,0.383006536,0.486055777,0.043478261,0
2.82341E-3,20.728417486,0.391057874,0.482071713,0.043478261,0
2.85864E-3,21.014281136,0.394814329,0.478087649,0.043478261,0
2.89241E-3,21.303521707,0.398394115,0.474103586,0.043478261,0
2.91454E-3,21.594975487,0.400728785,0.470119522,0.043478261,0
2.91767E-3,21.886742748,0.401058736,0.466135458,0.043478261,0
2.95732E-3,22.182474298,0.40521567,0.462151394,0.043478261,0
2.98293E-3,22.480767418,0.407886363,0.458167331,0.043478261,0
3.00295E-3,22.781062421,0.409965176,0.454183267,0.043478261,0
3.07278E-3,23.088340605,0.417159741,0.450199203,0.043478261,0
3.1329E-3,23.401631073,0.423283704,0.446215139,0.043478261,0
3.19159E-3,23.720789609,0.429198717,0.442231076,0.043478261,0
3.23071E-3,24.043860152,0.433108278,0.438247012,0.043478261,0
3.23298E-3,24.367157761,0.433334378,0.434262948,0.043478261,0
3.23566E-3,24.690723771,0.433601521,0.430278884,0.086956522,0
3.24557E-3,25.015281139,0.434587141,0.426294821,0.086956522,0
3.25719E-3,25.34099976,0.435739491,0.422310757,0.086956522,0
3.28558E-3,25.669557557,0.438547021,0.418326693,0.086956522,0
3.29017E-3,25.998574552,0.438999787,0.414342629,0.086956522,0
3.35046E-3,26.333620778,0.4449108,0.410358566,0.086956522,0
3.38799E-3,26.672419892,0.448558612,0.406374502,0.086956522,0
3.39031E-3,27.011450395,0.448782736,0.402390438,0.086956522,0
3.43314E-3,27.35476425,0.452915195,0.398406375,0.130434783,0
3.43355E-3,27.698119558,0.452955036,0.394422311,0.130434783,0
3.49651E-3,28.047770606,0.458972386,0.390438247,0.130434783,0
3.52876E-3,28.400647106,0.462029525,0.386454183,0.130434783,0
3.57308E-3,28.75795531,0.466201817,0.38247012,0.130434783,0
3.58759E-3,29.116713954,0.467560314,0.378486056,0.130434783,0
3.60238E-3,29.476951464,0.468941876,0.374501992,0.130434783,0
3.6169E-3,29.83864144,0.470295284,0.370517928,0.173913043,0
3.65914E-3,30.204555364,0.474211594,0.366533865,0.173913043,0
3.66986E-3,30.571541435,0.475201039,0.362549801,0.173913043,0
3.67135E-3,30.938676884,0.475338746,0.358565737,0.173913043,0
3.67572E-3,31.306249262,0.475741331,0.354581673,0.173913043,0
3.70013E-3,31.676262238,0.477984419,0.35059761,0.173913043,0
3.72383E-3,32.048644928,0.480153175,0.346613546,0.173913043,0
3.74803E-3,32.423447817,0.482358834,0.342629482,0.173913043,0
3.77151E-3,32.800598533,0.484489596,0.338645418,0.173913043,0
3.81638E-3,33.18223691,0.488537978,0.334661355,0.173913043,0
3.87287E-3,33.569524344,0.493588905,0.330677291,0.173913043,0
3.89868E-3,33.959392068,0.495879366,0.326693227,0.173913043,0
4.00645E-3,34.360036903,0.505334484,0.322709163,0.173913043,0
4.01396E-3,34.761433292,0.505987194,0.3187251,0.173913043,0
4.15983E-3,35.177416417,0.518486286,0.314741036,0.173913043,0
4.19328E-3,35.596744148,0.521307353,0.310756972,0.217391304,0
4.24818E-3,36.021561989,0.525902296,0.306772908,0.217391304,0
4.27937E-3,36.449498678,0.528492939,0.302788845,0.217391304,0
4.31953E-3,36.88145122,0.531807837,0.298804781,0.217391304,0
4.50903E-3,37.332353898,0.547138542,0.294820717,0.217391304,0
4.5765E-3,37.79000436,0.552475453,0.290836653,0.217391304,0
4.62277E-3,38.252280934,0.55609792,0.28685259,0.217391304,0
4.63674E-3,38.715955363,0.557186727,0.282868526,0.217391304,0
4.69354E-3,39.185309441,0.56158328,0.278884462,0.217391304,0
4.79436E-3,39.664745677,0.56928052,0.274900398,0.260869565,0
4.82107E-3,40.146852597,0.57129672,0.270916335,0.260869565,0
4.88998E-3,40.635850486,0.576455487,0.266932271,0.260869565,0
4.91508E-3,41.127358508,0.578319177,0.262948207,0.260869565,0
5.1014E-3,41.637498076,0.591898537,0.258964143,0.260869565,0
5.12333E-3,42.14983124,0.593468261,0.25498008,0.260869565,0
5.23458E-3,42.673289368,0.601336742,0.250996016,0.260869565,0
5.24384E-3,43.197673493,0.601984776,0.247011952,0.260869565,0
5.38494E-3,43.736167169,0.611729652,0.243027888,0.260869565,0
5.41848E-3,44.278015319,0.614011121,0.239043825,0.260869565,0
5.42228E-3,44.820243535,0.614268767,0.235059761,0.304347826,0
5.4553E-3,45.365773441,0.616499756,0.231075697,0.304347826,0
5.50915E-3,45.916688112,0.620110649,0.227091633,0.304347826,0
5.69787E-3,46.486475125,0.632499704,0.22310757,0.304347826,0
5.9412E-3,47.0805955,0.647879298,0.219123506,0.304347826,0
5.99184E-3,47.679779317,0.650997772,0.215139442,0.347826087,0
6.07696E-3,48.287475651,0.656178345,0.211155378,0.347826087,0
6.11359E-3,48.898834819,0.658383753,0.207171315,0.347826087,0
6.11576E-3,49.510411066,0.658514012,0.203187251,0.347826087,0
6.16077E-3,50.126487716,0.661203339,0.199203187,0.391304348,0
6.17426E-3,50.743913939,0.662005674,0.195219124,0.391304348,0
6.31267E-3,51.375181083,0.670125372,0.19123506,0.391304348,0
6.47227E-3,52.022407965,0.679246223,0.187250996,0.391304348,0
6.49154E-3,52.671561982,0.68033036,0.183266932,0.391304348,0
6.57442E-3,53.329004297,0.684951442,0.179282869,0.391304348,0
6.70342E-3,53.999346421,0.692011104,0.175298805,0.391304348,0
6.70908E-3,54.67025421,0.692317028,0.171314741,0.391304348,0
6.75708E-3,55.345962235,0.694900901,0.167330677,0.391304348,0
6.84825E-3,56.030787444,0.699748907,0.163346614,0.391304348,0
6.9842E-3,56.729207579,0.706835222,0.15936255,0.391304348,0
7.03223E-3,57.432430274,0.70929836,0.155378486,0.391304348,0
7.12419E-3,58.144849768,0.713957603,0.151394422,0.391304348,0
7.27418E-3,58.87226732,0.721396206,0.147410359,0.391304348,0
7.35345E-3,59.607612244,0.725249486,0.143426295,0.391304348,0
7.49118E-3,60.356730617,0.731818079,0.139442231,0.391304348,0
7.56257E-3,61.112988018,0.735160668,0.135458167,0.391304348,0
7.99942E-3,61.912929804,0.754725897,0.131474104,0.434782609,0
8.08562E-3,62.721492147,0.758412595,0.12749004,0.47826087,0
8.09633E-3,63.531124807,0.758866446,0.123505976,0.47826087,0
8.10893E-3,64.342017526,0.759399662,0.119521912,0.47826087,0
8.21989E-3,65.164006233,0.764044505,0.115537849,0.47826087,0
8.43625E-3,66.007631153,0.772845229,0.111553785,0.47826087,0
8.75571E-3,66.883202416,0.785243116,0.107569721,0.47826087,0
9.48917E-3,67.832119268,0.811207353,0.103585657,0.47826087,0
9.7971E-3,68.811829278,0.821149493,0.099601594,0.47826087,0
9.90402E-3,69.802231093,0.824477649,0.09561753,0.47826087,0
9.91778E-3,70.794008944,0.82490146,0.091633466,0.52173913,0
1.02962E-2,71.82363132,0.836164695,0.087649402,0.52173913,0
1.04431E-2,72.867938671,0.840337475,0.083665339,0.52173913,0
1.04511E-2,73.913044293,0.840561236,0.079681275,0.52173913,0
1.07604E-2,74.989088274,0.848996076,0.075697211,0.565217391,0
1.08045E-2,76.069541026,0.850161167,0.071713147,0.608695652,0
1.08808E-2,77.157621657,0.85215577,0.067729084,0.608695652,0
1.16204E-2,78.319658488,0.870169577,0.06374502,0.652173913,0
1.17552E-2,79.495177428,0.873208615,0.059760956,0.695652174,0
1.17893E-2,80.674108866,0.873966487,0.055776892,0.695652174,0
1.20294E-2,81.877044853,0.87917111,0.051792829,0.695652174,0
1.2202E-2,83.097244026,0.882780697,0.047808765,0.739130435,0
1.27226E-2,84.369503051,0.893026073,0.043824701,0.782608696,0
1.2959E-2,85.665407321,0.89737886,0.039840637,0.826086957,0
1.29759E-2,86.962998853,0.897682606,0.035856574,0.826086957,0
1.31322E-2,88.276214475,0.900452942,0.03187251,0.826086957,0
1.36614E-2,89.642353801,0.909291471,0.027888446,0.826086957,0
1.47984E-2,91.122197781,0.925716474,0.023904382,0.826086957,0
1.48793E-2,92.610129234,0.926764468,0.019920319,0.826086957,0
1.62021E-2,94.230341497,0.941951262,0.015936255,0.826086957,0
1.87373E-2,96.104073546,0.96281571,0.011952191,0.869565217,0
1.9124E-2,98.016470604,0.96525771,0.007968127,0.913043478,0
1.98353E-2,100,0.969339084,0.003984064,0.956521739,0
