Predictor variable,Categorical,Sample average
alt,false,689.1176470588235
alt,false,689.1176470588235
bio1,false,92.70588235294117
bio1,false,92.70588235294117
bio10,false,194.47058823529412
bio10,false,194.47058823529412
bio11,false,-17.0
bio11,false,-17.0
bio12,false,1073.0
bio12,false,1073.0
bio13,false,108.05882352941177
bio13,false,108.05882352941177
bio14,false,71.23529411764706
bio14,false,71.23529411764706
bio15,false,12.647058823529411
bio15,false,12.647058823529411
bio16,false,309.5882352941176
bio16,false,309.5882352941176
bio17,false,222.23529411764707
bio17,false,222.23529411764707
bio18,false,301.11764705882354
bio18,false,301.11764705882354
bio19,false,222.23529411764707
bio19,false,222.23529411764707
bio2,false,124.17647058823529
bio2,false,124.17647058823529
bio3,false,34.76470588235294
bio3,false,34.76470588235294
bio4,false,8179.529411764706
bio4,false,8179.529411764706
bio5,false,269.0
bio5,false,269.0
bio6,false,-83.29411764705883
bio6,false,-83.29411764705883
bio7,false,352.29411764705884
bio7,false,352.29411764705884
bio8,false,175.8235294117647
bio8,false,175.8235294117647
bio9,false,-17.0
bio9,false,-17.0
mask,true,50.0
