Predictor variable,Categorical,Sample average
alt,false,278.2859960552268
alt,false,278.2859960552268
bio1,false,121.42800788954635
bio1,false,121.42800788954635
bio10,false,226.57199211045364
bio10,false,226.57199211045364
bio11,false,8.63905325443787
bio11,false,8.63905325443787
bio12,false,1145.268244575937
bio12,false,1145.268244575937
bio13,false,120.94674556213018
bio13,false,120.94674556213018
bio14,false,69.17554240631164
bio14,false,69.17554240631164
bio15,false,16.151873767258383
bio15,false,16.151873767258383
bio16,false,338.9112426035503
bio16,false,338.9112426035503
bio17,false,231.4240631163708
bio17,false,231.4240631163708
bio18,false,308.64102564102564
bio18,false,308.64102564102564
bio19,false,251.69428007889547
bio19,false,251.69428007889547
bio2,false,124.20315581854044
bio2,false,124.20315581854044
bio3,false,34.205128205128204
bio3,false,34.205128205128204
bio4,false,8420.112426035503
bio4,false,8420.112426035503
bio5,false,300.64694280078896
bio5,false,300.64694280078896
bio6,false,-58.676528599605525
bio6,false,-58.676528599605525
bio7,false,359.32347140039445
bio7,false,359.32347140039445
bio8,false,172.81459566074952
bio8,false,172.81459566074952
bio9,false,45.566074950690336
bio9,false,45.566074950690336
mask,true,50.0
