Predictor variable,Categorical,Sample average
alt,false,1202.6
alt,false,1202.6
bio1,false,195.6
bio1,false,195.6
bio10,false,243.4
bio10,false,243.4
bio11,false,138.0
bio11,false,138.0
bio12,false,541.6
bio12,false,541.6
bio13,false,116.6
bio13,false,116.6
bio14,false,12.4
bio14,false,12.4
bio15,false,69.8
bio15,false,69.8
bio16,false,262.4
bio16,false,262.4
bio17,false,44.8
bio17,false,44.8
bio18,false,203.8
bio18,false,203.8
bio19,false,49.0
bio19,false,49.0
bio2,false,145.0
bio2,false,145.0
bio3,false,54.4
bio3,false,54.4
bio4,false,4162.4
bio4,false,4162.4
bio5,false,321.6
bio5,false,321.6
bio6,false,56.4
bio6,false,56.4
bio7,false,265.2
bio7,false,265.2
bio8,false,225.2
bio8,false,225.2
bio9,false,149.2
bio9,false,149.2
mask,true,50.0
