Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.27277E-5,0.006272774,0.007941384,1,0,0
7.90868E-5,0.014181452,0.010002064,0.996969697,0,0
9.27279E-5,0.032422498,0.011717102,0.990909091,0,0
9.95756E-5,0.05228332,0.012576917,0.984848485,0,0
1.23625E-4,0.109831507,0.015590673,0.96969697,0,0
1.37055E-4,0.200864102,0.01726969,0.948484848,0,0
1.53816E-4,0.304061367,0.019361043,0.927272727,0,0
1.60896E-4,0.415006847,0.020243122,0.906060606,0,0
1.73893E-4,0.500176602,0.021860389,0.890909091,0,0
1.82724E-4,0.606945073,0.022957768,0.872727273,0,0
1.8787E-4,0.718559868,0.023596624,0.854545455,0,0
1.89388E-4,0.756423883,0.02378493,0.848484848,0,0
2.00773E-4,0.815424138,0.02519663,0.839393939,0,0
2.10208E-4,0.918866712,0.026364967,0.824242424,0,0
2.18342E-4,1.004927541,0.027371047,0.812121212,0,0
2.305E-4,1.118119435,0.028872971,0.796969697,0,0
2.47466E-4,1.214408924,0.030964938,0.784848485,0,0
2.73411E-4,1.318091377,0.034155297,0.772727273,0,0
2.786E-4,1.400995448,0.034792117,0.763636364,0,0
3.02691E-4,1.520797469,0.037743135,0.751515152,0,0
3.2981E-4,1.776862575,0.041054382,0.727272727,0.023809524,0
3.87651E-4,2.028552104,0.048078608,0.706060606,0.023809524,0
4.20668E-4,2.275003798,0.052065189,0.687878788,0.023809524,0
4.3914E-4,2.532225369,0.05428825,0.66969697,0.023809524,0
4.7393E-4,2.762993942,0.058460917,0.654545455,0.023809524,0
5.01768E-4,3.01046539,0.061786545,0.639393939,0.047619048,0
5.38682E-4,3.270361557,0.066178375,0.624242424,0.047619048,0
5.97147E-4,3.55644198,0.073092108,0.609090909,0.047619048,0
6.48089E-4,3.808324441,0.079074499,0.596969697,0.047619048,0
6.90464E-4,4.01059248,0.084021331,0.587878788,0.047619048,0
7.0221E-4,4.290161669,0.085387857,0.575757576,0.047619048,0
7.22452E-4,4.505374002,0.087738106,0.566666667,0.047619048,0
7.77823E-4,4.809719569,0.094135976,0.554545455,0.047619048,0
8.13793E-4,5.050246219,0.098268162,0.545454545,0.047619048,0
8.40967E-4,5.298169567,0.101377367,0.536363636,0.047619048,0
8.4723E-4,5.551876881,0.102092472,0.527272727,0.047619048,0
8.54425E-4,5.807534067,0.102913288,0.518181818,0.047619048,0
9.05018E-4,6.073658319,0.108663634,0.509090909,0.047619048,0
9.18891E-4,6.256596529,0.110233992,0.503030303,0.047619048,0
9.55321E-4,6.538111522,0.114344548,0.493939394,0.047619048,0
9.68928E-4,6.827588715,0.115874996,0.484848485,0.047619048,0
9.77605E-4,7.022276377,0.116849476,0.478787879,0.047619048,0
9.99619E-4,7.32051104,0.119317218,0.46969697,0.047619048,0
1.0151E-3,7.522153934,0.121048765,0.463636364,0.047619048,0
1.08226E-3,7.842100635,0.128520029,0.454545455,0.047619048,0
1.0945E-3,8.060498431,0.129874969,0.448484848,0.047619048,0
1.12882E-3,8.285847151,0.133661694,0.442424242,0.047619048,0
1.16494E-3,8.518532275,0.137630587,0.436363636,0.047619048,0
1.19368E-3,8.755168884,0.140774948,0.43030303,0.047619048,0
1.24572E-3,9.002380396,0.146439613,0.424242424,0.047619048,0
1.27877E-3,9.257576554,0.150017593,0.418181818,0.047619048,0
1.29632E-3,9.51680292,0.151911675,0.412121212,0.047619048,0
1.335E-3,9.782341124,0.156071216,0.406060606,0.047619048,0
1.34618E-3,10.051460774,0.157269613,0.4,0.047619048,0
1.36272E-3,10.323674533,0.159039131,0.393939394,0.047619048,0
1.4534E-3,10.612466529,0.168676886,0.387878788,0.047619048,0
