Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.39289E-4,0.023928874,0.023527847,1,0,0
2.77997E-4,0.051728533,0.0272814,0.995145631,0,0
2.87337E-4,0.108366326,0.028184995,0.985436893,0,0
4.59787E-4,0.216252714,0.044717726,0.970873786,0,0
4.83006E-4,0.312131762,0.046922163,0.961165049,0,0
5.37696E-4,0.41499329,0.052094412,0.951456311,0,0
6.29945E-4,0.540679774,0.06075508,0.941747573,0,0
6.5626E-4,0.60630573,0.063211107,0.936893204,0,0
6.94622E-4,0.741505966,0.066780036,0.927184466,0,0
6.94646E-4,0.8109706,0.066782306,0.922330097,0,0
6.97182E-4,0.950288963,0.067017711,0.912621359,0,0
7.02783E-4,1.020567247,0.06753751,0.90776699,0,0
7.30059E-4,1.165114787,0.07006477,0.898058252,0,0
7.56916E-4,1.240806348,0.07254641,0.893203883,0,0
7.57377E-4,1.316544004,0.072588945,0.888349515,0,0
7.65334E-4,1.468935415,0.073322923,0.878640777,0,0
7.73935E-4,1.546328925,0.074115655,0.873786408,0,0
8.20555E-4,1.78942842,0.078400552,0.859223301,0,0
8.50294E-4,2.03933327,0.081123556,0.844660194,0,0
8.88626E-4,2.301001352,0.084621495,0.830097087,0,0
8.99485E-4,2.569898701,0.085610004,0.815533981,0,0
9.49277E-4,2.759547151,0.090128897,0.805825243,0,0
9.9264E-4,3.056228927,0.094046139,0.791262136,0,0
1.00656E-3,3.257264826,0.095300356,0.781553398,0,0
1.04358E-3,3.569749438,0.098626551,0.766990291,0,0
1.08856E-3,3.785014512,0.102651853,0.757281553,0,0
1.15079E-3,4.010615284,0.108190317,0.747572816,0,0
1.16248E-3,4.358018761,0.109227427,0.733009709,0,0
1.18588E-3,4.594194104,0.111298388,0.723300971,0,0
1.19328E-3,4.832173473,0.111952819,0.713592233,0,0
1.21822E-3,5.073335952,0.114153661,0.703883495,0,0
1.25636E-3,5.323944789,0.117509588,0.694174757,0,0
1.27398E-3,5.577133546,0.119054979,0.684466019,0,0
1.28403E-3,5.833093308,0.119935384,0.674757282,0,0
1.32847E-3,6.097100022,0.123818182,0.665048544,0,0
1.35751E-3,6.366093135,0.126345963,0.655339806,0,0
1.38648E-3,6.504741193,0.128861024,0.650485437,0,0
1.41055E-3,6.78482421,0.130945026,0.640776699,0,0
1.44802E-3,7.071792624,0.134178487,0.631067961,0,0
1.51395E-3,7.369951792,0.139840048,0.621359223,0,0
1.51868E-3,7.521819689,0.140244639,0.616504854,0,0
1.56076E-3,7.830756921,0.143836872,0.606796117,0,0
1.57812E-3,8.145777334,0.14531482,0.597087379,0,0
1.59364E-3,8.305141513,0.146633477,0.59223301,0,0
1.61836E-3,8.628718959,0.148729598,0.582524272,0,0
1.65662E-3,8.79438093,0.151964171,0.577669903,0,0
1.70401E-3,9.133426463,0.155953679,0.567961165,0,0
1.71701E-3,9.305127161,0.157044305,0.563106796,0,0
1.725E-3,9.64939574,0.157714218,0.553398058,0,0
1.7631E-3,9.825705714,0.160901413,0.548543689,0,0
