species_name,x,y
Heuchera caespitosa,-117.67175,34.23358
Heuchera caespitosa,-118.8785,34.627
Heuchera caespitosa,-117.71222,34.28833
Heuchera caespitosa,-119.17975,34.5261
Heuchera caespitosa,-117.689905,34.216106
Heuchera caespitosa,-117.40667,34.27083
Heuchera caespitosa,-118.4847,35.0468
Heuchera caespitosa,-118.94639,34.8615
Heuchera caespitosa,-119.0045,34.4664
Heuchera caespitosa,-117.57722,34.20167
Heuchera caespitosa,-118.12056,34.28472
Heuchera caespitosa,-119.1783,34.5261
Heuchera caespitosa,-118.3613,35.0492
Heuchera caespitosa,-117.67417,34.29944
Heuchera caespitosa,-117.61222,34.26417
Heuchera caespitosa,-119.161,34.623
Heuchera caespitosa,-117.63417,34.24194
Heuchera caespitosa,-117.71333,34.28833
Heuchera caespitosa,-117.67139,34.23389
Heuchera caespitosa,-117.57306,34.27417
Heuchera caespitosa,-117.67472,34.305
Heuchera caespitosa,-118.69419,35.54489
Heuchera caespitosa,-118.6942,35.5449
Heuchera caespitosa,-117.969,34.21781
Heuchera caespitosa,-117.937008,34.338624
Heuchera caespitosa,-117.843,34.356
Heuchera caespitosa,-118.05917,34.22397
Heuchera caespitosa,-117.750503,34.373337
Heuchera caespitosa,-117.6894444,34.2166667
Heuchera caespitosa,-118.18515,34.26535
Heuchera caespitosa,-117.61056,34.24389
Heuchera caespitosa,-117.69806,34.2175
Heuchera caespitosa,-117.847007,34.317632
Heuchera caespitosa,-116.6796,33.8147
Heuchera caespitosa,-117.84806,34.31833
Heuchera caespitosa,-119.1799,34.526
Heuchera caespitosa,-119.145232,34.81291
Heuchera caespitosa,-119.595,34.7
Heuchera caespitosa,-117.71,34.11
Heuchera caespitosa,-117.60472,34.24528
Heuchera caespitosa,-119.1807,34.5302
Heuchera caespitosa,-117.50972,34.22833
Heuchera caespitosa,-119.6576,34.7237
Heuchera caespitosa,-117.842358,34.315698
Heuchera caespitosa,-117.646742,34.288723
Heuchera caespitosa,-117.82978,34.34658
Heuchera caespitosa,-117.64333,34.23639
Heuchera caespitosa,-119.417,34.478
Heuchera caespitosa,-118.1,34.2
Heuchera caespitosa,-119.14733,34.811643
Heuchera caespitosa,-118.25724,34.35068
Heuchera caespitosa,-118.868,34.609
Heuchera caespitosa,-119.1769,34.9227
Heuchera caespitosa,-117.96989832063538,34.217804147519985
Heuchera caespitosa,-118.05778,34.225
Heuchera caespitosa,-119.18,34.527
Heuchera caespitosa,-117.58389,34.22306
Heuchera caespitosa,-117.67026,34.32234
Heuchera caespitosa,-119.1836,34.5359
Heuchera caespitosa,-117.66917,34.30167
Heuchera caespitosa,-119.16194183766324,34.622986417097934
Heuchera caespitosa,-117.65778,34.19972
Heuchera caespitosa,-117.74422,34.36204
