Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.1259E-4,0.021258984,0.03007634,1,0,0
2.30675E-4,0.044326467,0.03259279,0.99543379,0,0
2.43438E-4,0.068670236,0.03436476,0.99086758,0,0
2.99585E-4,0.126738705,0.042121718,0.98173516,0,0
3.85882E-4,0.226826262,0.053922501,0.96803653,0,0
4.14947E-4,0.308376786,0.057864266,0.95890411,0,0
4.8715E-4,0.448463198,0.067585398,0.945205479,0,0
5.02503E-4,0.548576449,0.069639466,0.936073059,0,0
5.32083E-4,0.652624023,0.073584235,0.926940639,0,0
5.67812E-4,0.709405186,0.078326726,0.922374429,0,0
5.78212E-4,0.76722638,0.079702654,0.917808219,0,0
5.78469E-4,0.82507327,0.079736624,0.913242009,0,0
6.10123E-4,0.945139775,0.083911555,0.904109589,0,0
6.12048E-4,1.006344594,0.084164887,0.899543379,0,0
6.58456E-4,1.136462481,0.090249821,0.890410959,0,0
6.71971E-4,1.203659591,0.092014336,0.885844749,0,0
6.96958E-4,1.342448886,0.095267559,0.876712329,0,0
7.03395E-4,1.412788406,0.096103729,0.872146119,0,0
7.07055E-4,1.553840999,0.096578735,0.863013699,0,0
7.51901E-4,1.7757877,0.102379982,0.849315068,0,0
7.92362E-4,2.008738027,0.107581825,0.835616438,0.032258065,0
8.11117E-4,2.330489687,0.109982898,0.817351598,0.032258065,0
8.61135E-4,2.500744347,0.116354748,0.808219178,0.032258065,0
9.58741E-4,2.779892005,0.128657691,0.794520548,0.032258065,0
1.01805E-3,3.078003531,0.136049291,0.780821918,0.032258065,0
1.04441E-3,3.28661497,0.139315163,0.771689498,0.032258065,0
1.06283E-3,3.60345693,0.141588808,0.757990868,0.032258065,0
1.0902E-3,3.820477934,0.144956956,0.748858447,0.032258065,0
1.13309E-3,4.043536738,0.150209602,0.739726027,0.032258065,0
1.13976E-3,4.271351585,0.15102273,0.730593607,0.032258065,0
1.15685E-3,4.501864384,0.153104916,0.721461187,0.032258065,0
1.22417E-3,4.864530159,0.161254359,0.707762557,0.032258065,0
1.23649E-3,5.111733196,0.162738472,0.698630137,0.032258065,0
1.29825E-3,5.368335529,0.17013297,0.689497717,0.032258065,0
1.32187E-3,5.630511733,0.172943515,0.680365297,0.032258065,0
1.34671E-3,5.76518312,0.175890212,0.675799087,0.032258065,0
1.37099E-3,6.038871288,0.178758545,0.666666667,0.032258065,0
