species_name,x,y
Heuchera chlorantha,-121.81533916547419,43.72437988620348
Heuchera chlorantha,-121.057053,51.824799
Heuchera chlorantha,-121.6268,44.547
Heuchera chlorantha,-121.336767,45.773017
Heuchera chlorantha,-122.310098,47.613617
Heuchera chlorantha,-122.3028,44.7547
Heuchera chlorantha,-122.91667,49.35
Heuchera chlorantha,-121.4739,44.976
Heuchera chlorantha,-123.423399,42.736228
Heuchera chlorantha,-122.6694,45.4208
Heuchera chlorantha,-122.4912,42.4975
Heuchera chlorantha,-121.581331,45.422735
Heuchera chlorantha,-123.3296,45.354
Heuchera chlorantha,-121.9529,43.5223
Heuchera chlorantha,-122.00281,44.64768
Heuchera chlorantha,-121.933,43.5368
Heuchera chlorantha,-123.1639,42.8486
Heuchera chlorantha,-124.161479,41.740511
Heuchera chlorantha,-122.82985,45.535603
Heuchera chlorantha,-121.97222,42.68556
Heuchera chlorantha,-121.8126,43.552
Heuchera chlorantha,-113.51488,46.40862
Heuchera chlorantha,-121.306515,45.977122
Heuchera chlorantha,-122.9407,45.0258
Heuchera chlorantha,-121.7417,45.0964
Heuchera chlorantha,-122.7522,45.4661
Heuchera chlorantha,-122.1749,47.61164
Heuchera chlorantha,-122.675,45.5236
Heuchera chlorantha,-119.964611,46.94428
Heuchera chlorantha,-123.32966,45.35404
Heuchera chlorantha,-122.330686,47.602884
Heuchera chlorantha,-114.848872,45.074085
Heuchera chlorantha,-122.152041,43.310057
Heuchera chlorantha,-121.46333,45.715
Heuchera chlorantha,-121.66944,46.60667
Heuchera chlorantha,-121.30818,45.97682
Heuchera chlorantha,-121.3142,43.9564
Heuchera chlorantha,-121.5419,45.6272
Heuchera chlorantha,-121.9722,42.6856
Heuchera chlorantha,-121.9669,43.5014
Heuchera chlorantha,-122.33889,47.6
Heuchera chlorantha,-121.6333,43.7677
Heuchera chlorantha,-121.6355,44.3981
Heuchera chlorantha,-124.25139,48.12639
Heuchera chlorantha,-122.9625,44.0719
Heuchera chlorantha,-121.87284,44.93979
Heuchera chlorantha,-122.0028,44.6476
Heuchera chlorantha,-122.33083,47.60639
Heuchera chlorantha,-122.1445,43.7467
Heuchera chlorantha,-122.7824,45.4844
Heuchera chlorantha,-123.79104,48.03914
