species_name,x,y
Heuchera glabra,-123.142262,47.750725
Heuchera glabra,-131.8,55.9171
Heuchera glabra,-152.446598,57.452351
Heuchera glabra,-155.45,58.2166667
Heuchera glabra,-121.86817,46.95065
Heuchera glabra,-120.74628,48.5105
Heuchera glabra,-149.55,60.18
Heuchera glabra,-149.63,60.16
Heuchera glabra,-123.60139,47.98167
Heuchera glabra,-135.06,59.55
Heuchera glabra,-131.65,55.33
Heuchera glabra,-151.54,62.56
Heuchera glabra,-148.966861,60.84425
Heuchera glabra,-122.0061,45.5881
Heuchera glabra,-152.41,57.79
Heuchera glabra,-157.03,56.78
Heuchera glabra,-117.08333,50.68333
Heuchera glabra,-159.7,59.53
Heuchera glabra,-146.18,60.73
Heuchera glabra,-131.2515944,59.69971657
Heuchera glabra,-118.13333,51.05
Heuchera glabra,-147.811189,60.206643
Heuchera glabra,-152.58,60.13
Heuchera glabra,-120.58288,48.45014
Heuchera glabra,-126.95,52.833
Heuchera glabra,-159.08,59.57
Heuchera glabra,-149.28,61.78
Heuchera glabra,-142.21,60.73
Heuchera glabra,-133.18,57.61
Heuchera glabra,-134.419722,58.301944
Heuchera glabra,-154.583333,57.45
Heuchera glabra,-121.85611,48.72667
Heuchera glabra,-154.31,60.2
Heuchera glabra,-121.32179,48.686864
Heuchera glabra,-148.8,60.76
Heuchera glabra,-120.52187,47.985462
Heuchera glabra,-152.55,60.21
Heuchera glabra,-118.667,52.8
Heuchera glabra,-121.59583,46.95194
Heuchera glabra,-135.1861,59.59185
Heuchera glabra,-135.18,59.52
Heuchera glabra,-123.663188,47.983279
Heuchera glabra,-121.828,44.1799
Heuchera glabra,-134.364815,56.71885
Heuchera glabra,-122.86667,49.46667
Heuchera glabra,-152.41,62.52
Heuchera glabra,-154.00562,60.49587
Heuchera glabra,-121.856542,48.993068
Heuchera glabra,-121.454364,47.432239
Heuchera glabra,-145.01,60.98
Heuchera glabra,-120.78211,48.50477
Heuchera glabra,-150.54,62.72
Heuchera glabra,-120.760445,48.509875
Heuchera glabra,-121.9327,45.67469
Heuchera glabra,-144.4,61.18
Heuchera glabra,-121.37464,48.14245
Heuchera glabra,-134.8175,58.52444
Heuchera glabra,-154.229156,57.168597
Heuchera glabra,-153.102293,58.073032
Heuchera glabra,-149.6,60.55
Heuchera glabra,-138.109,59.392533
Heuchera glabra,-158.83,60.21
Heuchera glabra,-120.915,47.41361
Heuchera glabra,-162.83,55.14
Heuchera glabra,-141.0553874,60.21741667
Heuchera glabra,-120.652,48.4025
Heuchera glabra,-120.838333,48.551667
Heuchera glabra,-135.17,59.52
Heuchera glabra,-133.31,56.25
Heuchera glabra,-121.7442,45.3574
Heuchera glabra,-149.58,60.36
Heuchera glabra,-123.466575,47.995368
Heuchera glabra,-121.79333,46.92417
Heuchera glabra,-117.57472,47.4875
Heuchera glabra,-135.3286,57.08993
Heuchera glabra,-134.50419,58.7975
Heuchera glabra,-151.32,62.55
Heuchera glabra,-135.115658,59.474374
Heuchera glabra,-121.76370199928088,46.85069437024671
Heuchera glabra,-130.5,55.4
Heuchera glabra,-135.86814,58.603763
Heuchera glabra,-121.8311,44.1784
Heuchera glabra,-123.53333,50.53333
Heuchera glabra,-125.6,49.6
Heuchera glabra,-134.50117,58.8005
Heuchera glabra,-153.81,59.5
Heuchera glabra,-146.61,60.33
Heuchera glabra,-134.4,58.3
Heuchera glabra,-121.207183,47.431817
Heuchera glabra,-152.61,62.35
Heuchera glabra,-132.41,56.58
Heuchera glabra,-149.7,59.86
Heuchera glabra,-122.05472,46.75667
Heuchera glabra,-136.367,59.45
Heuchera glabra,-120.60573,47.56742
Heuchera glabra,-159.16,60.18
Heuchera glabra,-121.86667,53.01667
Heuchera glabra,-134.32,55.92
Heuchera glabra,-134.38,56.71
Heuchera glabra,-149.366667,60.416667
Heuchera glabra,-152.43,58.36
Heuchera glabra,-148.132457,60.49261
Heuchera glabra,-121.50206,46.90381
Heuchera glabra,-139.8771784,60.04993134
Heuchera glabra,-145.75,60.55
Heuchera glabra,-135.19,59.56
Heuchera glabra,-153.88,57.7
Heuchera glabra,-123.75,45.5333
Heuchera glabra,-127.86666,53.20833
Heuchera glabra,-121.47739,46.8643
Heuchera glabra,-133.0,55.0
Heuchera glabra,-120.60573,47.567415
Heuchera glabra,-120.2,52.36667
Heuchera glabra,-131.51,55.25
Heuchera glabra,-145.7,60.56
Heuchera glabra,-141.4,59.8625
Heuchera glabra,-121.791021,47.434409
Heuchera glabra,-121.68111,48.86361
Heuchera glabra,-139.784167,59.95216667
Heuchera glabra,-123.445867,48.00365
Heuchera glabra,-121.46346,47.4424
Heuchera glabra,-151.0515,59.62677
Heuchera glabra,-121.746663,45.351158
Heuchera glabra,-122.18333,46.24583
Heuchera glabra,-154.58333,57.45
Heuchera glabra,-134.25,55.88
Heuchera glabra,-121.46981,48.0689
Heuchera glabra,-149.5,61.75
Heuchera glabra,-121.69444,45.37361
Heuchera glabra,-145.86667,60.5
Heuchera glabra,-120.860667,48.571617
Heuchera glabra,-123.46725,47.99536
Heuchera glabra,-149.36667,60.41667
Heuchera glabra,-150.53,59.48
Heuchera glabra,-147.064669,60.339902
Heuchera glabra,-135.291125,59.463998
Heuchera glabra,-120.83833,48.55167
Heuchera glabra,-121.8701,44.1755
Heuchera glabra,-120.83603,48.56446
Heuchera glabra,-113.761506,46.444175
Heuchera glabra,-154.0056228,60.49587333
Heuchera glabra,-149.63,61.22
Heuchera glabra,-148.96,61.28
Heuchera glabra,-121.794562,45.268151
Heuchera glabra,-127.58333,55.11667
Heuchera glabra,-121.79139,47.47897
Heuchera glabra,-152.48,58.16
Heuchera glabra,-152.40749,57.7974
Heuchera glabra,-134.38,58.31
Heuchera glabra,-149.88,60.48
Heuchera glabra,-121.5776,46.71798
Heuchera glabra,-120.53303,47.96121
Heuchera glabra,-130.317,54.317
Heuchera glabra,-121.687118,48.856156
Heuchera glabra,-130.05,56.08333
Heuchera glabra,-152.53,58.11
Heuchera glabra,-154.91,59.06
Heuchera glabra,-124.0007,47.97891
Heuchera glabra,-121.59703232393157,46.95180683018182
Heuchera glabra,-135.41,59.21
Heuchera glabra,-121.682016,48.858935
Heuchera glabra,-121.20718,47.43182
Heuchera glabra,-152.4333333,58.3666667
Heuchera glabra,-152.58,57.66
Heuchera glabra,-120.841182,48.563205
Heuchera glabra,-123.47444,47.99528
Heuchera glabra,-160.53857,55.240593
Heuchera glabra,-122.18888,46.19893
Heuchera glabra,-135.73,58.0
Heuchera glabra,-154.9,59.71
Heuchera glabra,-132.45,56.53
Heuchera glabra,-153.076792,58.065556
Heuchera glabra,-121.35417,47.97639
Heuchera glabra,-153.18,57.2
Heuchera glabra,-145.73,61.13
Heuchera glabra,-149.75,60.4
Heuchera glabra,-121.449617,48.916783
Heuchera glabra,-136.07866,58.827414
Heuchera glabra,-134.66,58.5
Heuchera glabra,-134.5,58.4
Heuchera glabra,-149.2,60.56
Heuchera glabra,-121.090111,47.744438
Heuchera glabra,-118.183333,51.0
Heuchera glabra,-121.7458,46.794
Heuchera glabra,-155.41,58.66
Heuchera glabra,-123.66667,47.87222
Heuchera glabra,-132.41,56.11
Heuchera glabra,-132.75,59.7
Heuchera glabra,-159.847531,55.122845
Heuchera glabra,-150.55,62.7
