Predictor variable,Categorical,Sample average
alt,false,737.9803278688524
alt,false,737.9803278688524
bio1,false,27.485245901639345
bio1,false,27.485245901639345
bio10,false,112.14754098360656
bio10,false,112.14754098360656
bio11,false,-50.429508196721315
bio11,false,-50.429508196721315
bio12,false,1401.2196721311475
bio12,false,1401.2196721311475
bio13,false,204.4688524590164
bio13,false,204.4688524590164
bio14,false,53.14098360655738
bio14,false,53.14098360655738
bio15,false,39.79344262295082
bio15,false,39.79344262295082
bio16,false,555.0131147540984
bio16,false,555.0131147540984
bio17,false,185.58360655737704
bio17,false,185.58360655737704
bio18,false,245.1344262295082
bio18,false,245.1344262295082
bio19,false,453.4131147540984
bio19,false,453.4131147540984
bio2,false,84.38360655737705
bio2,false,84.38360655737705
bio3,false,31.236065573770492
bio3,false,31.236065573770492
bio4,false,6440.0327868852455
bio4,false,6440.0327868852455
bio5,false,174.95081967213116
bio5,false,174.95081967213116
bio6,false,-93.33770491803278
bio6,false,-93.33770491803278
bio7,false,268.28852459016395
bio7,false,268.28852459016395
bio8,false,19.23934426229508
bio8,false,19.23934426229508
bio9,false,56.75081967213115
bio9,false,56.75081967213115
mask,true,50.0
