Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.05717E-6,0.000205717,0.000816067,1,0,0
3.69691E-6,0.000575408,0.001466066,0.998644986,0,0
5.39469E-6,0.001114877,0.002138624,0.997289973,0,0
1.86009E-5,0.00376729,0.007354714,0.994579946,0,0
1.87143E-5,0.005638715,0.007399355,0.993224932,0,0
3.82525E-5,0.011428385,0.015066103,0.990514905,0,0
4.68563E-5,0.025004154,0.018423387,0.986449864,0,0
7.61187E-5,0.054641002,0.029756467,0.979674797,0,0
8.39874E-5,0.103992815,0.032781549,0.971544715,0,0
1.062E-4,0.210380932,0.041270179,0.956639566,0,0
1.19906E-4,0.302192477,0.046470979,0.945799458,0,0
1.27279E-4,0.401835068,0.049256872,0.93495935,0,0
1.43724E-4,0.512337387,0.055441695,0.924119241,0,0
1.60733E-4,0.604101968,0.061795897,0.91598916,0,0
1.67585E-4,0.703337106,0.064343707,0.907859079,0,0
1.72435E-4,0.75488721,0.066142976,0.903794038,0,0
1.75703E-4,0.807044033,0.067353162,0.899728997,0,0
1.89161E-4,0.916613383,0.072321225,0.891598916,0,0
1.94084E-4,1.012565613,0.074131958,0.884823848,0,0
1.99547E-4,1.111546641,0.076136955,0.87804878,0,0
2.07481E-4,1.214175964,0.079041279,0.871273713,0,0
2.23221E-4,1.300455459,0.084776267,0.865853659,0,0
2.29243E-4,1.414177201,0.086960941,0.859078591,0,0
2.34296E-4,1.506900179,0.08879002,0.853658537,0,0
2.51285E-4,1.772828365,0.094912901,0.838753388,0,0
2.75748E-4,2.009743989,0.103657151,0.826558266,0,0
2.91692E-4,2.267752103,0.1093108,0.814363144,0,0
3.06675E-4,2.507855469,0.114591228,0.803523035,0,0
3.26612E-4,2.763869033,0.121569087,0.792682927,0,0
3.36198E-4,3.030467409,0.124904457,0.781842818,0,0
3.49556E-4,3.270726977,0.129531384,0.772357724,0,0
3.62992E-4,3.520113759,0.134160423,0.762872629,0,0
3.75523E-4,3.77828367,0.138455462,0.753387534,0,0
3.87959E-4,4.0071709,0.142696927,0.745257453,0,0
3.99706E-4,4.28431521,0.146684405,0.735772358,0.055555556,0
4.13668E-4,4.52763842,0.151399443,0.727642276,0.055555556,0
4.18978E-4,4.777525048,0.153185781,0.719512195,0.055555556,0
4.28061E-4,5.032503891,0.156232795,0.711382114,0.055555556,0
4.33746E-4,5.291198135,0.158134333,0.703252033,0.055555556,0
4.45641E-4,5.511631093,0.162099199,0.696476965,0.055555556,0
4.55252E-4,5.781196425,0.165288971,0.688346883,0.055555556,0
4.58222E-4,6.009717298,0.166272267,0.681571816,0.111111111,0
4.67237E-4,6.287369412,0.169249455,0.673441734,0.111111111,0
4.73167E-4,6.523089111,0.171202516,0.666666667,0.111111111,0
4.79447E-4,6.761145248,0.173265391,0.659891599,0.111111111,0
4.91259E-4,7.005651177,0.177131702,0.653116531,0.111111111,0
4.9749E-4,7.253235959,0.179163881,0.646341463,0.111111111,0
5.04514E-4,7.503613234,0.181448973,0.639566396,0.111111111,0
5.0953E-4,7.757947311,0.183076693,0.632791328,0.111111111,0
5.13622E-4,8.013699564,0.184402325,0.62601626,0.111111111,0
5.24372E-4,8.274728005,0.187874258,0.619241192,0.111111111,0
5.30728E-4,8.538452358,0.189920377,0.612466125,0.111111111,0
5.33625E-4,8.751318964,0.190851289,0.60704607,0.111111111,0
5.42955E-4,9.021063067,0.193841665,0.600271003,0.111111111,0
5.53536E-4,9.295568255,0.197219671,0.593495935,0.111111111,0
5.54976E-4,9.517410617,0.197678319,0.588075881,0.111111111,0
5.60609E-4,9.796318183,0.19947006,0.581300813,0.111111111,0
5.64812E-4,10.021995295,0.200803954,0.575880759,0.111111111,0
5.74937E-4,10.30728761,0.204008879,0.569105691,0.111111111,0
5.80265E-4,10.538584364,0.205690218,0.563685637,0.111111111,0
5.88968E-4,10.773208559,0.208429033,0.558265583,0.111111111,0
5.95174E-4,11.010199362,0.210376123,0.552845528,0.111111111,0
6.00762E-4,11.308835388,0.212125308,0.546070461,0.111111111,0
6.11999E-4,11.552110061,0.215630757,0.540650407,0.111111111,0
6.17811E-4,11.798415793,0.217438026,0.535230352,0.111111111,0
6.21264E-4,12.04626434,0.218509633,0.529810298,0.111111111,0
6.2447E-4,12.29568546,0.219503193,0.524390244,0.111111111,0
6.31309E-4,12.547743774,0.221618779,0.51897019,0.111111111,0
6.36094E-4,12.801553354,0.223095463,0.513550136,0.111111111,0
6.42557E-4,13.057537272,0.225085713,0.508130081,0.111111111,0
6.48411E-4,13.251292918,0.226883847,0.504065041,0.111111111,0
6.54857E-4,13.511661831,0.22885896,0.498644986,0.111111111,0
6.70356E-4,13.776764598,0.233587619,0.493224932,0.111111111,0
6.82723E-4,14.046965286,0.237339938,0.487804878,0.166666667,0
6.84666E-4,14.252197237,0.237927691,0.483739837,0.166666667,0
6.92026E-4,14.528006847,0.240150447,0.478319783,0.166666667,0
6.96083E-4,14.805542884,0.241372893,0.472899729,0.166666667,0
7.05016E-4,15.016120271,0.244057364,0.468834688,0.166666667,0
7.22947E-4,15.302396893,0.249417597,0.463414634,0.166666667,0
7.29914E-4,15.521176472,0.251490132,0.459349593,0.166666667,0
7.35018E-4,15.814120202,0.253004857,0.453929539,0.166666667,0
7.41973E-4,16.035964829,0.255063777,0.449864499,0.166666667,0
7.5352E-4,16.261256047,0.258469631,0.445799458,0.166666667,0
7.63109E-4,16.564929928,0.26128594,0.440379404,0.166666667,0
7.85643E-4,16.798767077,0.26786271,0.436314363,0.166666667,0
7.94486E-4,17.036676095,0.270427513,0.432249322,0.166666667,0
8.01037E-4,17.276251361,0.272321857,0.428184282,0.166666667,0
8.17057E-4,17.5196781,0.276933471,0.424119241,0.166666667,0
8.29218E-4,17.767163551,0.280414791,0.420054201,0.166666667,0
8.32159E-4,18.016485043,0.281254121,0.41598916,0.166666667,0
8.44444E-4,18.269458546,0.284749721,0.411924119,0.166666667,0
8.5478E-4,18.524671812,0.287677573,0.407859079,0.166666667,0
8.64611E-4,18.783418084,0.290451353,0.403794038,0.166666667,0
8.88235E-4,19.048876648,0.297072448,0.399728997,0.222222222,0
9.00232E-4,19.317164127,0.300411302,0.395663957,0.222222222,0
9.14139E-4,19.590060879,0.304261636,0.391598916,0.222222222,0
9.22778E-4,19.774058287,0.306643057,0.388888889,0.222222222,0
9.36649E-4,20.053858978,0.310449166,0.384823848,0.222222222,0
9.52005E-4,20.338045149,0.314638755,0.380758808,0.222222222,0
9.60131E-4,20.529595682,0.316845344,0.37804878,0.222222222,0
9.70433E-4,20.819387735,0.31963256,0.37398374,0.222222222,0
9.75837E-4,21.014184002,0.321090081,0.371273713,0.222222222,0
9.80083E-4,21.307797212,0.322233172,0.367208672,0.222222222,0
9.95417E-4,21.506263428,0.326345115,0.364498645,0.222222222,0
1.01273E-3,21.809197371,0.330956773,0.360433604,0.222222222,0
1.01818E-3,22.012464321,0.332403692,0.357723577,0.222222222,0
1.02775E-3,22.319728691,0.334932919,0.353658537,0.222222222,0
1.03523E-3,22.526431758,0.336904822,0.350948509,0.277777778,0
1.05129E-3,22.840150823,0.341117492,0.346883469,0.277777778,0
1.06412E-3,23.05178942,0.344463543,0.344173442,0.277777778,0
1.06535E-3,23.264738097,0.344785124,0.341463415,0.277777778,0
1.09551E-3,23.590009407,0.352579463,0.337398374,0.277777778,0
1.10889E-3,23.810660024,0.356007833,0.334688347,0.277777778,0
1.12186E-3,24.034087656,0.359315971,0.33197832,0.277777778,0
1.14266E-3,24.261281272,0.364581966,0.329268293,0.277777778,0
1.16205E-3,24.608646793,0.369452704,0.325203252,0.277777778,0
1.17485E-3,24.842796552,0.37264644,0.322493225,0.277777778,0
1.17892E-3,25.078301064,0.37365984,0.319783198,0.277777778,0
1.19037E-3,25.316048318,0.376498565,0.317073171,0.277777778,0
1.20207E-3,25.555788052,0.379386965,0.314363144,0.277777778,0
1.22382E-3,25.79959403,0.384721674,0.311653117,0.277777778,0
1.23061E-3,26.045538018,0.386377773,0.308943089,0.277777778,0
1.23804E-3,26.293072276,0.388183077,0.306233062,0.277777778,0
1.24711E-3,26.54224477,0.390382815,0.303523035,0.277777778,0
1.24727E-3,26.791683579,0.390421756,0.300813008,0.277777778,0
1.25004E-3,27.041509717,0.391089724,0.298102981,0.277777778,0
1.25694E-3,27.292321462,0.392755953,0.295392954,0.277777778,0
1.26767E-3,27.544992157,0.395337203,0.292682927,0.277777778,0
1.2779E-3,27.799834914,0.397786597,0.2899729,0.277777778,0
