Predictor variable,Categorical,Sample average
alt,false,2169.8333333333335
alt,false,2169.8333333333335
bio1,false,157.27777777777777
bio1,false,157.27777777777777
bio10,false,181.77777777777777
bio10,false,181.77777777777777
bio11,false,126.88888888888889
bio11,false,126.88888888888889
bio12,false,1003.1666666666666
bio12,false,1003.1666666666666
bio13,false,224.44444444444446
bio13,false,224.44444444444446
bio14,false,8.0
bio14,false,8.0
bio15,false,96.22222222222223
bio15,false,96.22222222222223
bio16,false,608.5
bio16,false,608.5
bio17,false,34.55555555555556
bio17,false,34.55555555555556
bio18,false,293.0
bio18,false,293.0
bio19,false,59.94444444444444
bio19,false,59.94444444444444
bio2,false,147.66666666666666
bio2,false,147.66666666666666
bio3,false,64.66666666666667
bio3,false,64.66666666666667
bio4,false,2129.8888888888887
bio4,false,2129.8888888888887
bio5,false,268.94444444444446
bio5,false,268.94444444444446
bio6,false,41.77777777777778
bio6,false,41.77777777777778
bio7,false,227.16666666666666
bio7,false,227.16666666666666
bio8,false,171.22222222222223
bio8,false,171.22222222222223
bio9,false,150.72222222222223
bio9,false,150.72222222222223
mask,true,50.0
