Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.91952E-3,0.591952098,0.231184079,1,0,0
6.3042E-3,1.222372437,0.244207654,0.980392157,0,0
6.97724E-3,1.920096877,0.26646531,0.960784314,0,0
7.00045E-3,2.620142021,0.26722097,0.941176471,0,0
7.02339E-3,3.322481108,0.267967152,0.921568627,0,0
7.14592E-3,4.037073138,0.271939982,0.901960784,0,0
7.9706E-3,4.834132923,0.298123769,0.882352941,0,0
8.00695E-3,5.634827502,0.299255909,0.862745098,0,0
8.2991E-3,6.464737938,0.308289775,0.843137255,0,0
1.07365E-2,7.538390013,0.379258871,0.823529412,0,0
1.07617E-2,8.61455892,0.379952349,0.803921569,0,0
1.10764E-2,9.7222027,0.388559655,0.784313725,0,0
1.13571E-2,10.857914677,0.396134515,0.764705882,0,0
1.25317E-2,12.111080793,0.426827595,0.745098039,0,0
1.26129E-2,13.372369609,0.428891609,0.725490196,0,0
1.27188E-2,14.644252112,0.431572348,0.705882353,0,0
1.35911E-2,16.003357732,0.453171275,0.68627451,0,0
1.36707E-2,17.370424399,0.455101305,0.666666667,0,0
1.38196E-2,18.752385631,0.458693981,0.647058824,0,0
1.42832E-2,20.180706827,0.469725435,0.62745098,0.1,0
1.47241E-2,21.653113499,0.48000706,0.607843137,0.2,0
1.48762E-2,23.140733358,0.483508619,0.588235294,0.2,0
1.50676E-2,24.647497276,0.487881446,0.568627451,0.2,0
1.5151E-2,26.162593681,0.489773144,0.549019608,0.2,0
1.648E-2,27.810592737,0.519018224,0.529411765,0.2,0
1.74044E-2,29.551031997,0.538365289,0.509803922,0.2,0
1.80025E-2,31.351278179,0.550465835,0.490196078,0.2,0
1.85112E-2,33.202396636,0.560508687,0.470588235,0.2,0
1.90174E-2,35.104140121,0.57027999,0.450980392,0.2,0
2.2006E-2,37.304737214,0.623693493,0.431372549,0.2,0
2.2212E-2,39.525936489,0.627121011,0.411764706,0.2,0
2.28645E-2,41.812389559,0.63777239,0.392156863,0.3,0
2.28671E-2,44.099102563,0.637814205,0.37254902,0.3,0
2.30284E-2,46.401943046,0.640399164,0.352941176,0.3,0
2.30943E-2,48.711371018,0.641449711,0.333333333,0.4,0
2.33297E-2,51.044343954,0.645179545,0.31372549,0.4,0
2.44249E-2,53.486832884,0.662024788,0.294117647,0.4,0
2.4487E-2,55.935533704,0.662955938,0.274509804,0.4,0
2.44903E-2,58.384562934,0.663005095,0.254901961,0.4,0
2.48807E-2,60.872628358,0.66879727,0.235294118,0.4,0
2.50433E-2,63.376954009,0.671180486,0.215686275,0.4,0
2.67038E-2,66.047336737,0.694558561,0.196078431,0.4,0
2.83171E-2,68.87904768,0.715678009,0.176470588,0.4,0
3.18992E-2,72.068968324,0.757496614,0.156862745,0.5,0
3.22631E-2,75.2952828,0.761384832,0.137254902,0.5,0
3.32962E-2,78.624906846,0.772085811,0.117647059,0.6,0
3.50113E-2,82.12603988,0.788801827,0.098039216,0.6,0
3.78712E-2,85.913164146,0.813993875,0.078431373,0.7,0
4.31443E-2,90.227596019,0.852830284,0.058823529,0.8,0
4.72908E-2,94.956676806,0.877583593,0.039215686,0.9,0
5.04332E-2,100,0.89352993,0.019607843,1,0
