Predictor variable,Categorical,Sample average
alt,false,2028.4285714285713
alt,false,2028.4285714285713
bio1,false,93.07142857142857
bio1,false,93.07142857142857
bio10,false,188.07142857142858
bio10,false,188.07142857142858
bio11,false,5.285714285714286
bio11,false,5.285714285714286
bio12,false,535.3571428571429
bio12,false,535.3571428571429
bio13,false,76.28571428571429
bio13,false,76.28571428571429
bio14,false,11.714285714285714
bio14,false,11.714285714285714
bio15,false,40.714285714285715
bio15,false,40.714285714285715
bio16,false,194.5
bio16,false,194.5
bio17,false,57.07142857142857
bio17,false,57.07142857142857
bio18,false,158.85714285714286
bio18,false,158.85714285714286
bio19,false,146.64285714285714
bio19,false,146.64285714285714
bio2,false,161.5
bio2,false,161.5
bio3,false,44.285714285714285
bio3,false,44.285714285714285
bio4,false,7176.857142857143
bio4,false,7176.857142857143
bio5,false,287.0
bio5,false,287.0
bio6,false,-73.14285714285714
bio6,false,-73.14285714285714
bio7,false,360.14285714285717
bio7,false,360.14285714285717
bio8,false,183.0
bio8,false,183.0
bio9,false,122.14285714285714
bio9,false,122.14285714285714
mask,true,50.0
