Predictor variable,Categorical,Sample average
alt,false,535.8846153846154
alt,false,535.8846153846154
bio1,false,121.8076923076923
bio1,false,121.8076923076923
bio10,false,218.69230769230768
bio10,false,218.69230769230768
bio11,false,18.26923076923077
bio11,false,18.26923076923077
bio12,false,1203.2692307692307
bio12,false,1203.2692307692307
bio13,false,126.6923076923077
bio13,false,126.6923076923077
bio14,false,76.1923076923077
bio14,false,76.1923076923077
bio15,false,13.73076923076923
bio15,false,13.73076923076923
bio16,false,344.0
bio16,false,344.0
bio17,false,254.80769230769232
bio17,false,254.80769230769232
bio18,false,329.15384615384613
bio18,false,329.15384615384613
bio19,false,283.84615384615387
bio19,false,283.84615384615387
bio2,false,132.15384615384616
bio2,false,132.15384615384616
bio3,false,38.03846153846154
bio3,false,38.03846153846154
bio4,false,7750.423076923077
bio4,false,7750.423076923077
bio5,false,291.7307692307692
bio5,false,291.7307692307692
bio6,false,-52.26923076923077
bio6,false,-52.26923076923077
bio7,false,344.0
bio7,false,344.0
bio8,false,182.19230769230768
bio8,false,182.19230769230768
bio9,false,103.5
bio9,false,103.5
mask,true,50.0
