Predictor variable,Categorical,Sample average
alt,false,1327.7857142857142
alt,false,1327.7857142857142
bio1,false,79.82142857142857
bio1,false,79.82142857142857
bio10,false,157.78571428571428
bio10,false,157.78571428571428
bio11,false,12.607142857142858
bio11,false,12.607142857142858
bio12,false,1009.0357142857143
bio12,false,1009.0357142857143
bio13,false,172.25
bio13,false,172.25
bio14,false,8.5
bio14,false,8.5
bio15,false,68.71428571428571
bio15,false,68.71428571428571
bio16,false,492.64285714285717
bio16,false,492.64285714285717
bio17,false,49.857142857142854
bio17,false,49.857142857142854
bio18,false,55.464285714285715
bio18,false,55.464285714285715
bio19,false,462.39285714285717
bio19,false,462.39285714285717
bio2,false,147.75
bio2,false,147.75
bio3,false,46.714285714285715
bio3,false,46.714285714285715
bio4,false,5826.75
bio4,false,5826.75
bio5,false,267.07142857142856
bio5,false,267.07142857142856
bio6,false,-46.25
bio6,false,-46.25
bio7,false,313.32142857142856
bio7,false,313.32142857142856
bio8,false,17.642857142857142
bio8,false,17.642857142857142
bio9,false,154.5
bio9,false,154.5
mask,true,50.0
