species_name,x,y
Heuchera micrantha,-122.394377,44.398417
Heuchera micrantha,-123.987911,40.854591
Heuchera micrantha,-123.401944,42.152222
Heuchera micrantha,-116.524782,45.837545
Heuchera micrantha,-122.531738,38.442967
Heuchera micrantha,-121.759,49.418
Heuchera micrantha,-122.4569,44.1201
Heuchera micrantha,-123.59971,48.365348
Heuchera micrantha,-122.190475,37.841983
Heuchera micrantha,-122.161345,44.231443
Heuchera micrantha,-121.760002,49.419998
Heuchera micrantha,-121.203035,39.31855
Heuchera micrantha,-123.925287,48.77702
Heuchera micrantha,-123.65217,48.31448
Heuchera micrantha,-122.104797,37.226487
Heuchera micrantha,-122.636416,48.399521
Heuchera micrantha,-122.320563,37.526237
Heuchera micrantha,-122.196332,37.05595
Heuchera micrantha,-121.92289,37.84632
Heuchera micrantha,-123.266594,49.335258
Heuchera micrantha,-123.80932,48.06485
Heuchera micrantha,-122.28457,47.769647
Heuchera micrantha,-123.86026,41.910955
Heuchera micrantha,-122.633799,37.896252
Heuchera micrantha,-122.0947,45.5256
Heuchera micrantha,-122.214258,37.860812
Heuchera micrantha,-124.983333,50.066944
Heuchera micrantha,-122.253,37.08619
Heuchera micrantha,-121.924982,37.84585
Heuchera micrantha,-123.779972,41.540167
Heuchera micrantha,-121.937447,47.209245
Heuchera micrantha,-123.514826,48.498635
Heuchera micrantha,-120.372418,39.253379
Heuchera micrantha,-121.367425,49.370514
Heuchera micrantha,-122.095864,37.062561
Heuchera micrantha,-123.023675,42.358162
Heuchera micrantha,5.9,51.95
Heuchera micrantha,-123.467636,49.406799
Heuchera micrantha,-123.342967,48.494351
Heuchera micrantha,-123.942536,48.776931
Heuchera micrantha,-119.599228,37.729436
Heuchera micrantha,-122.0503,37.013819
Heuchera micrantha,-121.936792,36.59295
Heuchera micrantha,-122.679256,49.052863
Heuchera micrantha,-122.13685,47.07029
Heuchera micrantha,-123.983333,48.383333
Heuchera micrantha,-123.3567,40.3743
Heuchera micrantha,-123.647385,48.314529
Heuchera micrantha,18.0471,59.37
Heuchera micrantha,-123.305277,48.4797
Heuchera micrantha,-122.041933,37.646069
Heuchera micrantha,-122.645583,37.945328
Heuchera micrantha,-122.25048,37.390653
Heuchera micrantha,-124.3,49.1
Heuchera micrantha,-125.000928,49.951422
Heuchera micrantha,-124.0,49.0
Heuchera micrantha,-121.42229999999999,36.013999999102325
Heuchera micrantha,-122.478928,37.577497
Heuchera micrantha,-121.5,49.4
Heuchera micrantha,-118.82800000000002,36.78429999909486
Heuchera micrantha,-123.546631,48.47295
Heuchera micrantha,-123.113839,49.343655
Heuchera micrantha,-123.846583,41.899583
Heuchera micrantha,-124.628151,49.526627
Heuchera micrantha,-123.626311,49.046181
Heuchera micrantha,-123.667597,48.453825
Heuchera micrantha,-121.528517,46.963067
Heuchera micrantha,-113.579444,37.078889
Heuchera micrantha,-122.190553,37.842055
Heuchera micrantha,-122.306969,41.291179
Heuchera micrantha,-121.8894,45.67
Heuchera micrantha,-123.704528,49.080597
Heuchera micrantha,-122.817506,47.807542
Heuchera micrantha,-123.005447,38.569336
Heuchera micrantha,-121.671067,45.710936
Heuchera micrantha,-73.935041,40.802211
Heuchera micrantha,-122.168016,37.9209
Heuchera micrantha,-125.19825,49.595822
Heuchera micrantha,-121.9967,44.3499
Heuchera micrantha,-125.528385,49.456148
Heuchera micrantha,-125.371,50.051
Heuchera micrantha,-123.549095,48.482638
Heuchera micrantha,-123.6861111,41.67472222
Heuchera micrantha,-122.383535,37.067749
Heuchera micrantha,-122.072639,37.238987
Heuchera micrantha,-123.71953,41.89023
Heuchera micrantha,-121.883831,45.316691
Heuchera micrantha,-121.572339,47.046608
Heuchera micrantha,-122.75228,45.561434
Heuchera micrantha,-123.37369,48.464935
Heuchera micrantha,-122.675026,45.505106
Heuchera micrantha,-118.66467254531551,36.1909071775794
Heuchera micrantha,-123.254194,40.119972
Heuchera micrantha,-122.940695,50.134163
Heuchera micrantha,-122.661972,45.446317
Heuchera micrantha,-122.114746,45.577221
Heuchera micrantha,-123.542275,48.400745
Heuchera micrantha,-123.630551,48.32575
Heuchera micrantha,-122.952168,48.666027
Heuchera micrantha,-120.901,39.04056
Heuchera micrantha,-123.493442,49.385499
Heuchera micrantha,-123.467254,48.465974
Heuchera micrantha,-122.239845,49.302401
Heuchera micrantha,-122.599273,37.949756
Heuchera micrantha,-122.053208,37.227203
Heuchera micrantha,-123.00000000000001,48.99999999906616
Heuchera micrantha,-124.200683,40.743098
Heuchera micrantha,-124.3853,42.7016
Heuchera micrantha,-122.271953,41.208726
Heuchera micrantha,-121.459725,49.110844
Heuchera micrantha,-122.608192,48.457817
Heuchera micrantha,-122.005054,37.0939
Heuchera micrantha,-128.3,55.0
Heuchera micrantha,-123.592074,48.839714
Heuchera micrantha,-122.892892,49.346905
Heuchera micrantha,-123.535417,48.362022
Heuchera micrantha,-123.465918,49.392544
Heuchera micrantha,-124.05264,41.80814
Heuchera micrantha,-128.33099,50.641635
Heuchera micrantha,-122.2016,44.1691
Heuchera micrantha,-121.029031,39.330956
Heuchera micrantha,-123.7078056,41.90733333
Heuchera micrantha,-122.667817,49.332806
Heuchera micrantha,-122.15949,46.64942
Heuchera micrantha,-121.396881,49.565853
Heuchera micrantha,-123.514953,48.800922
Heuchera micrantha,-122.291244,37.481339
Heuchera micrantha,-123.869441,49.117019
Heuchera micrantha,-122.3344,44.1765
Heuchera micrantha,-122.33986,37.219534
Heuchera micrantha,-123.718937,39.287652
Heuchera micrantha,-122.492257,48.687214
Heuchera micrantha,-123.570618,48.582863
Heuchera micrantha,-120.9756,39.415
Heuchera micrantha,-123.453544,48.614089
Heuchera micrantha,-122.33251,37.40443
Heuchera micrantha,-122.217912,37.36505
Heuchera micrantha,-123.936807,45.794912
Heuchera micrantha,-122.185678,37.83852
Heuchera micrantha,-123.458929,40.851764
Heuchera micrantha,-120.99857,39.32895
Heuchera micrantha,-123.642538,48.317495
Heuchera micrantha,-123.579361,48.596096
Heuchera micrantha,-123.513123,41.841962
Heuchera micrantha,-123.695244,49.074872
Heuchera micrantha,-124.407298,48.556445
Heuchera micrantha,-123.092911,47.939428
Heuchera micrantha,-123.413278,41.362056
Heuchera micrantha,-118.2308,45.7422
Heuchera micrantha,-119.866388,37.857459
Heuchera micrantha,-118.720388,36.608128
Heuchera micrantha,-122.5757,44.978
Heuchera micrantha,-123.821427,41.954397
Heuchera micrantha,-122.088898,37.813512
Heuchera micrantha,-122.731122,38.018104
Heuchera micrantha,-121.556813,46.760733
Heuchera micrantha,-123.912307,40.480369
Heuchera micrantha,-123.136857,41.441985
Heuchera micrantha,-122.404288,45.606278
Heuchera micrantha,-123.711486,49.080361
Heuchera micrantha,-123.711578,49.080303
Heuchera micrantha,-123.934242,49.11692
Heuchera micrantha,-121.911994,37.898533
Heuchera micrantha,-122.656626,47.112643
Heuchera micrantha,-123.512978,48.544267
Heuchera micrantha,-123.45776,48.489641
Heuchera micrantha,-121.018382,48.874232
Heuchera micrantha,-123.922025,39.909652
Heuchera micrantha,-122.658432,50.559406
Heuchera micrantha,-121.4,49.75
Heuchera micrantha,-123.4156,42.0941
Heuchera micrantha,-122.63336,37.89584
Heuchera micrantha,-122.134627,37.811261
Heuchera micrantha,-123.136444,41.256471
Heuchera micrantha,-122.036581,37.016044
Heuchera micrantha,-120.833333,39.666667
Heuchera micrantha,-122.805005,50.325843
Heuchera micrantha,-124.927231,49.297695
Heuchera micrantha,-123.372181,48.862075
Heuchera micrantha,-122.878057,38.163807
Heuchera micrantha,-123.589994,48.041084
Heuchera micrantha,-122.634187,38.091298
