Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.89188E-5,0.003891876,0.005025136,1,0,0
4.4921E-5,0.00838398,0.005797893,0.996363636,0,0
5.54971E-5,0.013933687,0.007158029,0.992727273,0,0
6.98213E-5,0.026953174,0.008997241,0.985454545,0,0
7.75532E-5,0.056687774,0.00998858,0.970909091,0,0
1.1935E-4,0.109272908,0.015330489,0.952727273,0,0
1.83506E-4,0.20069643,0.023473876,0.930909091,0,0
2.33954E-4,0.308237244,0.029830051,0.912727273,0,0
2.78581E-4,0.413305399,0.035418287,0.898181818,0,0
2.99278E-4,0.501739637,0.037999015,0.887272727,0,0
3.22862E-4,0.628002524,0.040931329,0.872727273,0,0
3.36426E-4,0.727575159,0.042613735,0.861818182,0,0
3.36565E-4,0.761231677,0.042631006,0.858181818,0,0
3.53039E-4,0.831533389,0.044670354,0.850909091,0,0
3.65617E-4,0.904367132,0.046224495,0.843636364,0,0
3.80994E-4,1.017102025,0.048121124,0.832727273,0,0
3.98103E-4,1.134675414,0.050226856,0.821818182,0,0
4.06549E-4,1.215420439,0.051264585,0.814545455,0,0
4.33936E-4,1.301753665,0.054622023,0.807272727,0,0
4.51419E-4,1.4353534,0.056759052,0.796363636,0,0
4.69302E-4,1.527685216,0.058939969,0.789090909,0,0
4.91043E-4,1.768519628,0.061584669,0.770909091,0,0
5.129E-4,2.020606905,0.064235927,0.752727273,0,0
5.49065E-4,2.289615318,0.068606271,0.734545455,0,0
5.70466E-4,2.513826456,0.071182897,0.72,0,0
6.19317E-4,2.751221004,0.077037761,0.705454545,0,0
6.59608E-4,3.007765196,0.081838893,0.690909091,0,0
7.14273E-4,3.286272612,0.088312879,0.676363636,0,0
7.35371E-4,3.50506837,0.090799327,0.665454545,0,0
8.01384E-4,3.813403928,0.098535332,0.650909091,0,0
8.11687E-4,4.055370333,0.099736845,0.64,0,0
8.63584E-4,4.310039779,0.105764285,0.629090909,0,0
9.24589E-4,4.57880967,0.112797977,0.618181818,0,0
9.89969E-4,4.771174216,0.120274841,0.610909091,0,0
1.02204E-3,5.074430161,0.123919005,0.6,0,0
1.15789E-3,5.305700754,0.139190512,0.592727273,0,0
1.18974E-3,5.540976088,0.142732372,0.585454545,0,0
1.27081E-3,5.788770777,0.151681621,0.578181818,0.052631579,0
1.38121E-3,6.057044834,0.163718588,0.570909091,0.052631579,0
1.41136E-3,6.337847937,0.166976058,0.563636364,0.052631579,0
1.43948E-3,6.62431142,0.170002442,0.556363636,0.052631579,0
1.45635E-3,6.769946417,0.171812714,0.552727273,0.052631579,0
1.47945E-3,7.064446499,0.174285367,0.545454545,0.105263158,0
1.51E-3,7.365411484,0.177544624,0.538181818,0.105263158,0
1.59353E-3,7.524764059,0.186388712,0.534545455,0.105263158,0
1.61575E-3,7.84628568,0.188725743,0.527272727,0.105263158,0
1.6391E-3,8.010195741,0.191174398,0.523636364,0.105263158,0
1.71903E-3,8.353326794,0.199499745,0.516363636,0.105263158,0
1.74187E-3,8.527513477,0.201862541,0.512727273,0.105263158,0
1.80557E-3,8.882698356,0.208416581,0.505454545,0.105263158,0
1.82195E-3,9.064893702,0.210093888,0.501818182,0.105263158,0
1.83917E-3,9.432279192,0.211852426,0.494545455,0.105263158,0
1.88489E-3,9.620768175,0.21650291,0.490909091,0.105263158,0
1.89404E-3,9.810172094,0.21743028,0.487272727,0.105263158,0
1.9111E-3,10.001281974,0.219156496,0.483636364,0.105263158,0
1.96303E-3,10.391161768,0.22438819,0.476363636,0.105263158,0
1.98835E-3,10.589996708,0.226925738,0.472727273,0.105263158,0
2.02581E-3,10.792577249,0.230664886,0.469090909,0.105263158,0
2.09893E-3,11.20774721,0.237912368,0.461818182,0.105263158,0
2.15304E-3,11.423051272,0.243231949,0.458181818,0.105263158,0
2.18263E-3,11.641313805,0.2461245,0.454545455,0.105263158,0
2.2398E-3,11.865294035,0.251683504,0.450909091,0.105263158,0
2.25697E-3,12.090991487,0.253345048,0.447272727,0.105263158,0
2.27526E-3,12.31851701,0.25510979,0.443636364,0.105263158,0
2.29762E-3,12.548279191,0.257263295,0.44,0.105263158,0
2.31246E-3,12.779525185,0.258688507,0.436363636,0.105263158,0
2.3188E-3,13.011404854,0.259296322,0.432727273,0.105263158,0
2.37409E-3,13.482427265,0.2645792,0.425454545,0.105263158,0
2.4547E-3,13.727897381,0.272212861,0.421818182,0.105263158,0
2.49699E-3,13.977596528,0.276186052,0.418181818,0.105263158,0
2.53492E-3,14.231088159,0.279730654,0.414545455,0.105263158,0
2.53819E-3,14.484907615,0.280036236,0.410909091,0.105263158,0
2.55289E-3,14.740196486,0.281404356,0.407272727,0.105263158,0
2.55357E-3,14.995553193,0.281467454,0.403636364,0.105263158,0
2.62485E-3,15.258037872,0.288066676,0.4,0.105263158,0
2.68183E-3,15.526220487,0.293298325,0.396363636,0.105263158,0
2.68261E-3,15.794481805,0.293370319,0.392727273,0.105263158,0
2.68412E-3,16.062893619,0.293507962,0.389090909,0.105263158,0
2.6976E-3,16.332653555,0.294739762,0.385454545,0.105263158,0
2.71818E-3,16.6044716,0.296616146,0.381818182,0.105263158,0
2.78085E-3,16.882556716,0.302299163,0.378181818,0.105263158,0
2.80197E-3,17.162753963,0.304204093,0.374545455,0.105263158,0
2.85026E-3,17.447780062,0.308539715,0.370909091,0.105263158,0
2.88303E-3,17.736082828,0.311466302,0.367272727,0.105263158,0
2.8902E-3,18.025102765,0.312105196,0.363636364,0.105263158,0
2.89022E-3,18.314125222,0.312107439,0.36,0.105263158,0
2.9309E-3,18.607214761,0.315719402,0.356363636,0.105263158,0
2.93487E-3,18.900701262,0.316070925,0.352727273,0.105263158,0
3.05275E-3,19.205975845,0.326427767,0.349090909,0.105263158,0
3.07243E-3,19.513218364,0.328141426,0.345454545,0.105263158,0
3.08751E-3,19.821969405,0.32945208,0.341818182,0.105263158,0
3.14768E-3,20.136737611,0.334654602,0.338181818,0.105263158,0
3.15081E-3,20.451818796,0.3349241,0.334545455,0.105263158,0
3.19033E-3,20.770852147,0.338317838,0.330909091,0.105263158,0
3.2118E-3,21.092032439,0.340154159,0.327272727,0.105263158,0
3.21427E-3,21.413459029,0.340364497,0.323636364,0.105263158,0
3.24898E-3,21.738356598,0.343321577,0.32,0.105263158,0
3.28356E-3,22.066712188,0.346254435,0.316363636,0.105263158,0
3.3086E-3,22.397572497,0.348370585,0.312727273,0.105263158,0
3.31008E-3,22.728580545,0.34849519,0.309090909,0.105263158,0
3.3482E-3,23.063400513,0.351701997,0.305454545,0.105263158,0
3.42731E-3,23.406131023,0.358306523,0.301818182,0.105263158,0
3.46658E-3,23.752788598,0.361560201,0.298181818,0.105263158,0
3.49113E-3,24.10190115,0.363585831,0.294545455,0.105263158,0
3.49907E-3,24.451808439,0.364240198,0.290909091,0.105263158,0
3.51594E-3,24.803402781,0.365627051,0.287272727,0.105263158,0
3.56069E-3,25.159471991,0.369291005,0.283636364,0.105263158,0
3.89051E-3,25.548523455,0.395651521,0.28,0.105263158,0
3.93612E-3,25.942135428,0.399208669,0.276363636,0.105263158,0
3.94972E-3,26.337107247,0.400265276,0.272727273,0.105263158,0
3.95545E-3,26.732652334,0.400710152,0.269090909,0.105263158,0
3.97218E-3,27.129870697,0.402006783,0.265454545,0.105263158,0
3.99481E-3,27.529351385,0.403755413,0.261818182,0.105263158,0
4.0022E-3,27.929571626,0.404325929,0.258181818,0.105263158,0
4.02916E-3,28.332487275,0.406400643,0.254545455,0.105263158,0
4.03032E-3,28.735519618,0.406490302,0.250909091,0.105263158,0
4.06295E-3,29.14181494,0.408991843,0.247272727,0.105263158,0
4.1761E-3,29.559424685,0.417584586,0.243636364,0.105263158,0
4.1907E-3,29.978495038,0.418684701,0.24,0.105263158,0
4.19547E-3,30.398041806,0.419043083,0.236363636,0.105263158,0
4.23614E-3,30.82165574,0.422093615,0.232727273,0.105263158,0
4.29381E-3,31.251036273,0.42639135,0.229090909,0.105263158,0
4.35488E-3,31.686523819,0.430907949,0.225454545,0.105263158,0
4.39305E-3,32.12582878,0.433713135,0.221818182,0.105263158,0
4.48975E-3,32.574804167,0.440757617,0.218181818,0.105263158,0
4.50021E-3,33.024825239,0.441514083,0.214545455,0.105263158,0
4.50273E-3,33.475098473,0.441696348,0.210909091,0.105263158,0
4.50477E-3,33.925575069,0.441843297,0.207272727,0.157894737,0
4.54592E-3,34.380166851,0.444808619,0.203636364,0.157894737,0
4.65204E-3,34.845371074,0.452383238,0.2,0.157894737,0
4.88159E-3,35.333530238,0.468415654,0.196363636,0.157894737,0
4.88776E-3,35.822305818,0.468839643,0.192727273,0.157894737,0
5.00842E-3,36.323147718,0.477071459,0.189090909,0.157894737,0
5.07363E-3,36.830510776,0.481467055,0.185454545,0.157894737,0
5.08815E-3,37.339325387,0.482440438,0.181818182,0.157894737,0
5.14895E-3,37.854220147,0.486497849,0.178181818,0.157894737,0
5.20652E-3,38.374872586,0.490310743,0.174545455,0.157894737,0
5.32282E-3,38.907154874,0.497926219,0.170909091,0.157894737,0
5.37443E-3,39.444597601,0.501268837,0.167272727,0.157894737,0
5.57307E-3,40.001904585,0.513929302,0.163636364,0.157894737,0
5.6551E-3,40.567414454,0.519063171,0.16,0.157894737,0
5.92495E-3,41.159909607,0.535572687,0.156363636,0.157894737,0
5.92749E-3,41.752658745,0.53572535,0.152727273,0.157894737,0
6.14711E-3,42.367370214,0.548738342,0.149090909,0.210526316,0
6.18729E-3,42.986099082,0.551078941,0.145454545,0.210526316,0
6.23594E-3,43.609693416,0.553897388,0.141818182,0.210526316,0
6.49709E-3,44.259402257,0.568725276,0.138181818,0.210526316,0
7.01085E-3,44.960487397,0.596473688,0.134545455,0.210526316,0
7.175E-3,45.677987199,0.604957293,0.130909091,0.210526316,0
7.25462E-3,46.403449105,0.609007882,0.127272727,0.210526316,0
7.27382E-3,47.130830953,0.60997839,0.123636364,0.210526316,0
7.34588E-3,47.865418935,0.613599564,0.12,0.210526316,0
7.65102E-3,48.630520569,0.628564177,0.116363636,0.210526316,0
8.07397E-3,49.437917501,0.648353181,0.112727273,0.263157895,0
8.17745E-3,50.255662476,0.653032061,0.109090909,0.315789474,0
8.26913E-3,51.082575626,0.657125423,0.105454545,0.315789474,0
