species_name,x,y
Heuchera orizabensis,-99.6708333,20.7922222
Heuchera orizabensis,-98.23167,20.31889
Heuchera orizabensis,-103.8483333,20.7866667
Heuchera orizabensis,-99.09,20.0475
Heuchera orizabensis,-104.1333333,23.4366667
Heuchera orizabensis,-99.6252777,21.1341666
Heuchera orizabensis,-97.5872222,19.8738889
Heuchera orizabensis,-102.25871614488663,19.411762654567436
Heuchera orizabensis,-99.5013889,20.9619444
Heuchera orizabensis,-98.73253020590508,19.174836587172067
Heuchera orizabensis,-99.5658333,21.0088889
Heuchera orizabensis,-96.9363889,19.6108333
Heuchera orizabensis,-99.1701861,21.47
Heuchera orizabensis,-100.246175,19.3749167
Heuchera orizabensis,-98.9683333,19.3083333
Heuchera orizabensis,-99.15771,21.2475797
Heuchera orizabensis,-101.4283333,19.895
Heuchera orizabensis,-98.2347222,20.3275
Heuchera orizabensis,-105.8355556,23.5608333
Heuchera orizabensis,-98.74725277183664,19.20594611334025
Heuchera orizabensis,-98.7527778,19.4755556
Heuchera orizabensis,-97.13,19.65
Heuchera orizabensis,-99.7105556,19.8802778
Heuchera orizabensis,-103.5561111,19.5472222
Heuchera orizabensis,-98.2102778,20.3275
Heuchera orizabensis,-100.2458333,19.3636111
Heuchera orizabensis,-106.8422222,23.1644444
Heuchera orizabensis,-98.69864040327815,19.12483913503918
Heuchera orizabensis,-99.2686111,19.3286111
Heuchera orizabensis,-97.1883333,19.1466667
Heuchera orizabensis,-98.7353081151885,19.20289068508967
Heuchera orizabensis,-99.2697222,19.2813889
Heuchera orizabensis,-97.3422222,19.7905556
Heuchera orizabensis,-99.3083333,19.3083333
Heuchera orizabensis,-97.1083333,19.525
Heuchera orizabensis,-100.267,19.63539
Heuchera orizabensis,-100.0716667,17.4497222
Heuchera orizabensis,-98.6483333,20.17
Heuchera orizabensis,-98.4605556,20.7175
Heuchera orizabensis,-99.13475,21.4325278
Heuchera orizabensis,-102.2638889,19.4597222
Heuchera orizabensis,-99.2672222,19.0177778
Heuchera orizabensis,-100.247,19.36378
Heuchera orizabensis,-98.6052778,19.7336111
Heuchera orizabensis,-98.71752997420158,19.220945415246707
Heuchera orizabensis,-104.625,23.5916667
Heuchera orizabensis,-99.1595,21.217075
Heuchera orizabensis,-96.49,17.33
Heuchera orizabensis,-106.485,25.1386111
Heuchera orizabensis,-100.2697222,19.3758333
Heuchera orizabensis,-104.3036111,23.0083333
Heuchera orizabensis,-99.2213889,19.3425
Heuchera orizabensis,-98.7364127446044,20.168235387947867
Heuchera orizabensis,-98.7102778,20.7458333
Heuchera orizabensis,-98.76697548035085,19.20261284696582
Heuchera orizabensis,-98.9261111,19.6361111
Heuchera orizabensis,-103.6844444,20.0158333
Heuchera orizabensis,-97.3111111,18.8458333
Heuchera orizabensis,-98.2316667,20.3188889
Heuchera orizabensis,-96.4022222,17.6419444
Heuchera orizabensis,-103.9633333,23.6769444
Heuchera orizabensis,-99.5644444,20.9152778
Heuchera orizabensis,-100.6766667,20.225
Heuchera orizabensis,-98.7644444,20.7533333
Heuchera orizabensis,-100.275,19.375
Heuchera orizabensis,-101.369,19.62167
Heuchera orizabensis,-98.7747222,19.4672222
Heuchera orizabensis,-98.73974808158451,20.202678002195807
Heuchera orizabensis,-96.5383333,17.4266667
Heuchera orizabensis,-99.6124722,18.60125
Heuchera orizabensis,-97.5880556,19.8697222
Heuchera orizabensis,-99.3025,19.30583
Heuchera orizabensis,-104.6316667,22.96
Heuchera orizabensis,-99.0316667,20.765
Heuchera orizabensis,-97.60022,16.70242
Heuchera orizabensis,-100.1522222,17.4769444
Heuchera orizabensis,-98.7041667,19.6133333
Heuchera orizabensis,-97.0916667,19.5083333
Heuchera orizabensis,-104.2916667,23.4083333
Heuchera orizabensis,-99.79625,18.92389
