Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.56843E-6,0.000556843,0.004741794,1,0,0
6.48918E-6,0.001205761,0.005523683,0.999450247,0,0
8.30521E-6,0.002788629,0.007064044,0.998350742,0,0
1.02591E-5,0.005561903,0.008718663,0.996701484,0,0
1.15581E-5,0.011066242,0.00981719,0.993952721,0,0
1.3522E-5,0.025254125,0.011475668,0.987905443,0,0
1.58153E-5,0.050609281,0.013408817,0.978559648,0,0
1.94267E-5,0.100504013,0.016445397,0.963166575,0,0
2.49093E-5,0.200996794,0.021037535,0.938427708,0,0
3.06135E-5,0.302554379,0.025792429,0.918636614,0,0
3.45549E-5,0.401410579,0.02906442,0.902144035,0,0
3.91137E-5,0.503101799,0.032835305,0.886750962,0,0
4.27624E-5,0.602172308,0.035842757,0.873556899,0,0
4.6222E-5,0.700577017,0.038685751,0.861462342,0,0
4.88229E-5,0.753299829,0.04081754,0.855415063,0,0
5.03513E-5,0.803029468,0.042068097,0.849917537,0,0
5.46656E-5,0.903248307,0.04558927,0.839472237,0,0
5.94104E-5,1.000981467,0.049446813,0.830126443,0,0
6.4308E-5,1.100079159,0.053412349,0.821330401,0.013157895,0
6.67306E-5,1.204840139,0.055367719,0.81253436,0.013157895,0
7.15707E-5,1.301727293,0.059262324,0.804837823,0.013157895,0
7.37268E-5,1.403552467,0.060992043,0.797141286,0.013157895,0
7.65023E-5,1.501329784,0.063213981,0.789994502,0.013157895,0
8.62831E-5,1.75250551,0.071002304,0.772952172,0.013157895,0
9.31903E-5,2.003434035,0.076463389,0.757559098,0.013157895,0
9.9416E-5,2.254488606,0.081358187,0.743265531,0.013157895,0
1.09232E-4,2.506543746,0.089023305,0.730071468,0.013157895,0
1.1283E-4,2.751378345,0.091816224,0.71797691,0.013157895,0
1.19513E-4,3.00701003,0.096982389,0.705882353,0.013157895,0
1.2595E-4,3.253186965,0.101930768,0.694887301,0.013157895,0
1.31417E-4,3.510206898,0.106111821,0.683892248,0.013157895,0
1.3551E-4,3.750174695,0.109228873,0.673996701,0.013157895,0
1.39816E-4,4.011966208,0.112496919,0.663551402,0.013157895,0
1.47114E-4,4.256553473,0.118008205,0.654205607,0.013157895,0
1.50083E-4,4.509669016,0.120241115,0.644859813,0.013157895,0
1.56277E-4,4.75522014,0.124879947,0.636063771,0.013157895,0
1.62841E-4,5.009121298,0.129768937,0.62726773,0.013157895,0
1.66851E-4,5.256710558,0.132743219,0.61902144,0.013157895,0
1.70241E-4,5.508573833,0.13524872,0.610775151,0.013157895,0
1.73824E-4,5.750437774,0.137889107,0.603078615,0.013157895,0
1.7926E-4,6.014532629,0.141880658,0.594832325,0.013157895,0
1.82092E-4,6.267718789,0.143951944,0.587135789,0.013157895,0
1.86737E-4,6.507808709,0.147339873,0.579989005,0.013157895,0
1.92761E-4,6.755488737,0.151712941,0.572842221,0.013157895,0
