species_name,x,y
Heuchera parishii,-116.95179,34.33043
Heuchera parishii,-116.82613,34.09508
Heuchera parishii,-116.93306,34.325
Heuchera parishii,-116.85146,34.15157
Heuchera parishii,-116.82489,34.09923
Heuchera parishii,-116.8279,34.1
Heuchera parishii,-116.75263,34.13291
Heuchera parishii,-116.76283,34.13167
Heuchera parishii,-116.824873,34.099152
Heuchera parishii,-116.74193,34.30147
Heuchera parishii,-116.46159,33.53829
Heuchera parishii,-117.0103,34.0912
Heuchera parishii,-116.8118,34.2144
Heuchera parishii,-116.78417,34.14722
Heuchera parishii,-116.85212,34.15132
Heuchera parishii,-116.9083333,34.3333333
Heuchera parishii,-116.79439,34.15529
Heuchera parishii,-116.9059,34.0855
Heuchera parishii,-116.79502,34.11961
Heuchera parishii,-116.9055,34.0791
Heuchera parishii,-116.76189,34.15186
Heuchera parishii,-116.76386,34.13763
Heuchera parishii,-116.848957,34.123871
Heuchera parishii,-116.78982,34.15411
Heuchera parishii,-116.816912,34.098667
Heuchera parishii,-116.8028,34.1589
Heuchera parishii,-116.9776,34.2424
Heuchera parishii,-116.795,34.20306
Heuchera parishii,-116.7416667,34.1833333
Heuchera parishii,-116.96667,34.23333
Heuchera parishii,-116.74911,34.12761
Heuchera parishii,-116.79653,34.156
Heuchera parishii,-116.7925278,34.2125833
Heuchera parishii,-116.75054,34.12688
Heuchera parishii,-116.83431,34.15219
Heuchera parishii,-116.83294,34.15422
Heuchera parishii,-116.85366,34.12209
Heuchera parishii,-116.75507,34.17094
Heuchera parishii,-116.80128,34.21202
Heuchera parishii,-116.7918611,34.2109167
Heuchera parishii,-116.78983,34.15411
Heuchera parishii,-116.835361,34.098758
Heuchera parishii,-116.76371,34.15649
Heuchera parishii,-117.0086,34.2566
Heuchera parishii,-116.9796128,34.24096984
Heuchera parishii,-116.75893,34.14345
Heuchera parishii,-116.79186,34.21092
Heuchera parishii,-116.74733,34.15581
Heuchera parishii,-116.7619,34.15187
Heuchera parishii,-116.80643,34.10252
Heuchera parishii,-116.89618,34.08389
Heuchera parishii,-116.8058,34.2317
Heuchera parishii,-116.74733,34.1558
Heuchera parishii,-116.863668,34.083374
Heuchera parishii,-116.844964,34.127334
Heuchera parishii,-116.80766,34.19826
Heuchera parishii,-116.74167,34.18333
Heuchera parishii,-117.06186,34.22098
Heuchera parishii,-116.8282,34.1005
Heuchera parishii,-116.7327,34.30039
Heuchera parishii,-116.7405,34.15099
Heuchera parishii,-116.78806,34.21022
Heuchera parishii,-116.6797,33.815
Heuchera parishii,-116.9839,34.2171
Heuchera parishii,-116.85194,34.15111
Heuchera parishii,-116.7925,34.2125
Heuchera parishii,-116.6936,34.155116
Heuchera parishii,-116.79389,34.20008
Heuchera parishii,-116.90833,34.33333
Heuchera parishii,-116.77753,34.167362
Heuchera parishii,-116.8073,34.1977
Heuchera parishii,-116.93144,34.1574
Heuchera parishii,-116.95178,34.33042
Heuchera parishii,-116.77972,34.12583
