Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.32955E-3,0.432954773,0.114441514,1,0,0
4.36254E-3,0.869208909,0.115261321,0.975,0,0
4.63298E-3,1.332506841,0.121952465,0.95,0,0
4.88288E-3,1.82079466,0.12809044,0.925,0,0
6.24193E-3,2.444988017,0.160727858,0.9,0,0
6.71779E-3,3.116766963,0.171864289,0.875,0,0
6.82312E-3,3.799078487,0.17430918,0.85,0,0
6.9453E-3,4.493608265,0.177136319,0.825,0,0
6.95779E-3,5.189387558,0.177424894,0.8,0,0
7.64366E-3,5.953753709,0.193110725,0.775,0,0
7.94186E-3,6.747939819,0.199836925,0.75,0,0
9.62817E-3,7.71075665,0.23683182,0.725,0,0
1.08075E-2,8.791510301,0.261684068,0.7,0,0
1.1261E-2,9.917608109,0.271022364,0.675,0,0
1.28661E-2,11.204218266,0.303139759,0.65,0,0
1.36048E-2,12.564699487,0.317441539,0.625,0,0
1.53645E-2,14.101150042,0.350338798,0.6,0,0
1.54283E-2,15.643976826,0.351500588,0.575,0.1,0
1.74165E-2,17.385627804,0.386703675,0.55,0.1,0
1.829E-2,19.214624076,0.401558299,0.525,0.1,0
1.83578E-2,21.050406373,0.402697208,0.5,0.1,0
1.84675E-2,22.89715244,0.404532696,0.475,0.1,0
1.89557E-2,24.792725123,0.4126387,0.45,0.1,0
2.07302E-2,26.86574741,0.44118,0.425,0.1,0
2.19499E-2,29.060736199,0.459988937,0.4,0.1,0
2.26758E-2,31.328317944,0.47088187,0.375,0.1,0
2.27578E-2,33.604095622,0.472097823,0.35,0.1,0
2.35628E-2,35.960375373,0.483893634,0.325,0.1,0
2.45156E-2,38.41193784,0.497515085,0.3,0.2,0
2.45874E-2,40.870679508,0.498526727,0.275,0.3,0
3.20437E-2,44.075044823,0.593232088,0.25,0.3,0
3.31498E-2,47.390025501,0.605668699,0.225,0.3,0
4.26563E-2,51.655654483,0.698029161,0.2,0.3,0
4.3506E-2,56.006259097,0.705147113,0.175,0.4,0
4.86738E-2,60.873643219,0.744962924,0.15,0.4,0
6.37539E-2,67.249036671,0.832984183,0.125,0.5,0
6.40599E-2,73.655031575,0.83441275,0.1,0.6,0
7.97964E-2,81.634669651,0.89354169,0.075,0.7,0
8.7985E-2,90.433172523,0.915404079,0.05,0.8,0
9.56683E-2,100,0.931816266,0.025,0.9,0
9.56683E-2,100,0.931816266,0.025,1,0
