Predictor variable,Categorical,Sample average
alt,false,1576.8
alt,false,1576.8
bio1,false,118.0
bio1,false,118.0
bio10,false,199.0
bio10,false,199.0
bio11,false,48.2
bio11,false,48.2
bio12,false,592.6
bio12,false,592.6
bio13,false,104.1
bio13,false,104.1
bio14,false,3.2
bio14,false,3.2
bio15,false,73.7
bio15,false,73.7
bio16,false,296.4
bio16,false,296.4
bio17,false,31.4
bio17,false,31.4
bio18,false,46.8
bio18,false,46.8
bio19,false,289.1
bio19,false,289.1
bio2,false,157.8
bio2,false,157.8
bio3,false,48.1
bio3,false,48.1
bio4,false,6037.8
bio4,false,6037.8
bio5,false,301.7
bio5,false,301.7
bio6,false,-23.3
bio6,false,-23.3
bio7,false,325.0
bio7,false,325.0
bio8,false,53.8
bio8,false,53.8
bio9,false,182.6
bio9,false,182.6
mask,true,50.0
