species_name,x,y
Heuchera parviflora,-109.58889,40.9625
Heuchera parviflora,-84.847055,35.973001
Heuchera parviflora,-84.355828,34.010681
Heuchera parviflora,-83.681024,37.817028
Heuchera parviflora,-111.885222,35.900333
Heuchera parviflora,-109.49085,37.84925
Heuchera parviflora,-86.612034,38.083949
Heuchera parviflora,-82.213627,35.267421
Heuchera parviflora,-86.537484,38.277838
Heuchera parviflora,-84.963611,36.3925
Heuchera parviflora,-110.54185,36.71495
Heuchera parviflora,-110.3080556,36.6466667
Heuchera parviflora,-82.302136,35.227153
Heuchera parviflora,-84.199125,37.269699
Heuchera parviflora,-107.42844,37.64312
Heuchera parviflora,-106.34,34.4
Heuchera parviflora,-84.469601,36.652755
Heuchera parviflora,-84.569399,34.303404
Heuchera parviflora,-85.75275,35.246191
Heuchera parviflora,-82.380426,38.132034
Heuchera parviflora,-105.04621,39.09949
Heuchera parviflora,-119.067028,38.233611
Heuchera parviflora,-107.56307,37.71602
Heuchera parviflora,-91.62861,37.04138
Heuchera parviflora,-115.479487,43.646681
Heuchera parviflora,-112.10601831339258,36.25961294982549
Heuchera parviflora,-83.658677,37.813668
Heuchera parviflora,-109.4141667,37.8247222
Heuchera parviflora,-82.292477,35.286129
Heuchera parviflora,-91.7,37.05638
Heuchera parviflora,-83.592527,37.799329
Heuchera parviflora,-83.628832,37.816047
Heuchera parviflora,-83.681358,37.77372
Heuchera parviflora,-82.16548,35.302413
Heuchera parviflora,-83.033819,35.22983
Heuchera parviflora,-111.2137,34.4555
Heuchera parviflora,-84.34503,36.83873
Heuchera parviflora,-90.2597833,38.6112333
Heuchera parviflora,-91.065,37.03805
Heuchera parviflora,-106.99566,38.97497
Heuchera parviflora,-84.811057,35.880071
Heuchera parviflora,-84.780205,36.575055
Heuchera parviflora,-81.886847,35.879238
Heuchera parviflora,-83.011527,35.210654
Heuchera parviflora,-83.604207,37.956191
Heuchera parviflora,-86.5,38.3
Heuchera parviflora,-113.9281,37.6272
Heuchera parviflora,-82.304653,37.301233
Heuchera parviflora,-83.59231,37.798933
Heuchera parviflora,-84.573961,34.240724
Heuchera parviflora,-113.866667,49.1
Heuchera parviflora,-91.47388,37.33722
Heuchera parviflora,-106.016389,38.45222
Heuchera parviflora,-83.657451,37.808556
Heuchera parviflora,-82.610283,35.116006
Heuchera parviflora,-82.287059,35.451667
Heuchera parviflora,-83.621539,37.767202
Heuchera parviflora,-82.736011,38.757149
Heuchera parviflora,-109.51158,34.0167
Heuchera parviflora,-82.25054,35.433191
Heuchera parviflora,-84.823533,36.528427
Heuchera parviflora,-83.714591,34.637392
Heuchera parviflora,-84.125472,36.969487
Heuchera parviflora,-82.777855,35.310968
Heuchera parviflora,-84.771415,36.557461
Heuchera parviflora,-107.338556,37.318253
Heuchera parviflora,-108.22222,39.02639
Heuchera parviflora,-85.355637,35.667508
Heuchera parviflora,-108.2195,39.0396
Heuchera parviflora,-84.52372,36.628536
Heuchera parviflora,-111.958333,41.500278
Heuchera parviflora,-82.982268,35.024035
Heuchera parviflora,-113.20849,35.99987
Heuchera parviflora,-83.045612,35.22382
Heuchera parviflora,-80.68808,36.41482
