species_name,x,y
Heuchera puberula,-92.063611,36.990278
Heuchera puberula,-92.95874,35.96686
Heuchera puberula,-92.083889,36.903333
Heuchera puberula,-93.393084,35.842905
Heuchera puberula,-92.935386,35.12064
Heuchera puberula,-92.117824,35.869069
Heuchera puberula,-92.400185,35.828874
Heuchera puberula,-92.05522,36.00636
Heuchera puberula,-92.175324,35.958689
Heuchera puberula,-93.5925,36.54138
Heuchera puberula,-92.274238,36.051564
Heuchera puberula,-91.475012,37.342031
Heuchera puberula,-90.99553,36.952462
Heuchera puberula,-90.988836,36.946124
Heuchera puberula,-92.0813889,36.9905555
Heuchera puberula,-91.30694,36.79083
Heuchera puberula,-92.1411111,36.7413889
Heuchera puberula,-87.26,34.57
Heuchera puberula,-91.62861,37.04138
Heuchera puberula,-91.4444444,37.1552778
Heuchera puberula,-92.5,38.5
Heuchera puberula,-92.30722,36.59777
Heuchera puberula,-91.575278,36.986944
Heuchera puberula,-92.064722,36.946667
Heuchera puberula,-90.8755556,36.6594444
Heuchera puberula,-92.17526,35.95866
Heuchera puberula,-92.339934,36.106832
Heuchera puberula,-91.2969444,37.1830556
Heuchera puberula,-91.065,37.03805
Heuchera puberula,-91.312222,36.7725
Heuchera puberula,-92.081389,36.990556
Heuchera puberula,-92.177367,35.964518
Heuchera puberula,-91.32688,37.247703
Heuchera puberula,-91.296944,37.183056
Heuchera puberula,-92.140833,36.756111
Heuchera puberula,-86.75,34.56
Heuchera puberula,-91.02567,37.010168
Heuchera puberula,-91.610278,37.041111
Heuchera puberula,-92.47991,35.98573
Heuchera puberula,-91.446488,37.149284
Heuchera puberula,-91.47388,37.33722
Heuchera puberula,-92.25,36.03
Heuchera puberula,-92.0838889,36.9033333
Heuchera puberula,-92.1216667,36.8311111
Heuchera puberula,-92.141111,36.741389
Heuchera puberula,-91.965556,37.362222
Heuchera puberula,-91.5752778,36.9869444
Heuchera puberula,-92.342785,36.035316
Heuchera puberula,-92.4275,36.923889
Heuchera puberula,-92.2863889,36.5866666
Heuchera puberula,-92.3072222,36.5977777
Heuchera puberula,-92.13611,36.9625
Heuchera puberula,-91.564722,37.385
Heuchera puberula,-91.2758334,36.7722223
Heuchera puberula,-92.003056,37.434722
Heuchera puberula,-92.1408333,36.7561111
Heuchera puberula,-91.7,37.0563889
Heuchera puberula,-91.5667,36.9833
Heuchera puberula,-86.5388,38.2748
Heuchera puberula,-92.307222,36.597778
Heuchera puberula,-91.6102778,37.0411111
Heuchera puberula,-90.875556,36.659444
Heuchera puberula,-92.136525,36.968607
Heuchera puberula,-92.150221,35.694113
Heuchera puberula,-92.137875,36.11889
Heuchera puberula,-92.0030556,37.4347222
Heuchera puberula,-91.9655556,37.3622222
Heuchera puberula,-91.275833,36.772222
Heuchera puberula,-92.930349,35.121575
Heuchera puberula,-92.131352,36.130884
Heuchera puberula,-92.11694,37.00555
Heuchera puberula,-92.121667,36.831111
Heuchera puberula,-90.259783,38.611233
Heuchera puberula,-93.55292,36.22906
Heuchera puberula,-91.717778,37.085556
Heuchera puberula,-92.286389,36.586667
Heuchera puberula,-91.5647222,37.385
Heuchera puberula,-92.08111,37.005
Heuchera puberula,-92.48015,35.98555
Heuchera puberula,-91.7,37.056389
Heuchera puberula,-91.7177778,37.0855555
Heuchera puberula,-92.48018,35.98562
Heuchera puberula,-92.0636111,36.9902777
Heuchera puberula,-92.934971,35.121237
Heuchera puberula,-92.10166,36.90361
Heuchera puberula,-91.3975,36.79222
Heuchera puberula,-86.293864,37.480054
Heuchera puberula,-92.935171,35.124957
Heuchera puberula,-92.375,36.85027
Heuchera puberula,-90.92472,36.85361
Heuchera puberula,-91.3122222,36.7725
Heuchera puberula,-92.15611,36.89
Heuchera puberula,-91.50166,37.12305
Heuchera puberula,-92.401728,35.872979
Heuchera puberula,-91.444444,37.155278
Heuchera puberula,-92.0647222,36.9466666
