Predictor variable,Categorical,Sample average
alt,false,297.17241379310343
alt,false,297.17241379310343
bio1,false,134.27586206896552
bio1,false,134.27586206896552
bio10,false,241.13793103448276
bio10,false,241.13793103448276
bio11,false,17.448275862068964
bio11,false,17.448275862068964
bio12,false,1144.0344827586207
bio12,false,1144.0344827586207
bio13,false,122.96551724137932
bio13,false,122.96551724137932
bio14,false,60.0
bio14,false,60.0
bio15,false,18.586206896551722
bio15,false,18.586206896551722
bio16,false,345.82758620689657
bio16,false,345.82758620689657
bio17,false,227.89655172413794
bio17,false,227.89655172413794
bio18,false,276.41379310344826
bio18,false,276.41379310344826
bio19,false,230.86206896551724
bio19,false,230.86206896551724
bio2,false,137.3448275862069
bio2,false,137.3448275862069
bio3,false,35.206896551724135
bio3,false,35.206896551724135
bio4,false,8608.51724137931
bio4,false,8608.51724137931
bio5,false,322.9310344827586
bio5,false,322.9310344827586
bio6,false,-61.689655172413794
bio6,false,-61.689655172413794
bio7,false,384.62068965517244
bio7,false,384.62068965517244
bio8,false,139.3448275862069
bio8,false,139.3448275862069
bio9,false,44.13793103448276
bio9,false,44.13793103448276
mask,true,50.0
