X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-92.479252,35.986061,train,0.004440094939424829,46.319532710672355,0.6369297716338997
-93.393084,35.842905,train,0.004187371319486059,43.70721479079913,0.6153769399598765
-92.935386,35.12064,train,9.792843768933795E-4,8.290386610185209,0.20025080647970417
-91.31222,36.7725,train,0.008963094689542494,68.85073957074776,0.8706502821966173
-92.13611,36.9625,train,0.013727339753922846,90.43339917484734,0.9563852746480911
-90.87556,36.65944,train,0.0020085114911779518,20.160049276831245,0.3676488075550184
-92.046857,36.006053,train,0.0047762709622203876,50.51484085233745,0.6637394639899423
-91.9693108,37.36287389,train,0.006939915927187367,62.54817256128527,0.7947606375430527
-90.99215,36.94793889,train,0.011580019802154944,78.98490890553639,0.9288080986314876
-92.21308759,35.99630712,train,0.005056354197593674,52.508094162705945,0.6845577167762201
-91.29694,37.18306,train,0.013134460721198097,86.4150011369997,0.9500670857361742
-91.34588302,36.77975372,train,0.009054150986898773,71.55925558924675,0.873310130293652
-93.5925,36.54138,train,0.0026146108719619105,25.9189975721313,0.4493261599730458
-91.475012,37.342031,train,0.012631759789887637,83.81294957546679,0.9439979251264218
-92.150221,35.694113,train,0.0028636837582045474,28.633008334325186,0.47975064597940065
-91.62861,37.04138,train,0.014610611751547884,93.30389804262101,0.9643465392096483
-92.30722,36.59778,train,0.007440575101753593,64.7108161683132,0.8169179405611378
-91.7,37.05639,train,0.00944942966603156,72.50419539762636,0.8842369041307664
-91.57528,36.98694,train,0.010518768066196399,74.54862183825047,0.9093015903814091
-92.11694,37.00555,train,0.005299767718030551,54.09466599735865,0.7016006659606906
-91.440313,37.150686,train,0.013213816247224935,87.73743722313495,0.950963117366324
-91.56472,37.385,train,0.012390882312894794,82.54995492465805,0.9408336393678857
-91.413691,37.280806,train,0.0169733629415089,96.53082504787895,0.9792051782186637
-92.12167,36.83111,train,0.009926055051261175,73.49679139600708,0.8961666200141627
-91.065,37.03805,train,0.017031616498312297,98.23407058652904,0.9794797650838796
-86.293864,37.480054,train,0.0010176759760609087,9.067421167612983,0.20722629237386359
-92.375,36.85027,train,0.0038209679461862632,39.33410993779452,0.5818370420991575
-92.00306,37.43472,train,0.0044623679416603,46.76562934937573,0.6387703384942199
-92.316185,36.139009,train,0.004839258683578469,50.99874921448306,0.6685379018236994
