Predictor variable,Categorical,Sample average
alt,false,394.3414634146341
alt,false,394.3414634146341
bio1,false,102.1829268292683
bio1,false,102.1829268292683
bio10,false,208.91463414634146
bio10,false,208.91463414634146
bio11,false,-11.914634146341463
bio11,false,-11.914634146341463
bio12,false,1048.0731707317073
bio12,false,1048.0731707317073
bio13,false,106.04878048780488
bio13,false,106.04878048780488
bio14,false,68.42682926829268
bio14,false,68.42682926829268
bio15,false,13.195121951219512
bio15,false,13.195121951219512
bio16,false,305.0243902439024
bio16,false,305.0243902439024
bio17,false,216.3780487804878
bio17,false,216.3780487804878
bio18,false,293.890243902439
bio18,false,293.890243902439
bio19,false,218.21951219512195
bio19,false,218.21951219512195
bio2,false,121.32926829268293
bio2,false,121.32926829268293
bio3,false,33.353658536585364
bio3,false,33.353658536585364
bio4,false,8525.621951219513
bio4,false,8525.621951219513
bio5,false,284.0487804878049
bio5,false,284.0487804878049
bio6,false,-74.8780487804878
bio6,false,-74.8780487804878
bio7,false,358.9268292682927
bio7,false,358.9268292682927
bio8,false,186.29268292682926
bio8,false,186.29268292682926
bio9,false,-6.560975609756097
bio9,false,-6.560975609756097
mask,true,50.0
