species_name,x,y
Heuchera richardsonii,-96.5361,44.74701
Heuchera richardsonii,-93.627759,44.66532
Heuchera richardsonii,-103.641583,44.076929
Heuchera richardsonii,-99.752758,46.68062457
Heuchera richardsonii,-96.098399,47.871787
Heuchera richardsonii,-102.93092,42.71695
Heuchera richardsonii,-96.27787,41.04663
Heuchera richardsonii,-103.550262,42.729764
Heuchera richardsonii,-92.382086,43.438488
Heuchera richardsonii,-103.41825,43.7507
Heuchera richardsonii,-89.61663985,44.44626942
Heuchera richardsonii,-103.88945,48.90274
Heuchera richardsonii,-93.860001,45.331908
Heuchera richardsonii,-95.09808,46.768325
Heuchera richardsonii,-97.776083,48.793779
Heuchera richardsonii,-95.107697,47.19592
Heuchera richardsonii,-95.08037,48.908654
Heuchera richardsonii,-93.31944,37.39861
Heuchera richardsonii,-102.956142,42.706009
Heuchera richardsonii,-103.491343,45.853548
Heuchera richardsonii,-92.1,46.7833
Heuchera richardsonii,-101.43234,47.51139
Heuchera richardsonii,-95.50008,45.665007
Heuchera richardsonii,-93.526899,44.798019
Heuchera richardsonii,-87.95,42.58333
Heuchera richardsonii,-91.692713,43.808282
Heuchera richardsonii,-103.6427,48.03124
Heuchera richardsonii,-119.52592,55.29005
Heuchera richardsonii,-94.51805,39.58
Heuchera richardsonii,-95.2333,44.315321
Heuchera richardsonii,-94.579416,44.000499
Heuchera richardsonii,-104.635,39.03716
Heuchera richardsonii,-91.70694,40.59027
Heuchera richardsonii,-113.5529,49.7168
Heuchera richardsonii,-99.67730743,49.75188641
Heuchera richardsonii,-91.61886,48.03165
Heuchera richardsonii,-87.34643,41.59337
Heuchera richardsonii,-85.275782,41.671125
Heuchera richardsonii,-87.75,42.1333
Heuchera richardsonii,-87.032128,41.663093
Heuchera richardsonii,-95.868359,44.71625
Heuchera richardsonii,-103.59514,43.88681
Heuchera richardsonii,-85.386043,41.492336
Heuchera richardsonii,-96.341841,43.80899
Heuchera richardsonii,-87.438498,40.03667
Heuchera richardsonii,-89.32252782,44.09366526
Heuchera richardsonii,-103.985748,44.333006
Heuchera richardsonii,-92.6483333,45.3977778
Heuchera richardsonii,-97.16949,46.65941
Heuchera richardsonii,-96.498723,48.577474
Heuchera richardsonii,-90.90722,39.03944
Heuchera richardsonii,-92.40111,38.34777
Heuchera richardsonii,-95.082503,46.419544
Heuchera richardsonii,-93.34111,37.87138
Heuchera richardsonii,-100.9759036,47.46245741
Heuchera richardsonii,-96.444779,45.268486
Heuchera richardsonii,-94.984439,44.55135
Heuchera richardsonii,-97.10559,46.61621
Heuchera richardsonii,-95.70981,44.919005
Heuchera richardsonii,-91.20055,38.70194
Heuchera richardsonii,-97.0325,47.92528
Heuchera richardsonii,-94.6498,37.17088
Heuchera richardsonii,-96.58004,43.224428
Heuchera richardsonii,-94.859528,44.48977
Heuchera richardsonii,-95.867907,44.985836
Heuchera richardsonii,-103.54223,43.67828
Heuchera richardsonii,-104.0713,45.5801
Heuchera richardsonii,-95.090158,44.115294
Heuchera richardsonii,-103.672771,44.041014
Heuchera richardsonii,-103.474735,45.841172
Heuchera richardsonii,-91.63111,38.68138
Heuchera richardsonii,-92.483418,42.711349
Heuchera richardsonii,-93.208006,45.04862
Heuchera richardsonii,-104.018132,44.440266
Heuchera richardsonii,-104.67718,47.055568
Heuchera richardsonii,-96.019767,45.196906
Heuchera richardsonii,-101.2936315,47.28780605
Heuchera richardsonii,-92.256548,43.718601
Heuchera richardsonii,-90.55481,41.562335
Heuchera richardsonii,-100.88958,46.57332
Heuchera richardsonii,-96.003104,47.180498
Heuchera richardsonii,-96.00833,37.45306
Heuchera richardsonii,-92.17333,38.57666
Heuchera richardsonii,-94.187463,44.276077
Heuchera richardsonii,-93.172029,45.427042
Heuchera richardsonii,-94.35198,46.522455
Heuchera richardsonii,-103.2333,47.53529
Heuchera richardsonii,-91.660784,43.536819
Heuchera richardsonii,-104.7404371,39.0965245
Heuchera richardsonii,-99.4376,48.2889
Heuchera richardsonii,-103.38872,43.84153
Heuchera richardsonii,-104.095852,44.404519
Heuchera richardsonii,-105.0669479,47.9836121
Heuchera richardsonii,-92.46278,39.245
Heuchera richardsonii,-91.57512,48.074893
Heuchera richardsonii,-96.473419,46.855337
Heuchera richardsonii,-93.293835,45.876903
Heuchera richardsonii,-99.58718,42.70172
Heuchera richardsonii,-103.828053,44.293976
Heuchera richardsonii,-90.5776,41.5236
Heuchera richardsonii,-104.32964,47.10465
Heuchera richardsonii,-94.973498,45.453017
Heuchera richardsonii,-91.60699,46.43318
Heuchera richardsonii,-92.61638,38.08916
Heuchera richardsonii,-88.19125,41.36502
Heuchera richardsonii,-97.257538,45.463987
Heuchera richardsonii,-94.19444,46.35722
Heuchera richardsonii,-88.67542462,42.79554134
Heuchera richardsonii,-88.2833,42.3833
Heuchera richardsonii,-92.049518,44.056501
Heuchera richardsonii,-103.757608,44.389088
Heuchera richardsonii,-95.18816063,49.75090476
Heuchera richardsonii,-95.94953,37.71175
Heuchera richardsonii,-103.59529,43.88903
Heuchera richardsonii,-105.872694,45.665222
Heuchera richardsonii,-107.085,48.6081
Heuchera richardsonii,-90.26023,38.36293
Heuchera richardsonii,-94.1667,48.1833
Heuchera richardsonii,-94.990759,47.368324
Heuchera richardsonii,-102.75408,47.63251
Heuchera richardsonii,-104.053796,44.420752
Heuchera richardsonii,-102.00139,48.33328
Heuchera richardsonii,-90.88416,37.7275
Heuchera richardsonii,-101.3333764,50.98288393
Heuchera richardsonii,-95.06376,37.84498
Heuchera richardsonii,-93.99451,44.272278
Heuchera richardsonii,-103.526302,44.042765
Heuchera richardsonii,-103.378772,43.836887
Heuchera richardsonii,-93.20555,40.30527
Heuchera richardsonii,-97.73215,48.79383
Heuchera richardsonii,-86.533364,40.765506
Heuchera richardsonii,-93.212681,44.874255
Heuchera richardsonii,-93.7938919,45.5074997
Heuchera richardsonii,-104.7654924,39.3407787
Heuchera richardsonii,-93.296211,45.305363
Heuchera richardsonii,-93.683045,34.474104
Heuchera richardsonii,-92.81333,38.16027
Heuchera richardsonii,-91.58333,37.11833
Heuchera richardsonii,-92.10861,40.325
Heuchera richardsonii,-99.72333,50.675
Heuchera richardsonii,-95.923152,44.359499
Heuchera richardsonii,-97.17538,40.05237
Heuchera richardsonii,-101.2958,47.28885
Heuchera richardsonii,-94.786423,39.155822
Heuchera richardsonii,-92.519043,43.536579
Heuchera richardsonii,-93.631514,34.413463
Heuchera richardsonii,-89.02125,42.606119
Heuchera richardsonii,-88.07063,41.813483
Heuchera richardsonii,-97.90818,42.5138
Heuchera richardsonii,-103.249134,42.629253
Heuchera richardsonii,-91.946325,41.772471
Heuchera richardsonii,-94.472092,45.116323
Heuchera richardsonii,-104.80401,48.7745
Heuchera richardsonii,-89.6451,40.688649
Heuchera richardsonii,-106.4088775,48.76310708
Heuchera richardsonii,-89.41605712,44.34205663
Heuchera richardsonii,-90.57678,41.52914
Heuchera richardsonii,-95.83528,37.79528
Heuchera richardsonii,-103.52684,44.04272
Heuchera richardsonii,-89.39574525,43.7663058
Heuchera richardsonii,-89.41177,41.896698
Heuchera richardsonii,-93.73555,36.53361
Heuchera richardsonii,-88.16514962,43.61219257
Heuchera richardsonii,-93.79166,38.05916
Heuchera richardsonii,-101.50027,46.38135
Heuchera richardsonii,-95.369045,45.650238
Heuchera richardsonii,-95.800145,45.613749
Heuchera richardsonii,-94.641391,37.178516
Heuchera richardsonii,-103.95451,44.04612
Heuchera richardsonii,-89.318987,42.824114
Heuchera richardsonii,-96.010767,45.159258
Heuchera richardsonii,-92.410067,43.879782
Heuchera richardsonii,-92.336498,43.915133
Heuchera richardsonii,-96.186973,43.706913
Heuchera richardsonii,-90.19777,38.62722
Heuchera richardsonii,-100.651084,46.304116
Heuchera richardsonii,-95.064623,43.72505
Heuchera richardsonii,-90.67583,38.50361
Heuchera richardsonii,-95.86718784,50.29990456
Heuchera richardsonii,-95.102214,44.123013
Heuchera richardsonii,-93.213123,44.875594
Heuchera richardsonii,-93.008801,48.470908
Heuchera richardsonii,-90.21222222222,45.145
Heuchera richardsonii,-103.514448,43.881586
Heuchera richardsonii,-90.27833,36.89416
Heuchera richardsonii,-103.962707,44.055259
Heuchera richardsonii,-97.4854,42.8303
