Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.84784E-9,0.000000385,0.000017511,1,0,0
4.72295E-9,0.000001242,0.000021493,0.999805296,0,0
5.40381E-9,0.000002798,0.000024592,0.99951324,0,0
8.56151E-9,0.00001069,0.000038961,0.998442368,0,0
1.3615E-8,0.000025853,0.000061958,0.997079439,0,0
1.8501E-8,0.000051379,0.000084191,0.995521807,0,0
2.78569E-8,0.000100645,0.000126764,0.993574766,0,0
4.38786E-8,0.000253424,0.000199664,0.989291277,0,0
7.36746E-8,0.000505517,0.000335225,0.984910436,0,0
1.1489E-7,0.001006455,0.000522708,0.979653427,0,0
1.83496E-7,0.00251705,0.000834711,0.969820872,0,0
2.77682E-7,0.005005174,0.001262886,0.959209502,0,0
4.32531E-7,0.0100073,0.001966444,0.945385514,0,0
7.15153E-7,0.025011111,0.003249256,0.919781931,0,0
1.11477E-6,0.050016495,0.005060307,0.893399533,0.003597122,0
1.89927E-6,0.100114405,0.008606007,0.860397196,0.003597122,0
3.03019E-6,0.20009504,0.013695253,0.820482866,0.003597122,0
3.97571E-6,0.300234547,0.017930111,0.792542835,0.003597122,0
4.89753E-6,0.400309778,0.022041339,0.770541277,0.003597122,0
5.65974E-6,0.500007493,0.025427673,0.752141745,0.003597122,0
6.47477E-6,0.600407777,0.029035744,0.73607866,0.003597122,0
7.27658E-6,0.700110557,0.032572258,0.721962617,0.003597122,0
7.58374E-6,0.750652324,0.033923621,0.715342679,0.003597122,0
7.91952E-6,0.80032197,0.035398694,0.70911215,0.003597122,0
8.53461E-6,0.900790477,0.038095045,0.697235202,0.003597122,0
9.06069E-6,1.000365274,0.040395165,0.686234424,0.005395683,0
9.70662E-6,1.100900523,0.043211814,0.675817757,0.005395683,0
1.02622E-5,1.200676422,0.045627997,0.666082555,0.005395683,0
1.07758E-5,1.300422005,0.047855839,0.656834112,0.005395683,0
1.12437E-5,1.400494209,0.04988115,0.647975078,0.005395683,0
1.18299E-5,1.500857367,0.05241253,0.639505452,0.005395683,0
1.33788E-5,1.750460631,0.059068289,0.620132399,0.007194245,0
1.49273E-5,2.000698067,0.06567566,0.60290109,0.012589928,0
1.64966E-5,2.250796924,0.072324709,0.587422118,0.014388489,0
1.78192E-5,2.500658841,0.07789137,0.573208723,0.014388489,0
1.92878E-5,2.751419921,0.084033817,0.560066199,0.01618705,0
2.08165E-5,3.002068244,0.090383865,0.547897196,0.019784173,0
2.21805E-5,3.251236613,0.096012506,0.536604361,0.019784173,0
2.35818E-5,3.500751926,0.10175915,0.525992991,0.021582734,0
2.5368E-5,3.752475307,0.109031089,0.515965732,0.026978417,0
2.68105E-5,4.000388744,0.114860514,0.50671729,0.026978417,0
2.83028E-5,4.251980189,0.120851421,0.497858255,0.028776978,0
2.96673E-5,4.500748625,0.126293789,0.489485981,0.028776978,0
3.13088E-5,4.750943525,0.132796058,0.481503115,0.028776978,0
3.29696E-5,5.001348898,0.139325723,0.473909657,0.032374101,0
3.46882E-5,5.251783662,0.146031119,0.466705607,0.034172662,0
3.63433E-5,5.503484542,0.152438974,0.459793614,0.035971223,0
3.82491E-5,5.752649825,0.159758218,0.453271028,0.037769784,0
4.02324E-5,6.003877869,0.167307641,0.447040498,0.039568345,0
4.20449E-5,6.250571398,0.174147859,0.441199377,0.039568345,0
4.48191E-5,6.501900853,0.184508556,0.43555296,0.039568345,0
4.69508E-5,6.754114119,0.19238147,0.430198598,0.043165468,0
4.93079E-5,7.004488248,0.200998133,0.425136293,0.044964029,0
5.15581E-5,7.251686684,0.209138615,0.420366044,0.044964029,0
5.35705E-5,7.503848911,0.216348433,0.415693146,0.044964029,0
5.50285E-5,7.753934275,0.221530689,0.411214953,0.04676259,0
5.66591E-5,8.005371987,0.227286107,0.406834112,0.050359712,0
5.82987E-5,8.252245725,0.233030288,0.402647975,0.050359712,0
5.98981E-5,8.500719027,0.238592552,0.39855919,0.052158273,0
6.13343E-5,8.755313389,0.243552543,0.394470405,0.053956835,0
6.2793E-5,9.003784558,0.248557621,0.390576324,0.053956835,0
6.46909E-5,9.252281503,0.255019844,0.386779595,0.053956835,0
6.60336E-5,9.500628076,0.259558126,0.383080218,0.059352518,0
6.75872E-5,9.754355753,0.264774556,0.379380841,0.061151079,0
6.91741E-5,10.000642596,0.270064987,0.375876168,0.06294964,0
7.07152E-5,10.25256466,0.275166444,0.372371495,0.066546763,0
7.26863E-5,10.503784238,0.281639248,0.368964174,0.068345324,0
7.46461E-5,10.754570212,0.288017646,0.365654206,0.071942446,0
7.61919E-5,11.003768199,0.29300852,0.362441589,0.071942446,0
7.81436E-5,11.250663788,0.299260101,0.359326324,0.071942446,0
7.95649E-5,11.503041745,0.303778234,0.356211059,0.071942446,0
8.10355E-5,11.751810335,0.308421884,0.353193146,0.071942446,0
8.25631E-5,12.005266472,0.313212926,0.350175234,0.075539568,0
8.42421E-5,12.255493079,0.318440608,0.347254673,0.077338129,0
8.55083E-5,12.501644482,0.322356652,0.344431464,0.079136691,0
8.68493E-5,12.751514692,0.326479517,0.341608255,0.082733813,0
8.79304E-5,13.005212531,0.329785121,0.338785047,0.082733813,0
8.91272E-5,13.252882949,0.333425458,0.33605919,0.082733813,0
9.08661E-5,13.505184432,0.338679478,0.333333333,0.086330935,0
9.18948E-5,13.751924311,0.341768326,0.330704829,0.086330935,0
9.28939E-5,14.001136645,0.34475423,0.328076324,0.088129496,0
9.41924E-5,14.253952311,0.348614821,0.325447819,0.088129496,0
9.5582E-5,14.500858122,0.352721015,0.322916667,0.088129496,0
