species_name,x,y
Heuchera rubescens,-101.033,27.083
Heuchera rubescens,-112.34667383597913,36.331401524240945
Heuchera rubescens,-115.628,42.3625
Heuchera rubescens,-112.11492,34.71267
Heuchera rubescens,-111.852,35.3904
Heuchera rubescens,-111.650003,37.951667
Heuchera rubescens,-117.089,36.18
Heuchera rubescens,-118.728162,36.605286
Heuchera rubescens,-118.00253,35.77371
Heuchera rubescens,-111.67572,35.354091
Heuchera rubescens,-118.6208,36.8626
Heuchera rubescens,-117.244046,38.888095
Heuchera rubescens,-116.59322,33.38087
Heuchera rubescens,-117.96583,37.09106
Heuchera rubescens,-118.750043,38.583446
Heuchera rubescens,-115.55,42.22
Heuchera rubescens,-118.7704,37.4148
Heuchera rubescens,-106.49167,31.90056
Heuchera rubescens,-117.264033,38.893097
Heuchera rubescens,-116.85,34.16667
Heuchera rubescens,-109.090833,36.841111
Heuchera rubescens,-120.1193901,38.94459564
Heuchera rubescens,-119.7429039,38.38203985
Heuchera rubescens,-117.08917,36.18139
Heuchera rubescens,-118.705966,37.27401156
Heuchera rubescens,-119.1883044,37.86556496
Heuchera rubescens,-111.5773,40.2878
Heuchera rubescens,-122.3842,41.2284
Heuchera rubescens,-119.2948294,38.06735986
Heuchera rubescens,-104.26667,32.03417
Heuchera rubescens,-120.326111,39.313333
Heuchera rubescens,-123.4819444,41.10583333
Heuchera rubescens,-118.8666934,37.5838735
Heuchera rubescens,-119.146695,41.735089
Heuchera rubescens,-120.32685,39.31867682
Heuchera rubescens,-113.54056,36.10861
Heuchera rubescens,-118.6038,36.4433
Heuchera rubescens,-118.8612,37.5411
Heuchera rubescens,-112.445667,38.288222
Heuchera rubescens,-119.0849,42.5703
Heuchera rubescens,-111.678085,35.325213
Heuchera rubescens,-109.871521,32.7018
Heuchera rubescens,-115.5153,34.948
Heuchera rubescens,-119.10218,37.29132
Heuchera rubescens,-120.03965,38.66371
Heuchera rubescens,-111.677597,35.32594
Heuchera rubescens,-120.3226499,39.31976683
Heuchera rubescens,-116.458,33.53725
Heuchera rubescens,-118.68777,37.36158
Heuchera rubescens,-111.444105,34.091517
Heuchera rubescens,-118.591482,36.410497
Heuchera rubescens,-113.857222,39.992499
Heuchera rubescens,-123.4649722,41.08375
Heuchera rubescens,-115.798798,36.312826
Heuchera rubescens,-106.55645232288357,32.43849054382214
Heuchera rubescens,-118.63563,37.17562
Heuchera rubescens,-118.96111,37.28306
Heuchera rubescens,-115.5902,35.5394
Heuchera rubescens,-109.097835,36.45925
Heuchera rubescens,-100.1972222,33.9427778
Heuchera rubescens,-113.918889,39.828333
Heuchera rubescens,-120.036785,38.7158
Heuchera rubescens,-118.86667,37.55
Heuchera rubescens,-119.409,37.74
Heuchera rubescens,-109.12661,36.85522
Heuchera rubescens,-122.9438,41.2957
Heuchera rubescens,-115.5103,34.9636
Heuchera rubescens,-101.425,25.175
Heuchera rubescens,-117.783094,39.318345
Heuchera rubescens,-115.32639,35.25639
Heuchera rubescens,-120.3489511,39.36549576
Heuchera rubescens,-111.6475,37.950833
Heuchera rubescens,-116.82389,34.09889
Heuchera rubescens,-111.67194,40.53111
Heuchera rubescens,-114.854938,40.046142
Heuchera rubescens,-123.6550069,41.92047526
Heuchera rubescens,-115.2975,35.2464
Heuchera rubescens,-117.0878,36.1958
Heuchera rubescens,-115.911,35.7511
Heuchera rubescens,-118.5346361,35.88081577
Heuchera rubescens,-119.8333,42.5
Heuchera rubescens,-122.33139,41.93778
Heuchera rubescens,-119.2985,37.9624
Heuchera rubescens,-112.300266,41.936685
Heuchera rubescens,-115.3828,40.5962
Heuchera rubescens,-118.1393,37.4976
Heuchera rubescens,-115.623387,36.310098
Heuchera rubescens,-120.4473523,39.28062655
Heuchera rubescens,-119.371,41.343
Heuchera rubescens,-119.2579,37.9376
Heuchera rubescens,-118.3067,36.5822
Heuchera rubescens,-120.10787,38.95496
Heuchera rubescens,-113.615,36.461
Heuchera rubescens,-106.5306666667,33.2988666667
Heuchera rubescens,-118.99789,37.62572
Heuchera rubescens,-111.512735,37.805236
Heuchera rubescens,-115.58917,35.54139
Heuchera rubescens,-107.6166666667,32.0833333333
Heuchera rubescens,-116.9833,42.5915
Heuchera rubescens,-113.702989,42.08442
Heuchera rubescens,-108.832,36.0584
Heuchera rubescens,-111.27356835842754,34.49159708807657
Heuchera rubescens,-118.85043,37.15057
Heuchera rubescens,-123.40986,41.18278
Heuchera rubescens,-115.49525,36.1444
Heuchera rubescens,-109.1202778,36.8597222
Heuchera rubescens,-102.617,29.117
Heuchera rubescens,-119.0866589,37.61075123
Heuchera rubescens,-120.094167,38.97
Heuchera rubescens,-115.463109,42.036706
Heuchera rubescens,-117.704147,41.544833
Heuchera rubescens,-109.0908333,36.8411111
Heuchera rubescens,-123.6123,41.8685
Heuchera rubescens,-117.71036,43.51033
Heuchera rubescens,-116.80505,33.327
Heuchera rubescens,-118.5487,36.8134
Heuchera rubescens,-119.985,38.6794
Heuchera rubescens,-123.4819,41.1058
Heuchera rubescens,-120.8875,40.04472
Heuchera rubescens,-115.54,34.956
Heuchera rubescens,-119.5797,37.7116
Heuchera rubescens,-116.67669,33.75589
Heuchera rubescens,-108.5733314,38.836312
Heuchera rubescens,-115.906496,32.047465
Heuchera rubescens,-118.1166667,36.2833333
Heuchera rubescens,-115.5045,34.9805
Heuchera rubescens,-120.31667,39.30833
Heuchera rubescens,-116.63327,42.27538
Heuchera rubescens,-118.191932250558,37.24392908079797
Heuchera rubescens,-104.880226,31.92956
Heuchera rubescens,-120.0678,38.8624
Heuchera rubescens,-116.57974,33.31504
Heuchera rubescens,-111.759167,39.823889
Heuchera rubescens,-116.925392,43.476817
Heuchera rubescens,-115.5697,35.5948
Heuchera rubescens,-118.5753,36.5989
Heuchera rubescens,-116.8282,34.1001
Heuchera rubescens,-120.309337,39.248733
Heuchera rubescens,-119.46,37.74
Heuchera rubescens,-118.275,35.77083
Heuchera rubescens,-116.84278,34.12972
Heuchera rubescens,-106.4972222222,31.9597222222
Heuchera rubescens,-117.99611,35.73831
Heuchera rubescens,-119.032634,37.630769
Heuchera rubescens,-115.602041,35.543592
Heuchera rubescens,-109.09556,36.46139
Heuchera rubescens,-119.3398,37.8895
Heuchera rubescens,-117.6654,43.1408
Heuchera rubescens,-117.0737,36.2352
Heuchera rubescens,-119.05056,37.18167
Heuchera rubescens,-118.57706,36.416681
Heuchera rubescens,-111.729444,39.902778
Heuchera rubescens,-111.0593,33.3537
Heuchera rubescens,-118.04167,35.79722
Heuchera rubescens,-119.83972,38.76806
Heuchera rubescens,-118.7503087,36.56238762
Heuchera rubescens,-115.56667,35.53333
Heuchera rubescens,-118.579506,36.423208
Heuchera rubescens,-120.0396,38.6637
Heuchera rubescens,-108.38,31.6192
Heuchera rubescens,-118.5581,36.4162
Heuchera rubescens,-119.59689,37.756655
Heuchera rubescens,-118.5715327,36.39926283
Heuchera rubescens,-118.3596,35.4799
Heuchera rubescens,-119.0771,37.7076
Heuchera rubescens,-119.35071,38.0659
Heuchera rubescens,-119.11211,37.82211
Heuchera rubescens,-112.004033,42.623657
Heuchera rubescens,-102.55,28.98333
Heuchera rubescens,-115.5975,35.5455
Heuchera rubescens,-119.7332224,38.280962
Heuchera rubescens,-120.32611,39.31333
Heuchera rubescens,-119.635172,38.353802
Heuchera rubescens,-115.52883,34.94868
Heuchera rubescens,-118.7467,37.4359
Heuchera rubescens,-111.162636,34.550305
Heuchera rubescens,-123.0167,42.0255
Heuchera rubescens,-111.574015,42.147476
Heuchera rubescens,-119.864835,39.111932
Heuchera rubescens,-118.49463,37.12297
Heuchera rubescens,-116.9805,42.5916
Heuchera rubescens,-123.1916667,41.91666667
Heuchera rubescens,-120.3572,39.2511
Heuchera rubescens,-115.403144,37.644726
Heuchera rubescens,-115.5881,35.525
Heuchera rubescens,-120.1073,38.9429
Heuchera rubescens,-120.297461,39.258705
Heuchera rubescens,-115.284,35.2606
Heuchera rubescens,-117.0892,36.1752
Heuchera rubescens,-118.6129,42.0419
Heuchera rubescens,-118.00417,35.78333
Heuchera rubescens,-109.859,32.6578
Heuchera rubescens,-123.4098611,41.18277778
Heuchera rubescens,-111.745555,39.9125
Heuchera rubescens,-115.32873,35.25108
Heuchera rubescens,-119.9759,38.7229
Heuchera rubescens,-114.015,41.197
Heuchera rubescens,-118.724,37.4739
Heuchera rubescens,-120.4729,39.3857
Heuchera rubescens,-118.16211,37.52394
Heuchera rubescens,-113.700843,42.087414
Heuchera rubescens,-118.232,37.297
Heuchera rubescens,-118.4737,36.6585
Heuchera rubescens,-112.346677,36.626246
Heuchera rubescens,-111.66972,35.33222
Heuchera rubescens,-116.481,32.8433
Heuchera rubescens,-118.0616,34.2238
Heuchera rubescens,-118.8724,37.5557
Heuchera rubescens,-118.00833,35.84167
Heuchera rubescens,-111.729444,39.902777
Heuchera rubescens,-120.1323692,38.85533727
Heuchera rubescens,-115.3991,35.2214
Heuchera rubescens,-115.433333,30.983333
Heuchera rubescens,-119.056112,37.744719
Heuchera rubescens,-111.736603,35.024248
Heuchera rubescens,-116.8504,34.1526
Heuchera rubescens,-119.899686,38.857819
Heuchera rubescens,-116.885017,42.193321
Heuchera rubescens,-118.37541,36.90986
Heuchera rubescens,-114.27639,39.27556
Heuchera rubescens,-118.7465,36.8577
Heuchera rubescens,-123.462,41.08092
Heuchera rubescens,-116.8279,34.1001
Heuchera rubescens,-114.23319,39.18022
Heuchera rubescens,-120.2474,41.3175
Heuchera rubescens,-116.60667,32.94917
Heuchera rubescens,-115.588,35.525
Heuchera rubescens,-123.44556,41.21722
Heuchera rubescens,-117.0995,36.215
Heuchera rubescens,-120.0832982,38.86626745
Heuchera rubescens,-102.4,27.05
Heuchera rubescens,-111.668116,35.327068
Heuchera rubescens,-118.272,36.5296
Heuchera rubescens,-120.6372,39.454
Heuchera rubescens,-117.6987,42.8917
Heuchera rubescens,-117.089196,36.175159
Heuchera rubescens,-110.930608,33.81801
Heuchera rubescens,-112.23,38.4492
Heuchera rubescens,-119.0072,37.5922
Heuchera rubescens,-120.3275,39.3192
Heuchera rubescens,-120.6528567,39.25172543
Heuchera rubescens,-113.584167,37.104167
Heuchera rubescens,-118.234,37.2929
Heuchera rubescens,-118.0681,36.2369
