Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.65637E-9,0.000000366,0.000006646,1,0,0
7.46922E-9,0.000001113,0.000013576,0.999859472,0,0
1.32858E-8,0.000003472,0.000024148,0.999578415,0,0
3.84194E-8,0.000011709,0.00006983,0.99915683,0,0
6.78337E-8,0.000029244,0.000123289,0.998735245,0,0
1.00074E-7,0.000054543,0.000181882,0.998313659,0,0
1.32277E-7,0.000101028,0.000240403,0.997751546,0,0
2.0218E-7,0.000265607,0.000367423,0.99648679,0,0
2.3089E-7,0.000505192,0.000419587,0.994940978,0,0
3.31263E-7,0.001027609,0.000601935,0.992411467,0,0
4.75637E-7,0.002509875,0.000864163,0.987352445,0,0
6.00993E-7,0.005038684,0.001091792,0.980888139,0,0
8.04047E-7,0.010053013,0.001460399,0.970910624,0,0
1.25808E-6,0.025109249,0.002284118,0.950112423,0,0
1.76127E-6,0.050096736,0.003196228,0.926784711,0,0
2.67128E-6,0.100120414,0.004843654,0.894884767,0,0
4.12742E-6,0.200032741,0.007474091,0.853709949,0,0
5.44936E-6,0.300190177,0.009856069,0.824339517,0,0
6.45836E-6,0.400161845,0.011670326,0.800871276,0,0
7.51873E-6,0.500134477,0.013573379,0.780775717,0,0
8.41263E-6,0.60032544,0.01517481,0.76306914,0,0
9.40742E-6,0.700026721,0.01695393,0.747329961,0,0
9.81902E-6,0.750009581,0.017689103,0.740022485,0,0
1.02302E-5,0.800105316,0.018422913,0.732996065,0,0
1.12281E-5,0.900141651,0.020201818,0.719926925,0,0
1.20457E-5,1.000232457,0.02165679,0.707841484,0,0
1.28679E-5,1.100084177,0.023117762,0.696599213,0,0
1.35547E-5,1.200688398,0.024336539,0.685919056,0,0
1.43721E-5,1.301053346,0.025784974,0.675801012,0,0
1.49987E-5,1.400968749,0.026893951,0.666245082,0,0
1.56487E-5,1.500539404,0.028042995,0.657110736,0,0
1.73568E-5,1.750736883,0.031055853,0.63589095,0,0
1.91386E-5,2.000927767,0.034188901,0.616638561,0,0
2.08691E-5,2.251973889,0.037222129,0.598931984,0,0
2.26533E-5,2.500558625,0.040339331,0.582911748,0.007407407,0
2.4349E-5,2.750449158,0.043292559,0.568015739,0.014814815,0
2.60206E-5,3.000111234,0.046195034,0.554103429,0.014814815,0
2.75692E-5,3.252129329,0.048876027,0.540893761,0.014814815,0
2.91624E-5,3.501073644,0.051626408,0.528527263,0.014814815,0
3.08391E-5,3.752679423,0.054512186,0.516722878,0.014814815,0
3.26096E-5,4.000224291,0.057550113,0.505761664,0.014814815,0
3.40522E-5,4.250549984,0.060017983,0.495222035,0.014814815,0
3.56415E-5,4.501393782,0.062729472,0.485103991,0.022222222,0
3.73327E-5,4.753232306,0.065606263,0.475407532,0.022222222,0
3.9286E-5,5.002449508,0.068917796,0.466273187,0.02962963,0
4.0717E-5,5.251034316,0.07133643,0.457560427,0.02962963,0
4.22988E-5,5.504057446,0.074002712,0.448988196,0.02962963,0
4.41841E-5,5.751295084,0.077170428,0.440978078,0.02962963,0
4.60298E-5,6.004506891,0.080261178,0.433108488,0.037037037,0
4.76287E-5,6.252533765,0.082930257,0.425660483,0.044444444,0
4.90884E-5,6.504520575,0.085360272,0.418353007,0.044444444,0
5.09413E-5,6.750177938,0.088435374,0.411467116,0.051851852,0
5.24322E-5,7.003380021,0.090902317,0.404581225,0.051851852,0
5.46453E-5,7.250310226,0.094552009,0.39811692,0.051851852,0
5.60655E-5,7.504169481,0.096886343,0.391652614,0.051851852,0
5.7903E-5,7.75508994,0.099897597,0.385469365,0.051851852,0
5.94661E-5,8.001180052,0.102451263,0.379567173,0.051851852,0
6.0902E-5,8.254266658,0.10479086,0.37366498,0.051851852,0
6.23474E-5,8.500382637,0.107139525,0.368043845,0.051851852,0
6.39478E-5,8.75256873,0.109733069,0.362422709,0.051851852,0
6.53962E-5,9.004761411,0.112073752,0.356942102,0.051851852,0
6.6986E-5,9.256671289,0.114636001,0.351602024,0.059259259,0
6.85111E-5,9.500498716,0.117086756,0.346543002,0.059259259,0
7.04555E-5,9.750203374,0.12020167,0.34148398,0.059259259,0
7.20663E-5,10.007033732,0.122773899,0.336424958,0.059259259,0
7.38506E-5,10.254621282,0.125614234,0.331646993,0.059259259,0
7.50651E-5,10.500347772,0.127542412,0.327009556,0.066666667,0
7.65716E-5,10.750730647,0.129928091,0.322372119,0.074074074,0
7.80518E-5,11.005856667,0.132265936,0.317734682,0.081481481,0
7.9687E-5,11.250697663,0.134841209,0.313378302,0.081481481,0
8.11594E-5,11.50775807,0.137153456,0.308881394,0.081481481,0
8.26084E-5,11.75345679,0.139422951,0.304665542,0.088888889,0
8.40607E-5,12.003575065,0.14169181,0.300449691,0.088888889,0
8.53526E-5,12.2574635,0.143704858,0.296233839,0.088888889,0
8.7098E-5,12.507772204,0.146417161,0.292158516,0.088888889,0
8.85018E-5,12.753940726,0.148592418,0.288223721,0.088888889,0
9.01075E-5,13.004306677,0.151073614,0.284288926,0.088888889,0
9.15215E-5,13.25896202,0.153252761,0.280354132,0.088888889,0
9.34489E-5,13.509024918,0.156214003,0.276559865,0.096296296,0
9.53338E-5,13.754549547,0.159099917,0.272906127,0.096296296,0
9.66961E-5,14.0046712,0.161179472,0.269252389,0.096296296,0
9.87208E-5,14.258921491,0.164260844,0.265598651,0.096296296,0
1.00251E-4,14.507941696,0.166582792,0.262085441,0.096296296,0
1.02061E-4,14.751008315,0.169318899,0.25871276,0.096296296,0
1.03578E-4,15.008300254,0.171607204,0.25519955,0.096296296,0
1.04987E-4,15.258533008,0.173725936,0.251826869,0.111111111,0
1.06263E-4,15.501611506,0.175639474,0.248594716,0.111111111,0
1.07884E-4,15.758412757,0.178064432,0.245222035,0.111111111,0
1.09364E-4,16.007854696,0.18027365,0.241989882,0.111111111,0
1.10583E-4,16.26076137,0.182087027,0.238757729,0.111111111,0
1.12316E-4,16.506446452,0.184659567,0.235666105,0.111111111,0
1.1429E-4,16.755873388,0.187580424,0.23257448,0.111111111,0
1.162E-4,17.009733142,0.190396346,0.229482856,0.111111111,0
1.17416E-4,17.255074283,0.192182691,0.226531759,0.111111111,0
1.18869E-4,17.50326337,0.194313783,0.223580663,0.111111111,0
1.20771E-4,17.755207028,0.197094697,0.220629567,0.111111111,0
1.21997E-4,18.009754296,0.198881108,0.217678471,0.111111111,0
1.23366E-4,18.255053955,0.200872378,0.214867903,0.111111111,0
1.24886E-4,18.503140156,0.203076614,0.212057336,0.111111111,0
1.26395E-4,18.754487792,0.205260113,0.209246768,0.111111111,0
1.29081E-4,19.010140572,0.209130354,0.2064362,0.111111111,0
1.31055E-4,19.257623779,0.211962671,0.203766161,0.118518519,0
1.32368E-4,19.507959902,0.213841708,0.201096121,0.125925926,0
1.33992E-4,19.760894675,0.216159067,0.198426082,0.125925926,0
1.36419E-4,20.00466439,0.219609116,0.195896571,0.125925926,0
