Predictor variable,Categorical,Sample average
alt,false,1759.7851851851851
alt,false,1759.7851851851851
bio1,false,117.85925925925926
bio1,false,117.85925925925926
bio10,false,207.67407407407407
bio10,false,207.67407407407407
bio11,false,34.474074074074075
bio11,false,34.474074074074075
bio12,false,467.0074074074074
bio12,false,467.0074074074074
bio13,false,80.57777777777778
bio13,false,80.57777777777778
bio14,false,9.666666666666666
bio14,false,9.666666666666666
bio15,false,53.98518518518519
bio15,false,53.98518518518519
bio16,false,204.0888888888889
bio16,false,204.0888888888889
bio17,false,43.25185185185185
bio17,false,43.25185185185185
bio18,false,154.06666666666666
bio18,false,154.06666666666666
bio19,false,127.06666666666666
bio19,false,127.06666666666666
bio2,false,159.78518518518518
bio2,false,159.78518518518518
bio3,false,45.96296296296296
bio3,false,45.96296296296296
bio4,false,6804.059259259259
bio4,false,6804.059259259259
bio5,false,302.85925925925926
bio5,false,302.85925925925926
bio6,false,-43.88148148148148
bio6,false,-43.88148148148148
bio7,false,346.74074074074076
bio7,false,346.74074074074076
bio8,false,160.25925925925927
bio8,false,160.25925925925927
bio9,false,137.55555555555554
bio9,false,137.55555555555554
mask,true,50.0
