Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.89709E-8,0.000004897,0.000067924,1,0,0
7.79223E-8,0.000012689,0.000108078,0.999778271,0,0
8.71018E-8,0.000029586,0.000120809,0.999334812,0,0
1.30099E-7,0.000051559,0.00018044,0.998891353,0,0
2.00246E-7,0.000104167,0.000277717,0.998226164,0,0
2.83346E-7,0.000256158,0.000392944,0.996895787,0,0
4.91497E-7,0.000519616,0.000681509,0.99556541,0,0
6.99412E-7,0.001044903,0.000969664,0.993569845,0,0
9.94773E-7,0.002554547,0.001378871,0.989800443,0,0
1.40891E-6,0.005115427,0.001952345,0.985144124,0,0
1.96447E-6,0.010015226,0.002721156,0.978713969,0,0
2.81113E-6,0.025187073,0.003891644,0.964745011,0,0
3.79562E-6,0.05033036,0.005250968,0.948115299,0,0
5.00134E-6,0.100494734,0.006913208,0.923059867,0,0
6.67151E-6,0.200353007,0.009211178,0.885144124,0,0
8.49069E-6,0.30056096,0.011708114,0.855654102,0,0
9.95174E-6,0.400354962,0.013708946,0.831707317,0,0
1.14732E-5,0.500898831,0.015788159,0.810864745,0,0
1.32657E-5,0.601238304,0.018232227,0.792904656,0,0
1.47399E-5,0.701067525,0.020237778,0.777161863,0,0
1.54943E-5,0.750885587,0.021262461,0.769844789,0,0
1.63367E-5,0.800037354,0.022405299,0.762971175,0,0
1.75704E-5,0.900176023,0.024076808,0.749889135,0,0
1.89776E-5,1.000678529,0.025979856,0.737694013,0,0
2.03761E-5,1.101457649,0.027867467,0.726385809,0,0
2.18294E-5,1.200132827,0.029825084,0.715964523,0,0
2.31536E-5,1.30168506,0.031605425,0.705986696,0,0
2.42982E-5,1.401530441,0.033141664,0.696674058,0,0
2.55061E-5,1.501153309,0.034760252,0.687804878,0,0
2.83554E-5,1.750642959,0.03856752,0.667184035,0,0
3.11413E-5,2.001369791,0.04227555,0.648558758,0,0
3.34667E-5,2.2500348,0.045359705,0.631485588,0,0
3.63888E-5,2.502102129,0.049221198,0.615521064,0.008403361,0
3.86497E-5,2.752918601,0.052198261,0.600665188,0.008403361,0
4.07879E-5,3.00307316,0.055005095,0.586696231,0.016806723,0
4.31011E-5,3.251130035,0.058032279,0.573614191,0.016806723,0
4.56177E-5,3.503815905,0.061314704,0.56097561,0.016806723,0
4.82639E-5,3.752453624,0.064753882,0.549223947,0.016806723,0
5.05858E-5,4.003572077,0.067761117,0.537915743,0.016806723,0
5.2691E-5,4.251410598,0.070479264,0.527272727,0.016806723,0
5.52433E-5,4.505069621,0.073764231,0.516851441,0.025210084,0
5.73178E-5,4.753392616,0.076425565,0.507095344,0.025210084,0
5.98766E-5,5.000734983,0.079697756,0.497782705,0.025210084,0
6.16532E-5,5.255843644,0.081962858,0.488470067,0.025210084,0
6.38727E-5,5.500887431,0.084784727,0.479822616,0.025210084,0
6.69628E-5,5.755774603,0.088699219,0.471175166,0.025210084,0
6.896E-5,6.000717836,0.091220261,0.463192905,0.025210084,0
7.18682E-5,6.253719974,0.09487876,0.455210643,0.025210084,0
7.41587E-5,6.502665748,0.097749802,0.44767184,0.033613445,0
7.58491E-5,6.750157062,0.099862859,0.440354767,0.042016807,0
7.84235E-5,7.004421957,0.103071403,0.433037694,0.042016807,0
8.12744E-5,7.251848668,0.106611263,0.42616408,0.042016807,0
8.36021E-5,7.507596942,0.10949108,0.419290466,0.050420168,0
8.59757E-5,7.754963558,0.112418066,0.41286031,0.050420168,0
8.82552E-5,8.007738298,0.115220009,0.406430155,0.050420168,0
9.18019E-5,8.251467387,0.119562052,0.400443459,0.050420168,0
9.37152E-5,8.501943793,0.121895586,0.394456763,0.067226891,0
9.62536E-5,8.758601945,0.124981807,0.388470067,0.067226891,0
9.89415E-5,9.002692341,0.128238142,0.382926829,0.067226891,0
1.01639E-4,9.253628091,0.131494158,0.377383592,0.067226891,0
1.03443E-4,9.509683379,0.133664823,0.371840355,0.067226891,0
1.05763E-4,9.750097041,0.136448089,0.366740576,0.067226891,0
1.08604E-4,10.007620487,0.139843458,0.361419069,0.067226891,0
1.1122E-4,10.261011237,0.142959327,0.35631929,0.067226891,0
1.13748E-4,10.508053048,0.145959083,0.351441242,0.067226891,0
1.16046E-4,10.761028601,0.148677134,0.346563193,0.067226891,0
1.19378E-4,11.008893543,0.152602756,0.341906874,0.067226891,0
1.22603E-4,11.251258037,0.156385648,0.337472284,0.067226891,0
1.25469E-4,11.512095216,0.159731568,0.332815965,0.075630252,0
1.27936E-4,11.753214193,0.162602738,0.328603104,0.075630252,0
1.29968E-4,12.01185559,0.164959986,0.324168514,0.075630252,0
1.32982E-4,12.262156339,0.168442928,0.319955654,0.075630252,0
1.37125E-4,12.506218465,0.173208452,0.315964523,0.075630252,0
1.39828E-4,12.756111485,0.176302693,0.311973392,0.075630252,0
1.42728E-4,13.010729843,0.179608396,0.307982262,0.075630252,0
1.45294E-4,13.255211563,0.182523385,0.30421286,0.084033613,0
1.4758E-4,13.504560435,0.185111998,0.300443459,0.084033613,0
1.50242E-4,13.757846176,0.188115379,0.296674058,0.092436975,0
1.52381E-4,14.015163716,0.190520705,0.292904656,0.092436975,0
1.55374E-4,14.261375482,0.193874122,0.289356984,0.092436975,0
1.57608E-4,14.511873241,0.196367503,0.285809313,0.100840336,0
1.61488E-4,14.751592955,0.200681174,0.28248337,0.100840336,0
1.63812E-4,15.012026755,0.203254296,0.278935698,0.117647059,0
1.65804E-4,15.259326311,0.205451892,0.275609756,0.117647059,0
1.68533E-4,15.510070967,0.208453628,0.272283814,0.12605042,0
1.70683E-4,15.764350521,0.210811583,0.268957871,0.12605042,0
1.72769E-4,16.004883188,0.213091329,0.265853659,0.12605042,0
1.75874E-4,16.266983659,0.216473575,0.262527716,0.12605042,0
1.77857E-4,16.514783115,0.218625546,0.259423503,0.12605042,0
1.81713E-4,16.766842774,0.222793177,0.25631929,0.12605042,0
1.83749E-4,17.004162749,0.224984811,0.253436807,0.12605042,0
1.86822E-4,17.263417889,0.228281523,0.250332594,0.12605042,0
1.88648E-4,17.507669357,0.230234217,0.247450111,0.134453782,0
1.91692E-4,17.754990456,0.233476531,0.244567627,0.134453782,0
1.94671E-4,18.006545359,0.236637952,0.241685144,0.134453782,0
1.98776E-4,18.261603162,0.240972491,0.238802661,0.134453782,0
2.03297E-4,18.502810252,0.245716559,0.236141907,0.134453782,0
2.06798E-4,18.770334423,0.249370921,0.233259424,0.134453782,0
2.09902E-4,19.000006022,0.252595538,0.230820399,0.134453782,0
2.13775E-4,19.253983376,0.256600011,0.228159645,0.142857143,0
2.17963E-4,19.51342501,0.260906318,0.225498891,0.142857143,0
2.21336E-4,19.755127369,0.264355604,0.223059867,0.151260504,0
2.23453E-4,20.022119681,0.266513224,0.220399113,0.159663866,0
2.26773E-4,20.269376469,0.26988316,0.217960089,0.159663866,0
2.28964E-4,20.520444298,0.272098421,0.215521064,0.159663866,0
2.31818E-4,20.751174745,0.27497448,0.213303769,0.159663866,0
2.33464E-4,21.007170607,0.276627587,0.210864745,0.159663866,0
2.36399E-4,21.265956135,0.279566927,0.208425721,0.159663866,0
2.39459E-4,21.504228496,0.282618064,0.206208426,0.159663866,0
2.42807E-4,21.769861958,0.285941914,0.203769401,0.159663866,0
2.4712E-4,22.01491245,0.290200825,0.201552106,0.159663866,0
2.50562E-4,22.264216338,0.293581933,0.199334812,0.176470588,0
2.5554E-4,22.517246198,0.298442858,0.197117517,0.18487395,0
2.59632E-4,22.775402541,0.30241335,0.194900222,0.18487395,0
2.62503E-4,23.010927889,0.305185361,0.192904656,0.193277311,0
2.65459E-4,23.275115145,0.308029104,0.190687361,0.201680672,0
2.67932E-4,23.515355303,0.310398042,0.188691796,0.201680672,0
2.7203E-4,23.758507237,0.314307101,0.186696231,0.201680672,0
2.75036E-4,24.004545547,0.317160135,0.184700665,0.201680672,0
2.78323E-4,24.253830182,0.320266429,0.1827051,0.201680672,0
2.83901E-4,24.506897721,0.325504735,0.180709534,0.201680672,0
2.8724E-4,24.764210937,0.328621621,0.178713969,0.201680672,0
2.90378E-4,25.024049889,0.331537771,0.176718404,0.201680672,0
2.92767E-4,25.257701655,0.333749325,0.174944568,0.201680672,0
2.96779E-4,25.522726986,0.337446752,0.172949002,0.201680672,0
2.99963E-4,25.761843561,0.34036634,0.171175166,0.201680672,0
3.02467E-4,26.002877852,0.34265302,0.16940133,0.201680672,0
3.07185E-4,26.277564219,0.346941171,0.167405765,0.201680672,0
3.11662E-4,26.525007303,0.350983727,0.165631929,0.201680672,0
3.16174E-4,26.776221204,0.355032915,0.163858093,0.210084034,0
3.18827E-4,27.030533246,0.357402468,0.162084257,0.210084034,0
3.22551E-4,27.255238868,0.360712876,0.160532151,0.210084034,0
3.27513E-4,27.51617061,0.36509808,0.158758315,0.218487395,0
3.30989E-4,27.779622743,0.368151704,0.156984479,0.218487395,0
3.36749E-4,28.013708123,0.373179156,0.155432373,0.218487395,0
3.40547E-4,28.250637756,0.376472661,0.153880266,0.218487395,0
3.42137E-4,28.524074802,0.377847019,0.15210643,0.218487395,0
3.44426E-4,28.76441009,0.379818722,0.150554324,0.218487395,0
3.46901E-4,29.006554531,0.381944567,0.149002217,0.218487395,0
3.49232E-4,29.284868926,0.383939427,0.147228381,0.226890756,0
3.52234E-4,29.53039823,0.386499636,0.145676275,0.226890756,0
3.55853E-4,29.778277528,0.38957162,0.144124169,0.226890756,0
3.58964E-4,30.028610367,0.392199908,0.142572062,0.226890756,0
3.61764E-4,30.281128957,0.394555843,0.141019956,0.226890756,0
3.64427E-4,30.535443067,0.396788322,0.139467849,0.226890756,0
3.6712E-4,30.755057637,0.399036779,0.138137472,0.226890756,0
3.70387E-4,31.013427535,0.401754257,0.136585366,0.226890756,0
3.7351E-4,31.274140311,0.404340292,0.135033259,0.235294118,0
3.78077E-4,31.500140764,0.408101701,0.133702882,0.235294118,0
3.80549E-4,31.765728484,0.410127287,0.132150776,0.235294118,0
3.8329E-4,32.033122059,0.4123659,0.13059867,0.235294118,0
3.87246E-4,32.264729353,0.4155816,0.129268293,0.235294118,0
3.92523E-4,32.538570039,0.419843834,0.127716186,0.25210084,0
3.96866E-4,32.775983287,0.423327659,0.126385809,0.25210084,0
4.0172E-4,33.015173281,0.427197803,0.125055432,0.25210084,0
4.05006E-4,33.257318726,0.429802292,0.123725055,0.25210084,0
4.09282E-4,33.501681694,0.433174612,0.122394678,0.25210084,0
4.12046E-4,33.789602303,0.435343599,0.120842572,0.25210084,0
4.16429E-4,34.038199088,0.438766103,0.119512195,0.25210084,0
4.19138E-4,34.289111516,0.440870488,0.118181818,0.260504202,0
4.24516E-4,34.542215739,0.445025933,0.116851441,0.260504202,0
4.27086E-4,34.755225501,0.447000794,0.115742794,0.260504202,0
4.32592E-4,35.014023837,0.451207937,0.114412417,0.260504202,0
4.3542E-4,35.27464998,0.453356557,0.11308204,0.260504202,0
4.3774E-4,35.536756041,0.455112885,0.111751663,0.260504202,0
4.40744E-4,35.756248043,0.457378867,0.110643016,0.260504202,0
4.46093E-4,36.022113311,0.461389426,0.109312639,0.260504202,0
4.52256E-4,36.292147052,0.465974442,0.107982262,0.260504202,0
4.56632E-4,36.519526908,0.469206143,0.106873614,0.260504202,0
4.6346E-4,36.796050762,0.474209675,0.105543237,0.268907563,0
4.6921E-4,37.029976465,0.478386557,0.10443459,0.277310924,0
4.73429E-4,37.266051289,0.481429723,0.103325942,0.277310924,0
4.79931E-4,37.504653342,0.486085576,0.102217295,0.277310924,0
4.86456E-4,37.795153831,0.490716156,0.100886918,0.285714286,0
4.9273E-4,38.040203935,0.495128523,0.099778271,0.285714286,0
4.97331E-4,38.28778163,0.498340624,0.098669623,0.285714286,0
5.0105E-4,38.537451745,0.500921593,0.097560976,0.294117647,0
5.06719E-4,38.789944183,0.504830686,0.096452328,0.294117647,0
5.10827E-4,39.044356217,0.507644501,0.095343681,0.302521008,0
5.18293E-4,39.300953188,0.512716584,0.094235033,0.31092437,0
5.24118E-4,39.509225588,0.51663823,0.093348115,0.319327731,0
5.27981E-4,39.77243177,0.519221195,0.092239468,0.327731092,0
