Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.97889E-8,0.000002979,0.000037694,1,0,0
7.11906E-8,0.000017021,0.00009008,0.999315537,0,0
9.27732E-8,0.000026299,0.000117388,0.998973306,0,0
1.30419E-7,0.00005867,0.000165018,0.997946612,0,0
2.50836E-7,0.000101288,0.000317356,0.997262149,0,0
6.91245E-7,0.000303042,0.000874316,0.995893224,0,0
7.26422E-7,0.000514778,0.000918789,0.99486653,0,0
8.97083E-7,0.001020312,0.001134521,0.992813142,0,0
1.41525E-6,0.002540532,0.001789244,0.988364134,0,0
3.2346E-6,0.005166169,0.004084685,0.984599589,0,0
4.64057E-6,0.010113973,0.005854951,0.980492813,0,0
6.29414E-6,0.02545733,0.007932946,0.971252567,0,0
7.80807E-6,0.05024975,0.009831652,0.95927447,0,0
1.15393E-5,0.100684296,0.014495705,0.941478439,0,0
1.62758E-5,0.201007403,0.020384643,0.916495551,0,0
1.94125E-5,0.300879565,0.024265303,0.897330595,0,0
2.22348E-5,0.400409834,0.027743737,0.880903491,0,0
2.46469E-5,0.500841757,0.030706792,0.866187543,0,0
2.78864E-5,0.601433427,0.034672014,0.853182752,0,0
2.98155E-5,0.701981223,0.037025613,0.841204654,0,0
3.07113E-5,0.750432723,0.038116533,0.835728953,0,0
3.14627E-5,0.800229181,0.039030662,0.830253251,0,0
3.43461E-5,0.902634377,0.042530489,0.819644079,0,0
3.65477E-5,1.002365181,0.045194216,0.810061602,0,0
3.96116E-5,1.10142709,0.048888845,0.801163587,0,0
4.16754E-5,1.20276836,0.051369471,0.792607803,0,0
4.41341E-5,1.301606094,0.054316281,0.784736482,0,0
4.62668E-5,1.401343765,0.05686502,0.777207392,0,0
4.82512E-5,1.500593876,0.059230272,0.770020534,0,0
5.39202E-5,1.754660744,0.065954743,0.752908966,0,0
5.85619E-5,2.002477246,0.071424928,0.737850787,0,0
6.56435E-5,2.250382854,0.079708702,0.724161533,0,0
7.09305E-5,2.501690837,0.085845044,0.711498973,0,0
7.56112E-5,2.750284944,0.091243455,0.699863107,0.00952381,0
7.97116E-5,3.00703842,0.095946531,0.688569473,0.00952381,0
8.51756E-5,3.253415007,0.102175635,0.678302533,0.00952381,0
8.88657E-5,3.505798858,0.106358275,0.668377823,0.00952381,0
9.25244E-5,3.750853183,0.110485993,0.659137577,0.00952381,0
9.64497E-5,4.006334951,0.114893277,0.649897331,0.00952381,0
1.00383E-4,4.252988972,0.119287759,0.641341547,0.00952381,0
1.05125E-4,4.509489793,0.124556855,0.632785763,0.00952381,0
1.08171E-4,4.754661284,0.127924848,0.624914442,0.00952381,0
1.12406E-4,5.008488028,0.132585792,0.617043121,0.019047619,0
1.1643E-4,5.260097201,0.136991073,0.609514031,0.019047619,0
1.19769E-4,5.508175204,0.140629618,0.602327173,0.028571429,0
1.22908E-4,5.75073146,0.144036612,0.595482546,0.038095238,0
1.27649E-4,6.001677733,0.149156295,0.588637919,0.038095238,0
1.30309E-4,6.259811249,0.1520146,0.581793292,0.038095238,0
