Predictor variable,Categorical,Sample average
alt,false,398.51428571428573
alt,false,398.51428571428573
bio1,false,129.5857142857143
bio1,false,129.5857142857143
bio10,false,234.54285714285714
bio10,false,234.54285714285714
bio11,false,26.857142857142858
bio11,false,26.857142857142858
bio12,false,1963.057142857143
bio12,false,1963.057142857143
bio13,false,270.2
bio13,false,270.2
bio14,false,83.91428571428571
bio14,false,83.91428571428571
bio15,false,38.58571428571429
bio15,false,38.58571428571429
bio16,false,713.6
bio16,false,713.6
bio17,false,275.4
bio17,false,275.4
bio18,false,693.6714285714286
bio18,false,693.6714285714286
bio19,false,295.51428571428573
bio19,false,295.51428571428573
bio2,false,86.4
bio2,false,86.4
bio3,false,26.8
bio3,false,26.8
bio4,false,8137.5
bio4,false,8137.5
bio5,false,294.0
bio5,false,294.0
bio6,false,-21.785714285714285
bio6,false,-21.785714285714285
bio7,false,315.7857142857143
bio7,false,315.7857142857143
bio8,false,217.9142857142857
bio8,false,217.9142857142857
bio9,false,46.9
bio9,false,46.9
mask,true,50.0
