Predictor variable,Categorical,Sample average
alt,false,425.1290322580645
alt,false,425.1290322580645
bio1,false,137.93548387096774
bio1,false,137.93548387096774
bio10,false,236.29032258064515
bio10,false,236.29032258064515
bio11,false,40.225806451612904
bio11,false,40.225806451612904
bio12,false,2255.7096774193546
bio12,false,2255.7096774193546
bio13,false,381.4516129032258
bio13,false,381.4516129032258
bio14,false,69.96774193548387
bio14,false,69.96774193548387
bio15,false,53.935483870967744
bio15,false,53.935483870967744
bio16,false,979.4516129032259
bio16,false,979.4516129032259
bio17,false,233.51612903225808
bio17,false,233.51612903225808
bio18,false,875.4516129032259
bio18,false,875.4516129032259
bio19,false,244.19354838709677
bio19,false,244.19354838709677
bio2,false,85.25806451612904
bio2,false,85.25806451612904
bio3,false,27.93548387096774
bio3,false,27.93548387096774
bio4,false,7633.903225806452
bio4,false,7633.903225806452
bio5,false,289.03225806451616
bio5,false,289.03225806451616
bio6,false,-11.064516129032258
bio6,false,-11.064516129032258
bio7,false,300.0967741935484
bio7,false,300.0967741935484
bio8,false,227.6451612903226
bio8,false,227.6451612903226
bio9,false,57.0
bio9,false,57.0
mask,true,50.0
