Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.2711E-3,0.127109892,0.123544042,1,0,0
1.29429E-3,0.256539084,0.125650377,0.992857143,0,0
1.33644E-3,0.390183094,0.129465228,0.985714286,0,0
1.44338E-3,0.534520787,0.139069609,0.978571429,0,0
1.47386E-3,0.681906636,0.141787811,0.971428571,0,0
1.55221E-3,0.837127863,0.148735709,0.964285714,0,0
1.55766E-3,0.992893881,0.149216697,0.957142857,0,0
1.80544E-3,1.173438372,0.170808366,0.95,0,0
1.82388E-3,1.355826338,0.172392675,0.942857143,0,0
1.99194E-3,1.555020512,0.186697293,0.935714286,0,0
2.11268E-3,1.766288629,0.196821172,0.928571429,0,0
2.19497E-3,2.201402473,0.20364832,0.914285714,0,0
2.25665E-3,2.427067697,0.208728409,0.907142857,0,0
2.27307E-3,2.654374204,0.210074586,0.9,0,0
2.27307E-3,2.881681005,0.210074827,0.892857143,0,0
2.27611E-3,3.109291915,0.210324005,0.885714286,0,0
2.28877E-3,3.338168479,0.2113602,0.878571429,0,0
2.38054E-3,3.576222095,0.218832924,0.871428571,0,0
2.42894E-3,3.819115852,0.222745608,0.864285714,0,0
2.45127E-3,4.064242412,0.224543955,0.857142857,0,0
2.46069E-3,4.31031153,0.225301862,0.85,0,0
2.50624E-3,4.560935899,0.228954291,0.842857143,0,0
2.56786E-3,4.817722048,0.23386746,0.835714286,0,0
2.57913E-3,5.075635093,0.234762612,0.828571429,0,0
2.61957E-3,5.337592552,0.237966695,0.821428571,0,0
2.64977E-3,5.602569553,0.240350099,0.814285714,0,0
2.73674E-3,5.876243752,0.247173453,0.807142857,0,0
2.77027E-3,6.153270918,0.24978761,0.8,0,0
2.78416E-3,6.431686707,0.250867598,0.792857143,0,0
2.82825E-3,6.714511847,0.254286629,0.785714286,0,0
2.85179E-3,6.999690356,0.256105051,0.778571429,0,0
2.97628E-3,7.29731874,0.26565141,0.771428571,0,0
3.0248E-3,7.599798374,0.269338011,0.764285714,0,0
3.18492E-3,7.918290129,0.281375225,0.757142857,0,0
3.23911E-3,8.242201544,0.285404406,0.75,0,0
3.24076E-3,8.566277258,0.285526198,0.742857143,0,0
3.31216E-3,8.897492797,0.290798851,0.735714286,0,0
3.33875E-3,9.231367821,0.29275288,0.728571429,0,0
3.40081E-3,9.571448728,0.297291671,0.721428571,0,0
3.46557E-3,9.918005256,0.30199669,0.714285714,0,0
3.46969E-3,10.264973831,0.302295004,0.707142857,0,0
3.51374E-3,10.616347547,0.305476288,0.7,0,0
3.57374E-3,10.973721371,0.309786096,0.692857143,0,0
3.57635E-3,11.331356255,0.309973003,0.685714286,0,0
3.67131E-3,11.698486938,0.316737306,0.678571429,0,0
3.67676E-3,12.066162945,0.317123746,0.671428571,0,0
3.68541E-3,12.434704067,0.317736355,0.664285714,0,0
3.69446E-3,12.804149855,0.318376384,0.657142857,0,0
3.80114E-3,13.184263743,0.325878667,0.65,0,0
3.83047E-3,13.567310786,0.32792688,0.642857143,0,0
3.8682E-3,13.954130566,0.330552224,0.635714286,0,0
3.90295E-3,14.344425594,0.332961478,0.628571429,0,0
4.09035E-3,14.753460728,0.345804608,0.621428571,0,0
4.15328E-3,15.168788945,0.350061737,0.614285714,0,0
4.15719E-3,15.584508276,0.3503254,0.607142857,0,0
4.18392E-3,16.002900709,0.352124571,0.6,0,0
4.20715E-3,16.423616116,0.353684035,0.592857143,0,0
4.21352E-3,16.844968153,0.354110762,0.585714286,0,0
4.22918E-3,17.2678859,0.355159048,0.578571429,0,0
4.27383E-3,17.695269171,0.3581395,0.571428571,0,0
4.31581E-3,18.126849697,0.360928341,0.564285714,0,0
4.47984E-3,18.574833439,0.371711632,0.557142857,0,0
4.6365E-3,19.038483216,0.381840395,0.55,0,0
4.67505E-3,19.505988197,0.384307813,0.542857143,0,0
4.73283E-3,19.979271469,0.387987618,0.535714286,0,0
4.76472E-3,20.455743726,0.390009041,0.528571429,0,0
4.84042E-3,20.939785654,0.394780586,0.521428571,0,0
4.84331E-3,21.424116976,0.394962263,0.514285714,0,0
4.86188E-3,21.910304973,0.396126557,0.507142857,0,0
4.9067E-3,22.400975292,0.398928134,0.5,0,0
5.00743E-3,22.901718151,0.405176421,0.492857143,0.076923077,0
5.04169E-3,23.405886823,0.407286716,0.485714286,0.076923077,0
5.07456E-3,23.913342335,0.409304366,0.478571429,0.076923077,0
5.15033E-3,24.428375479,0.413929817,0.471428571,0.153846154,0
5.24002E-3,24.952377583,0.419357764,0.464285714,0.153846154,0
5.24388E-3,25.476765198,0.419589942,0.457142857,0.153846154,0
5.25604E-3,26.002368896,0.420321733,0.45,0.153846154,0
5.26473E-3,26.528841429,0.420843998,0.442857143,0.230769231,0
5.3519E-3,27.064031436,0.426058186,0.435714286,0.230769231,0
5.41E-3,27.605031698,0.429507379,0.428571429,0.230769231,0
5.41551E-3,28.146582749,0.429833272,0.421428571,0.230769231,0
