Predictor variable,Categorical,Sample average
alt,false,634.6923076923077
alt,false,634.6923076923077
bio1,false,127.76923076923077
bio1,false,127.76923076923077
bio10,false,224.30769230769232
bio10,false,224.30769230769232
bio11,false,30.0
bio11,false,30.0
bio12,false,2516.3076923076924
bio12,false,2516.3076923076924
bio13,false,423.0
bio13,false,423.0
bio14,false,68.3076923076923
bio14,false,68.3076923076923
bio15,false,55.38461538461539
bio15,false,55.38461538461539
bio16,false,1114.2307692307693
bio16,false,1114.2307692307693
bio17,false,241.0
bio17,false,241.0
bio18,false,992.7692307692307
bio18,false,992.7692307692307
bio19,false,250.53846153846155
bio19,false,250.53846153846155
bio2,false,79.23076923076923
bio2,false,79.23076923076923
bio3,false,26.46153846153846
bio3,false,26.46153846153846
bio4,false,7542.923076923077
bio4,false,7542.923076923077
bio5,false,271.84615384615387
bio5,false,271.84615384615387
bio6,false,-20.923076923076923
bio6,false,-20.923076923076923
bio7,false,292.7692307692308
bio7,false,292.7692307692308
bio8,false,211.0
bio8,false,211.0
bio9,false,47.38461538461539
bio9,false,47.38461538461539
mask,true,50.0
