associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,PRESERVED_SPECIMEN,,,,Magnoliopsida,,3818ca8b-b6a4-11e8-b408-001a64db2964,,G.L. Clifton,,,,,,,San Bernardino,,1988-08-13T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera,,,,PUA,,,Plantae,,,,,,,Local landmark: Jepson Peak. San Gorgonio Mtn. Quad.,,,,,,,,,6db06c91-7725-4406-8b88-a2e56b0b3387,Saxifragales,Tracheophyta,,,,Heuchera alpestris Rosend. & Lakela,alpestris,226,California,22949,ACCEPTED,SPECIES,,,8/13/1988,,,,Heuchera alpestris rosend. & lakela,-116.843361,34.108639
,,PRESERVED_SPECIMEN,,,,Magnoliopsida,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,Reid Moran,,,,,,,San Bernardino,,1967-11-12T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera,,,,SD,,,Plantae,,,,,,,near the summit of Mt. San Gorgonio,,,,,,,,,2E74B269-1E56-4844-94FC-D841F9553DD5,Saxifragales,Tracheophyta,,14650,,Heuchera alpestris Rosend. & Lakela,alpestris,316,California,22949,ACCEPTED,SPECIES,,,11/12/1967,,,,Heuchera alpestris rosend. & lakela,-116.8279,34.1001
,,PRESERVED_SPECIMEN,,,CSLA016640,Magnoliopsida,,9a7f2f77-3288-4d40-8baa-2f55b8450b7f,,Dieter H. Wilken; Richard M. Straw,,,,800.0,,,San Bernardino,,1965-08-03T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera,,,,CSLA,,,Plantae,,,,,,,"Slopes of Mt. San Gorgonio, San Bernardino Mtns.",,,,,,,,,2f149d39-9a5d-4383-9ab2-69951ecf6b90,Saxifragales,Tracheophyta,,426,,Heuchera alpestris Rosend. & Lakela,alpestris,215,California,22949,ACCEPTED,SPECIES,,,3 Aug 1965,,,,Heuchera alpestris rosend. & lakela,-116.825,34.099
,,PRESERVED_SPECIMEN,,,CSLA016641,Magnoliopsida,,9a7f2f77-3288-4d40-8baa-2f55b8450b7f,,Dieter H. Wilken,,,,100.0,,,San Bernardino,,1966-09-04T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera,,,,CSLA,,,Plantae,,,,,,,"Trail Fk. Springs north of Anderson Pk., San Bernardino Mtns.",,,,,,,,,3621dc8a-7f1f-4bd8-91f5-88eac0ee9453,Saxifragales,Tracheophyta,,1128,,Heuchera alpestris Rosend. & Lakela,alpestris,247,California,22949,ACCEPTED,SPECIES,,,4 Sep 1966,,,,Heuchera alpestris rosend. & lakela,-116.8942,34.13
,,PRESERVED_SPECIMEN,,,CSLA016628,Magnoliopsida,,9a7f2f77-3288-4d40-8baa-2f55b8450b7f,,Dieter. H. Wilken; Richard M. Straw; Yimuo Chi,,,,200.0,,,San Bernardino,,1965-08-03T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera,,,,CSLA,,,Plantae,,,,,,,"Summit of Mt. Charleston [Charlton Peak], San Bernardino Mtns.",,,,,,,,,f27c8a59-2751-4811-b9dd-ab48b95d2c19,Saxifragales,Tracheophyta,,433,,Heuchera alpestris Rosend. & Lakela,alpestris,215,California,22949,ACCEPTED,SPECIES,,,3 Aug 1965,,,,Heuchera alpestris rosend. & lakela,-116.8539,34.1144
,,PRESERVED_SPECIMEN,,,RSA0005896,Magnoliopsida,POM,3818e1d3-b6a4-11e8-b408-001a64db2964,,P. A. Munz,,,,900.0,,,San Bernardino,,1922-08-23T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera,,,,RSA,,,Plantae,,,,,,,Mt. San Gorgonio,,,,,,,,,53a14d79-f1aa-4f83-9048-01f534ee0fe2,Saxifragales,Tracheophyta,,6205,,Heuchera alpestris Rosend. & Lakela,alpestris,235,California,22949,ACCEPTED,SPECIES,ISOTYPE,,,,,,Heuchera alpestris rosend. & lakela,-116.829465,34.103134
,,PRESERVED_SPECIMEN,,,,Magnoliopsida,RSA,3818e1d3-b6a4-11e8-b408-001a64db2964,,M. B. Dunkle,,,,850.0,,,San Bernardino,,1933-09-03T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera,,,,RSA,,,Plantae,,,,,,,San Gorgonio Peak.,,,,,,,,,466827f5-ad2b-4ad4-b3bd-45db6f57d510,Saxifragales,Tracheophyta,,3791,,Heuchera alpestris Rosend. & Lakela,alpestris,246,California,22949,ACCEPTED,SPECIES,,,,,,,Heuchera alpestris rosend. & lakela,-116.824873,34.099152
,,PRESERVED_SPECIMEN,,,,Magnoliopsida,RSA,3818e1d3-b6a4-11e8-b408-001a64db2964,,Doris Bowers,,,,700.0,,,San Bernardino,,1975-09-21T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera,,,,RSA,,,Plantae,,,,,,,Trail between Mineshaft Flat and North Fork Meadow,,,,,,,,,8c7cb194-1812-4e8f-80fb-216522d7a766,Saxifragales,Tracheophyta,,2330,,Heuchera alpestris Rosend. & Lakela,alpestris,264,California,22949,ACCEPTED,SPECIES,,,,,,,Heuchera alpestris rosend. & lakela,-116.809086,34.103454
,,PRESERVED_SPECIMEN,,,UCR0048500,Magnoliopsida,,3818c5b4-b6a4-11e8-b408-001a64db2964,,"Sarah J. De Groot; Duncan S. Bell, Tom Kerrins-Torres",,,,,,,San Bernardino,,2009-07-22T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera,,,,UCR,,,Plantae,,,,,,,west ridge of Sugarloaf Mountain,,,,,,,,,UCR-BPS-238296,Saxifragales,Tracheophyta,,6227,,Heuchera alpestris Rosend. & Lakela,alpestris,203,California,22949,ACCEPTED,SPECIES,,,2009-7-22,,,,Heuchera alpestris rosend. & lakela,-116.82367,34.20586
,,PRESERVED_SPECIMEN,,,UCR0048501,Magnoliopsida,,3818c5b4-b6a4-11e8-b408-001a64db2964,,Dieter H. Wilken; R.M. Straw,,,,,,,San Bernardino,,1965-08-03T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera,,,,UCR,,,Plantae,,,,,,,slope of Mt. San Gorgonio,,,,,,,,,UCR-BPS-9226,Saxifragales,Tracheophyta,,427,,Heuchera alpestris Rosend. & Lakela,alpestris,215,California,22949,ACCEPTED,SPECIES,,,1965-8-3,,,,Heuchera alpestris rosend. & lakela,-116.8425,34.10056
,,PRESERVED_SPECIMEN,,,UCR0048502,Magnoliopsida,,3818c5b4-b6a4-11e8-b408-001a64db2964,,G.R. Ballmer; G.F. Pratt,,,,,,,San Bernardino,,1987-08-23T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera,,,,UCR,,,Plantae,,,,,,,north slope of Mt. San Gorgonio near the summit,,,,,,,,,UCR-BPS-49195,Saxifragales,Tracheophyta,,s.n.,,Heuchera alpestris Rosend. & Lakela,alpestris,235,California,22949,ACCEPTED,SPECIES,,,1987-8-23,,,,Heuchera alpestris rosend. & lakela,-116.82528,34.10139
