associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera brevistaminea,,magnoliopsida,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,charles f. harbison,,,north america,402.0,united states,usa,san diego,7ddf754f-d193-4cc9-b351-99906754a03b,1935-08-02,2022-03-11T04:19:19.137588+00:00,0.2898550724637681,,,,,,aeb3d94f319b97a1b0fbebdc98f2683912542083,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 32.89505, 'lon': -116.44974}",,false,false,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,sd,,,plantae,,,,,,,"shrine camp, laguna mts (ipb 9/06)",,,,,,,,,172d47cf-9b86-4f59-8bfc-931e0d5a51b0,saxifragales,tracheophyta,"['d82fa49b-915e-4aa8-acc6-51df3d431884\\\\172d47cf-9b86-4f59-8bfc-931e0d5a51b0', 'd82fa49b-915e-4aa8-acc6-51df3d431884\\\\{172d47cf-9b86-4f59-8bfc-931e0d5a51b0}', 'd82fa49b-915e-4aa8-acc6-51df3d431884\\\\545225', 'urn:uuid:55fe0893-9a08-4569-89a3-f5da33640671']",s.n.,d82fa49b-915e-4aa8-acc6-51df3d431884,heuchera brevistaminea,brevistaminea,214,california,3032667,accepted,species,,511e326a-587c-418a-a2b8-a521382a4738,8/2/1935,,,,Heuchera brevistaminea,-116.44974,32.89505
,,preservedspecimen,,heuchera,,magnoliopsida,dicots,,,m. kottman,,,north america,1000.0,united states,usa,san diego,7ddf754f-d193-4cc9-b351-99906754a03b,,2018-07-13T11:28:08.613961+00:00,0.2028985507246377,,,,,,5401dad11ca4c413c0acdf913078931498d3a5ab,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_order_added', 'dwc_class_added']",,heuchera,,"{'lat': 32.87889, 'lon': -116.41472}",,false,false,,,,,ucr,,,plantae,,,,,,,"cleveland national forest, usaf station",,,,,,,1829.0,,ucr-bps-44564,saxifragales,tracheophyta,['dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5\\\\ucr-bps-44564'],s.n.,dd1b8c0b-280f-4cd3-979a-ad7464c5c9b5,heuchera brevistaminea,,130,california,3032645,accepted,genus,,2bad49b7-08fa-4520-a8c3-5fc8e238b92b,,,,,Heuchera brevistaminea,-116.41472,32.87889
,,preservedspecimen,,heuchera brevistaminea,,magnoliopsida,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,darley f. howe,,,north america,1609.0,united states,usa,san diego,7ddf754f-d193-4cc9-b351-99906754a03b,1964-06-28,2022-03-11T04:19:19.137588+00:00,0.30434782608695654,,,,,,a96b12df94da6b8155e87ac0e79972dc00479701,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 32.87563, 'lon': -116.39424}",,false,false,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,sd,,,plantae,,,,,,,"desert slope of laguna mts, potrero canyon (ipb 9/06)",,,,,,,1524.0,,36ac4e0b-8a2f-45cf-aa0b-d4e9ee45f0cf,saxifragales,tracheophyta,"['d82fa49b-915e-4aa8-acc6-51df3d431884\\\\36ac4e0b-8a2f-45cf-aa0b-d4e9ee45f0cf', 'd82fa49b-915e-4aa8-acc6-51df3d431884\\\\{36ac4e0b-8a2f-45cf-aa0b-d4e9ee45f0cf}', 'd82fa49b-915e-4aa8-acc6-51df3d431884\\\\545261', 'urn:uuid:cab7b78d-023c-4613-9737-3ad75d078ea2']",3810,d82fa49b-915e-4aa8-acc6-51df3d431884,heuchera brevistaminea,brevistaminea,180,california,3032667,accepted,species,,5e317107-8195-4c6e-8e8a-5be18e443828,6/28/1964,,,,Heuchera brevistaminea,-116.39424,32.87563
,,preservedspecimen,,heuchera brevistaminea,,magnoliopsida,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,paul johnson,,,north america,402.0,united states,usa,san diego,7ddf754f-d193-4cc9-b351-99906754a03b,1975-05-21,2022-03-11T04:19:19.137588+00:00,0.30434782608695654,,,,,,2d7f18eb3930d5c78291e198e85db8439d7d2470,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 32.97763, 'lon': -116.50455}",,false,false,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,sd,,,plantae,,,,,,,"3/4 mile northeast of intersection of lucky five ranch road and s-1 in tributary of oriflamme canyon, anza-borrego (mak 10/07)",,,,,,,1465.0,,21abbf5e-ae35-4434-bc02-27bc97814d7d,saxifragales,tracheophyta,"['d82fa49b-915e-4aa8-acc6-51df3d431884\\\\21abbf5e-ae35-4434-bc02-27bc97814d7d', 'urn:uuid:5adefee5-a354-469b-be64-f29ebfe25918', 'd82fa49b-915e-4aa8-acc6-51df3d431884\\\\{21abbf5e-ae35-4434-bc02-27bc97814d7d}', 'd82fa49b-915e-4aa8-acc6-51df3d431884\\\\545256']",s.n.,d82fa49b-915e-4aa8-acc6-51df3d431884,heuchera brevistaminea,brevistaminea,141,california,3032667,accepted,species,,c8640d6f-c748-4342-91d3-b4fc33e584eb,5/21/1975,,,,Heuchera brevistaminea,-116.50455,32.97763
,,preservedspecimen,,heuchera brevistaminea,,magnoliopsida,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,m. kottman,,,north america,402.0,united states,usa,san diego,7ddf754f-d193-4cc9-b351-99906754a03b,1982-05-10,2022-03-11T04:19:19.137588+00:00,0.30434782608695654,,,,,,ccd0347caf3dd7bfbc030aa8035c113465df699e,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 32.88125, 'lon': -116.41869}",,false,false,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,sd,,,plantae,,,,,,,usaf station steep nw facing cliffs and as understory (ipb 9/06),,,,,,,1829.0,,f38799b8-1c77-4d60-8bee-51ee71997136,saxifragales,tracheophyta,"['d82fa49b-915e-4aa8-acc6-51df3d431884\\\\f38799b8-1c77-4d60-8bee-51ee71997136', 'd82fa49b-915e-4aa8-acc6-51df3d431884\\\\{f38799b8-1c77-4d60-8bee-51ee71997136}', 'urn:uuid:ca1a45b4-c6b0-4688-aa2c-8d5c8d8f68d2', 'd82fa49b-915e-4aa8-acc6-51df3d431884\\\\545263']",s.n.,d82fa49b-915e-4aa8-acc6-51df3d431884,heuchera brevistaminea,brevistaminea,130,california,3032667,accepted,species,,d5d9ab42-2b69-4407-abb2-f0b57df1c641,5/10/1982,,,,Heuchera brevistaminea,-116.41869,32.88125
,,preservedspecimen,,heuchera brevistaminea,des00029633,magnoliopsida,,edb9860c-c481-4d19-88cc-224a536ebcd4,,m. kottman,,,north america,969.0,united states,usa,,7ddf754f-d193-4cc9-b351-99906754a03b,1982-05-10,2021-12-17T13:51:40.593076+00:00,0.2318840579710145,,,,,,e59f6f257356c1da723ef41ad5e2ed82f79dfafb,saxifragaceae,,"['dwc_country_replaced', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 36.6385, 'lon': -121.3746}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,des,,,plantae,,,,,,,cleveland national forest. usaf station.,,,,a93908a6-d2b6-4e8a-b221-680df5cc56f6,,,1830.0,,f38010f6-dc06-40c1-a0f9-0e7ebc7566b7,saxifragales,tracheophyta,"['urn:uuid:f38010f6-dc06-40c1-a0f9-0e7ebc7566b7', 'c569e530-7322-40b8-9b66-1e0ed96fefcb\\\\3075020', 'c569e530-7322-40b8-9b66-1e0ed96fefcb\\\\urn:uuid:f38010f6-dc06-40c1-a0f9-0e7ebc7566b7', 'c569e530-7322-40b8-9b66-1e0ed96fefcb\\\\f38010f6-dc06-40c1-a0f9-0e7ebc7566b7']",,c569e530-7322-40b8-9b66-1e0ed96fefcb,heuchera brevistaminea,brevistaminea,130,california,3032667,accepted,species,,cc305cf2-4365-469c-a77c-01c028eaed18,,,,,Heuchera brevistaminea,-121.3746,36.6385
,,preservedspecimen,,heuchera brevistaminea,,magnoliopsida,,0945030a-f625-4b95-9f48-e5cb7d6eb879,,charles f. harbison; a. j. stover,,,north america,1609.0,united states,usa,san diego,7ddf754f-d193-4cc9-b351-99906754a03b,1938-10-20,2022-03-11T04:19:19.137588+00:00,0.2898550724637681,,,,,,8e2ecd678f4c7468dabe8f73cc5282e582141913,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 32.87563, 'lon': -116.39424}",,false,false,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,sd,,,plantae,,,,,,,"potrero ca¤on, laguna mts (below desert view) (ipb 9/06)",,,,,,,,,8077381f-c252-4cae-bcea-6733d4e89a5e,saxifragales,tracheophyta,"['d82fa49b-915e-4aa8-acc6-51df3d431884\\\\8077381f-c252-4cae-bcea-6733d4e89a5e', 'd82fa49b-915e-4aa8-acc6-51df3d431884\\\\{8077381f-c252-4cae-bcea-6733d4e89a5e}', 'urn:uuid:fbf14248-f538-420c-9d78-4616cb745404', 'd82fa49b-915e-4aa8-acc6-51df3d431884\\\\545227']",s.n.,d82fa49b-915e-4aa8-acc6-51df3d431884,heuchera brevistaminea,brevistaminea,293,california,3032667,accepted,species,,aa93aee9-f549-4195-b5a8-aae753cee642,10/20/1938,,,,Heuchera brevistaminea,-116.39424,32.87563
,,preservedspecimen,,heuchera brevistaminea,,magnoliopsida,,a70436a2-dfaa-482e-88e0-5193a66b0bfc,,"carl epling; m. darsie, c. knox, william robison",,,north america,100.0,united states,usa,san diego,7ddf754f-d193-4cc9-b351-99906754a03b,1932-06-21,2021-11-03T11:56:31.739632+00:00,0.2898550724637681,,,,,,7e5ea641acd99a0556add9d51538ef88756b8eb2,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 32.8696, 'lon': -116.4141}",,false,false,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,la,,,plantae,,,,,,,laguna mountain; desert view,,,,,,,,,61e6ebb4-a25a-4e4b-a800-9154080ae2bd,saxifragales,tracheophyta,"['ef77ec72-6537-41ab-a418-17f9a58e6e73\\\\61e6ebb4-a25a-4e4b-a800-9154080ae2bd', 'urn:uuid:61e6ebb4-a25a-4e4b-a800-9154080ae2bd', 'ef77ec72-6537-41ab-a418-17f9a58e6e73\\\\17606']",s.n.,ef77ec72-6537-41ab-a418-17f9a58e6e73,heuchera brevistaminea,brevistaminea,173,california,3032667,accepted,species,,3dce556d-5167-439b-a987-de7d70bbf685,21 june 1932,,,,Heuchera brevistaminea,-116.4141,32.8696
,,preservedspecimen,,heuchera brevistaminea,,magnoliopsida,rsa,3818e1d3-b6a4-11e8-b408-001a64db2964,,n. h. french,,,north america,8100.0,united states,usa,san diego,7ddf754f-d193-4cc9-b351-99906754a03b,1934-04-15,2022-01-11T02:46:27.708845+00:00,0.30434782608695654,,,,,,84a58fbe03968fb983db1ac64f0fb30e5993c5d9,saxifragaceae,,"['dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'gbif_reference_added']",,heuchera,,"{'lat': 32.87335, 'lon': -116.49263}",,false,false,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,rsa,,,plantae,,,,,,,laguna mountains,,,,,,,1829.0,,011b22dd-390f-4e89-9aaa-35f6c9c46a35,saxifragales,tracheophyta,"['urn:uuid:c2170125-3a0c-4c4f-b2ad-25a48f42f8db', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\639895', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\011b22dd-390f-4e89-9aaa-35f6c9c46a35', 'urn:uuid:482d7a9e-5229-492a-9cfb-d2a83daee3d9', 'a4e6033a-d1eb-46d3-869d-7c0328f09aa7\\\\18537390']",285,a4e6033a-d1eb-46d3-869d-7c0328f09aa7,heuchera brevistaminea,brevistaminea,105,california,3032667,accepted,species,,c690f91a-a254-465a-946f-031f98285e44,,,,,Heuchera brevistaminea,-116.49263,32.87335
,,preservedspecimen,,heuchera brevistaminea,,magnoliopsida,,a70436a2-dfaa-482e-88e0-5193a66b0bfc,,"carl epling; m. darsie, c. knox, william robison",,,north america,403.0,united states,usa,san diego,7ddf754f-d193-4cc9-b351-99906754a03b,1932-06-21,2021-12-17T12:46:29.231423+00:00,0.2753623188405797,,,,,,d54e0b5f776d21d42f1283d09fb356ab1ae0e883,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_continent_added']",,heuchera,,"{'lat': 32.86918, 'lon': -116.41394}",,false,false,organism|plantae|viridiplantae|streptophyta|embryophyta|tracheophyta|spermatophytina|magnoliopsida|myrothamnanae|saxifragales|saxifragaceae|heuchera,,,,la,,,plantae,,,,,,,laguna mountains; desert view,,,,,,,,,fa59cf6b-1048-4fad-ae3a-39eabd06a133,saxifragales,tracheophyta,"['ef77ec72-6537-41ab-a418-17f9a58e6e73\\\\fa59cf6b-1048-4fad-ae3a-39eabd06a133', 'ef77ec72-6537-41ab-a418-17f9a58e6e73\\\\15484', 'urn:uuid:fa59cf6b-1048-4fad-ae3a-39eabd06a133']",,ef77ec72-6537-41ab-a418-17f9a58e6e73,heuchera brevistaminea,brevistaminea,173,california,3032667,accepted,species,,deaf76e4-de19-4ec0-b0a7-ae8afac220d7,21 june 1932,,,,Heuchera brevistaminea,-116.41394,32.86918
