associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera cylindrica,101292942,magnoliopsida,mo,http://biocol.org/urn:lsid:biocol.org:col:15859,,w. d. stevens|christopher davidson|o. m. montiel j.|sharon r. christoph,,,north america,,united states,usa,benewah,de8934f4-a136-481c-a87a-b0b202b80a31,,2021-09-19T20:49:03.028813+00:00,0.2318840579710145,,,,,,2d7f38329bf8fca3b88333934bc2f6cf885374e1,saxifragaceae,2493,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_taxonremarks_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_taxonid_replaced', 'idigbio_isocountrycode_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_order_added', 'dwc_scientificnameauthorship_replaced', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_canonicalname_added', 'gbif_reference_added', 'gbif_vernacularname_added', 'dwc_class_added']",,heuchera,,"{'lat': 47.343, 'lon': -116.3856666}",,false,false,,,1.0,,mo,,,plantae,,,,,,,along road toward saint joe baldy; steep slopes,,,,,,,972.0,,urn:catalog:mo:tropicos:101292942,saxifragales,tracheophyta,['5386d272-06c6-4027-b5d5-d588c2afe5e5\\\\urn:catalog:mo:tropicos:101292942'],stevens 43436,5386d272-06c6-4027-b5d5-d588c2afe5e5,heuchera cylindrica douglas,cylindrica,180,idaho,7734821,doubtful,species,,2212be5c-13aa-40da-af34-db6212b8ff5c,,,,,Heuchera cylindrica douglas,-116.3856666,47.343
,,preservedspecimen,,heuchera cylindrica,62995,magnoliopsida,mo,http://biocol.org/urn:lsid:biocol.org:col:15859,,mary merello|et al.,,,north america,,united states,usa,crook,de8934f4-a136-481c-a87a-b0b202b80a31,,2016-03-09T09:12:45.040858+00:00,0.2318840579710145,,,,,,f6961362c3afb83122af5a7ebe67ea7d6b1d774b,saxifragaceae,96,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_taxonremarks_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_taxonid_replaced', 'idigbio_isocountrycode_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_order_added', 'dwc_scientificnameauthorship_replaced', 'dwc_datasetid_added', 'gbif_canonicalname_added', 'gbif_reference_added', 'gbif_vernacularname_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 44.36666, 'lon': -120.53333}",,false,false,,,4.0,,mo,,,plantae,,,,,,,"ochoco national forest, ochoco mountains. along hwy. 26, 4 miles ne of intersection with forest service road 22. open ponderosa pine forest.",,,,,,,1140.0,,urn:catalog:mo:tropicos:62995,saxifragales,tracheophyta,['5386d272-06c6-4027-b5d5-d588c2afe5e5\\\\urn:catalog:mo:tropicos:62995'],merello 799,5386d272-06c6-4027-b5d5-d588c2afe5e5,heuchera cylindrica douglas,cylindrica,199,oregon,7734821,doubtful,species,,cf4d9706-a50b-4c64-b046-34f7f12def05,,,,,Heuchera cylindrica douglas,-120.53333,44.36666
,,preservedspecimen,,heuchera cylindrica,p02790423,magnoliopsida,p,,,"calder, j.a.|parmelee, j.a.|taylor, r.l.",,,north america,,canada,can,,de8934f4-a136-481c-a87a-b0b202b80a31,1956-5-26/1956-5-26,2022-07-06T12:42:44.543285+00:00,0.13043478260869565,,,,,,f9686ef8abdd45cc2cb4fcb56c49348388ccf3f6,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_taxonremarks_added', 'dwc_phylum_added', 'dwc_specificepithet_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'dwc_scientificnameauthorship_replaced', 'gbif_vernacularname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_taxonid_added', 'gbif_reference_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'dwc_order_added', 'dwc_class_added', 'dwc_kingdom_added']",,heuchera,,"{'lat': 50.71354, 'lon': -121.28013}",,true,true,,,,,mnhn,,,plantae,,,,,,,,,,,98c9915d-a0d0-4ccb-a86b-ed16d1074d90;d950a9c0-2bdf-473b-b6f8-8a97eb60abe0,,,,,http://coldb.mnhn.fr/catalognumber/mnhn/p/p02790423,saxifragales,tracheophyta,['616857b7-f952-44ef-9b6f-576dc1e65b51\\\\http://coldb.mnhn.fr/catalognumber/mnhn/p/p02790423'],,616857b7-f952-44ef-9b6f-576dc1e65b51,heuchera cylindrica douglas,cylindrica,147,british columbia / colombie britanique,7734821,doubtful,species,,171261cf-eb1f-4ad1-af62-c7d0f11cf815,,6 1/2 miles due south of ashcroft on est side of north thomson river. common on open hillside with sagebrush;,,,Heuchera cylindrica douglas,-121.28013,50.71354
,,HUMAN_OBSERVATION,,,117094334,Magnoliopsida,Observations,,,jareddodson,,,,4.0,,,,,2022-05-14T11:42:15,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/117094334,Saxifragales,Tracheophyta,,,,Heuchera cylindrica Douglas,cylindrica,,Washington,77403,ACCEPTED,SPECIES,,,2022-05-14 11:42:15-07:00,"Mills Canyon Rd, Entiat, WA, US",,,Heuchera cylindrica douglas,-120.291803,47.658863
,,HUMAN_OBSERVATION,,,117465755,Magnoliopsida,Observations,,,olga_hallborg,,,,19.0,,,,,2022-05-15T08:05:43,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/117465755,Saxifragales,Tracheophyta,,,,Heuchera cylindrica Douglas,cylindrica,,British Columbia,77403,ACCEPTED,SPECIES,,,2022-05-15 08:05:43-07:00,"Central Kootenay, BC, CA",,,Heuchera cylindrica douglas,-116.898828,49.836444
,,PRESERVED_SPECIMEN,,,SEF_HECYC1119,Magnoliopsida,Vascular,,,Nolan F. Keil,,,,1138.0,,,Umatilla,,1941-07-19T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Saxifragaceae,,,cylindrica,SEF,,,Plantae,,,,,,,"Umatilla National Forest, Starkey Range.",,,,,,,,,3fdab4e5-b53c-4b2a-80de-bf45382f9ca2,Saxifragales,Tracheophyta,,1119,,Heuchera cylindrica var. cylindrica,cylindrica,200,Oregon,,SYNONYM,VARIETY,,,,,,,Heuchera cylindrica douglas,-118.556919,45.189633
,,HUMAN_OBSERVATION,,,116201256,Magnoliopsida,Observations,,,taypowrie,,,,643.0,,,,,2022-05-08T14:57:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/116201256,Saxifragales,Tracheophyta,,,,Heuchera cylindrica Douglas,cylindrica,,British Columbia,77403,ACCEPTED,SPECIES,,,2022-05-08 14:57:00-07:00,"Mount Dufferin, Kamloops, BC, CA",,,Heuchera cylindrica douglas,-120.382753,50.679859
,,HUMAN_OBSERVATION,,,114775200,Magnoliopsida,Observations,,,alexiscarter,,,,,,,,,2022-05-02T10:35:37,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/114775200,Saxifragales,Tracheophyta,,,,Heuchera cylindrica Douglas,cylindrica,,British Columbia,77403,ACCEPTED,SPECIES,,,2022-05-02 10:35:37,"Lodgepole at Snowberry, Kamloops, BC V1S 1Z8, Canada",,,Heuchera cylindrica douglas,-120.397778,50.651944
,,HUMAN_OBSERVATION,,,115045179,Magnoliopsida,Observations,,,stjayaaa,,,,1607.0,,,,,2022-04-30T11:36:27,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/115045179,Saxifragales,Tracheophyta,,,,Heuchera cylindrica Douglas,cylindrica,,British Columbia,77403,ACCEPTED,SPECIES,,,2022-04-30 11:36:27-07:00,"Summerland, BC, CA",,,Heuchera cylindrica douglas,-119.719002,49.58758
,,HUMAN_OBSERVATION,,,116516644,Magnoliopsida,Observations,,,Tiffany Theden,,,,5.0,,,,,2022-05-10T12:55:33,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/116516644,Saxifragales,Tracheophyta,,,,Heuchera cylindrica Douglas,cylindrica,,Washington,77403,ACCEPTED,SPECIES,,,Tue May 10 2022 12:55:33 GMT-0700 (PDT),"Douglas County, US-WA, US",,,Heuchera cylindrica douglas,-119.468772,47.898382
