associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera cylindrica,272215,magnoliopsida,vascular,,,h. b. hinman,,,north america,5000.0,united states,usa,chelan,de8934f4-a136-481c-a87a-b0b202b80a31,1910-07-31,2021-09-19T20:33:48.370392+00:00,0.2463768115942029,,,,,,1758bfa7dca2b5b247e899bc5e122f593e388804,saxifragaceae,,"['dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_taxonremarks_added', 'dwc_kingdom_added', 'dwc_country_replaced', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 48.16361, 'lon': -120.90611}",,false,false,saxifragaceae,,,cylindrica,wtu,,,plantae,,,,,,,near chiwawa mountain.,,,,,,,2591.0,,286fca11-54df-4b82-9e20-d8464759b33c,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\286fca11-54df-4b82-9e20-d8464759b33c', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82734', 'b3d870af-ce63-4227-8b57-a9d3422e64e4']",s.n.,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera cylindrica var. cylindrica,cylindrica,212,washington,7734821,doubtful,species,,752f9253-d92f-4060-a413-7a794e847d7f,,,,,Heuchera cylindrica var. cylindrica,-120.90611,48.16361
,,preservedspecimen,,heuchera cylindrica,180241,magnoliopsida,vascular,,,c. l. hitchcock,,,north america,1000.0,united states,usa,idaho,de8934f4-a136-481c-a87a-b0b202b80a31,1954-08-11,2021-09-19T20:33:48.370392+00:00,0.2318840579710145,,,,,,b99111892817a2b15cd6566da8d9bcf4af888f14,saxifragaceae,,"['dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_taxonremarks_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 45.603081, 'lon': -115.689111}",,false,false,saxifragaceae,,,cylindrica,wtu,,,plantae,,,,,,,"west side of buffalo hump, circa 10 miles southwest of orogrande.",,,,,,,,,e104bfcc-fa3b-477a-9575-90868ed04bb1,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\84842', 'b379aece-62fa-4229-ade5-26faced0b060', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\e104bfcc-fa3b-477a-9575-90868ed04bb1']",20372,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera cylindrica var. cylindrica,cylindrica,223,idaho,7734821,doubtful,species,,fd21bec7-b9cd-4aef-8777-990ce4b00526,,,,,Heuchera cylindrica var. cylindrica,-115.689111,45.603081
,,preservedspecimen,,heuchera cylindrica,13433jwt,magnoliopsida,vascular,,,l. constance,,,north america,5000.0,united states,usa,valley,de8934f4-a136-481c-a87a-b0b202b80a31,1937-07-04,2021-09-19T20:33:48.370392+00:00,0.2463768115942029,,,,,,ccfeaf95d3cef63a0843693daccc4085f05f734d,saxifragaceae,,"['dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_order_added', 'dwc_taxonremarks_added', 'dwc_kingdom_added', 'dwc_country_replaced', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_phylum_added', 'dwc_taxonid_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 44.91111, 'lon': -116.09778}",,false,false,saxifragaceae,,,cylindrica,wtu,,,plantae,,,,,,,"northwest side of payete [sic: payette] lake, near mccall.",,,,,,,1524.0,,608988f6-d528-4b4d-8501-a7a89560f4ea,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\608988f6-d528-4b4d-8501-a7a89560f4ea', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\84927', '0cea2198-79bf-4d52-a54b-bb41d9742ee2']",1956,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera cylindrica var. cylindrica,cylindrica,185,idaho,7734821,doubtful,species,,12fdbb43-f524-4c3c-98e4-aedd386f1698,,,,,Heuchera cylindrica var. cylindrica,-116.09778,44.91111
,,preservedspecimen,,heuchera cylindrica,68613,magnoliopsida,vascular,,,f. o. kreager,,,north america,10000.0,united states,usa,spokane,de8934f4-a136-481c-a87a-b0b202b80a31,1902-06-30,2021-09-19T20:33:48.370392+00:00,0.2318840579710145,,,,,,d7905fc60c07c0806a031306473c7642efc1e5f1,saxifragaceae,,"['dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_taxonremarks_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 47.81351435842846, 'lon': -117.4077566171808}",,false,false,saxifragaceae,,,cylindrica,wtu,,,plantae,,,,,,,"clark springs, 10 miles north of spokane.",,,,,,,,,99d2c265-f1e4-4f6a-ae91-dbf0cc72c3e4,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\85830', '31354ad4-1a69-4573-83ed-ed9af3269e9b', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\99d2c265-f1e4-4f6a-ae91-dbf0cc72c3e4']",71,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera cylindrica var. cylindrica,cylindrica,181,washington,7734821,doubtful,species,,7d357bbc-ddad-4e76-993e-f99f50243182,,,,,Heuchera cylindrica var. cylindrica,-117.4077566171808,47.81351435842846
,,preservedspecimen,,heuchera cylindrica,25023,magnoliopsida,vascular,,,j. h. christ,,,north america,2000.0,united states,usa,custer,de8934f4-a136-481c-a87a-b0b202b80a31,1940-06-25,2021-09-19T20:34:52.838472+00:00,0.2318840579710145,,,,,,11f9e8adce2ff47d4c8608f6b5bfebe1410b4203,saxifragaceae,,"['dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_taxonremarks_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 44.246857, 'lon': -114.677018}",,true,true,saxifragaceae,,,cylindrica,id,,,plantae,,,,,,,on hillsides near robinson bar.,,,,f3464660-5314-4eff-8738-a8d60602c061,,,,,5ba90103-2b69-42b1-ac46-5116af83e270,saxifragales,tracheophyta,"['0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\879613', '117e5ffb-b161-4c05-8a44-780d216645fd', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\5ba90103-2b69-42b1-ac46-5116af83e270']",11382,0fd6e726-6828-4f62-ba8d-6ec316fe0b52,heuchera cylindrica var. cylindrica,cylindrica,177,idaho,7734821,doubtful,species,,0f1704f8-7ed1-4ffd-8d5c-9d6d8409f0bd,,,,,Heuchera cylindrica var. cylindrica,-114.677018,44.246857
,,preservedspecimen,,heuchera cylindrica,121880,magnoliopsida,vascular,,,karen l. gray,,,north america,,united states,usa,nez perce,de8934f4-a136-481c-a87a-b0b202b80a31,2002-05-23,2021-09-19T20:34:52.838472+00:00,0.21739130434782608,,,,,,98ae1e70e6f16f1a1f7f765653afe3ccbf65fc33,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_taxonremarks_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 46.220233, 'lon': -116.939833}",,true,true,saxifragaceae,,,cylindrica,id,,,plantae,,,,,,,"east of the snake river, on ridge south of redbird creek.",,,,fd3d4f92-81a4-4aa7-993d-c0dd6b1fef9d,,,756.0,,67ccc75c-856c-47b8-bda1-5b93a244b991,saxifragales,tracheophyta,"['0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\879618', 'c4270609-0390-47e8-ac0d-e91ffa8a6511', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\67ccc75c-856c-47b8-bda1-5b93a244b991']",3244,0fd6e726-6828-4f62-ba8d-6ec316fe0b52,heuchera cylindrica var. cylindrica,cylindrica,143,idaho,7734821,doubtful,species,,0d71240d-a8f3-4ec7-9da0-b268af462281,,,,,Heuchera cylindrica var. cylindrica,-116.939833,46.220233
,,preservedspecimen,,heuchera cylindrica,332647,magnoliopsida,vascular,,,maxine hagen,,,north america,10000.0,united states,usa,chelan,de8934f4-a136-481c-a87a-b0b202b80a31,1949-05-15,2021-09-19T20:33:48.370392+00:00,0.2318840579710145,,,,,,e46c5383f06e6065872c8b1c102dcf7f7a9b3687,saxifragaceae,,"['dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_taxonremarks_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 47.59639, 'lon': -120.66028}",,false,false,saxifragaceae,,,cylindrica,wtu,,,plantae,,,,,,,"wenatchee national forest. knoll at south end of tumwater canyon, east of leavenworth.",,,,,,,,,c0a2b463-05be-402b-8b96-3defad4986be,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\c0a2b463-05be-402b-8b96-3defad4986be', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82170', '666250ba-1c40-47b1-a13c-4cd64b59592b']",s.n.,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera cylindrica var. cylindrica,cylindrica,135,washington,7734821,doubtful,species,,4f40c5b5-06c6-47f4-a730-590ce68c75d8,,,,,Heuchera cylindrica var. cylindrica,-120.66028,47.59639
,,preservedspecimen,,heuchera cylindrica,8938jwt,magnoliopsida,vascular,,,j. william thompson,,,north america,10000.0,united states,usa,kittitas,de8934f4-a136-481c-a87a-b0b202b80a31,1933-07-03,2021-09-19T20:33:48.370392+00:00,0.2463768115942029,,,,,,39fea2092b4b0c548cab5c59c8e558b14cff7a17,saxifragaceae,,"['dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_taxonremarks_added', 'dwc_kingdom_added', 'dwc_country_replaced', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 47.24361, 'lon': -120.55833}",,false,false,saxifragaceae,,,cylindrica,wtu,,,plantae,,,,,,,"table mountain, wenatchee mountains.",,,,,,,1220.0,,26fac2ff-26d2-46d1-b528-b2856873fdd6,saxifragales,tracheophyta,"['5e9ded29-dc68-449b-a320-1e37a4395aca', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\84945', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\26fac2ff-26d2-46d1-b528-b2856873fdd6']",9277,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera cylindrica var. cylindrica,cylindrica,184,washington,7734821,doubtful,species,,d0fb4ca0-23f4-4ce2-87b7-80f6b13aea42,,,,,Heuchera cylindrica var. cylindrica,-120.55833,47.24361
,,preservedspecimen,,heuchera cylindrica,171120,magnoliopsida,vascular,,,j. w.  thompson,,,north america,10000.0,united states,usa,chelan,de8934f4-a136-481c-a87a-b0b202b80a31,1953-06-12,2021-09-19T20:33:48.370392+00:00,0.2463768115942029,,,,,,45a22f84da2a6e7911e546bb64daf52c4c86d1de,saxifragaceae,,"['dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_taxonremarks_added', 'dwc_kingdom_added', 'dwc_country_replaced', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 47.84111, 'lon': -120.01528}",,false,false,saxifragaceae,,,cylindrica,wtu,,,plantae,,,,,,,chelan butte.,,,,,,,1067.0,,7423063e-ea81-49e7-8eb3-2107ff3d39b2,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\7423063e-ea81-49e7-8eb3-2107ff3d39b2', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\85832', '2071771a-4261-4261-bd07-cba3bd48c5b3']",17352,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera cylindrica var. cylindrica,cylindrica,163,washington,7734821,doubtful,species,,a16fd9a3-87b8-4a0d-9694-a23e4fc66ca3,,,,,Heuchera cylindrica var. cylindrica,-120.01528,47.84111
,,preservedspecimen,,heuchera cylindrica,216583,magnoliopsida,vascular,,,a. r. kruckeberg,,,north america,10000.0,united states,usa,kittitas,de8934f4-a136-481c-a87a-b0b202b80a31,1963-06-25,2021-09-19T20:33:48.370392+00:00,0.2318840579710145,,,,,,0ac23eded6e6e8f92561a2d55c4cb0f26d73b966,saxifragaceae,,"['dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_taxonremarks_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 47.372454, 'lon': -120.877017}",,false,false,saxifragaceae,,,cylindrica,wtu,,,plantae,,,,,,,"upper beverly creek, at ca.[circa] 3 mile marker, north fork teanaway river drainage, wenatchee national forest.",,,,,,,,,75f297c3-1cde-4584-9458-ffef1a91ca00,saxifragales,tracheophyta,"['ef8a6dfb-1b09-4b40-b7da-6e0795cb3c2b', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82752', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\75f297c3-1cde-4584-9458-ffef1a91ca00']",5629,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera cylindrica var. cylindrica,cylindrica,176,washington,7734821,doubtful,species,,083ad086-f173-4029-ac47-4c7cb29b0090,,,,,Heuchera cylindrica var. cylindrica,-120.877017,47.372454
