associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera,s09-1931,magnoliopsida,vascularplants,,,richard s. mitchell,,,north america,,united states,usa,,7ddf754f-d193-4cc9-b351-99906754a03b,1954-06-24,2020-11-06T21:07:28.541071+00:00,0.2608695652173913,,,,,,bcbe44fc3e1af30fd0b97c2781640b2ef62e4b18,saxifragaceae,2101,"['geopoint_datum_missing', 'geopoint_low_precision', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'dwc_scientificnameauthorship_replaced', 'dwc_parentnameusageid_added', 'dwc_phylum_replaced', 'dwc_country_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_class_added', 'taxon_match_failed']",,heuchera,,"{'lat': 37.5, 'lon': -118.25}",,false,false,plantae;magnoliophyta;saxifragales;saxifragaceae;heuchera,,,,s,urn:lsid:biocol.org:col:15668,,plantae,,,,,,,flora of the white mountains. crevice in rocks near waterfall on chiatovitch creek. mono co. calif,,,,,,,3170.0,,s:vascularplants:s09-1931,saxifragales,tracheophyta,['fc014977-92f7-47fd-92d7-b609c39d8212\\\\s:vascularplants:s09-1931'],2101,fc014977-92f7-47fd-92d7-b609c39d8212,heuchera duranii bacig.,duranii,175,california,3032645,accepted,genus,,895902f5-d229-4496-812a-2f89e7511254,,flora of the white mountains. crevice in rocks near waterfall on chiatovitch creek. mono co. calif,,,Heuchera duranii bacig.,-118.25,37.5
,,preservedspecimen,,heuchera,123610,magnoliopsida,bot-bc,http://grscicoll.org/institutional-collection/botany,,"duran, victor",,,north america,800.0,united states,usa,inyo county,7ddf754f-d193-4cc9-b351-99906754a03b,1930-07-26,2022-07-06T11:49:20.823602+00:00,0.34782608695652173,,,,,,a23d04bf77506960d920cc989d3d82c154824941,saxifragaceae,,"['dwc_order_replaced', 'dwc_multimedia_added', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_parentnameusageid_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_phylum_replaced', 'taxon_match_failed']",,heuchera,,"{'lat': 37.5885, 'lon': -118.2275}",,true,true,"plantae, streptophyta, embryophyta, spermatophyta, angiospermae, magnoliopsida, fabidae, rosales, saxifragaceae",,,,cas,http://grscicoll.org/institution/california-academy-sciences,,plantae,,,,,,,white mountains. mcafee meadows.,,,,eff438ba-13a3-4c43-876b-56e72f35f931,,,3566.0,,urn:catalog:cas:bot-bc:123610,saxifragales,tracheophyta,"['26f7cbde-fbcb-4500-80a9-a99daa0ead9d\\\\urn:catalog:cas:ds:207811', '26f7cbde-fbcb-4500-80a9-a99daa0ead9d\\\\urn:catalog:cas:bot-bc:123610']",2817,26f7cbde-fbcb-4500-80a9-a99daa0ead9d,heuchera duranii bacig.,duranii,207,california,3032645,accepted,genus,holotype,136cdb91-1823-4282-91da-d9d19d3a3775,"july 26, 1930",,,,Heuchera duranii bacig.,-118.2275,37.5885
,,preservedspecimen,,heuchera,123611,magnoliopsida,bot-bc,http://grscicoll.org/institutional-collection/botany,,"duran, victor",,,north america,800.0,united states,usa,inyo county,7ddf754f-d193-4cc9-b351-99906754a03b,1930-07-26,2022-07-06T11:49:20.823602+00:00,0.34782608695652173,,,,,,81c04ca24e0d20b059cdeaa95036c6d42712f4a1,saxifragaceae,,"['dwc_order_replaced', 'dwc_multimedia_added', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_parentnameusageid_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_phylum_replaced', 'taxon_match_failed']",,heuchera,,"{'lat': 37.5885, 'lon': -118.2275}",,true,true,"plantae, streptophyta, embryophyta, spermatophyta, angiospermae, magnoliopsida, fabidae, rosales, saxifragaceae",,,,cas,http://grscicoll.org/institution/california-academy-sciences,,plantae,,,,,,,white mountains. mcafee meadow.,,,,4f4e1ad8-d07e-47be-8701-aecf9b44fa85,,,3566.0,,urn:catalog:cas:bot-bc:123611,saxifragales,tracheophyta,"['26f7cbde-fbcb-4500-80a9-a99daa0ead9d\\\\urn:catalog:cas:bot:221067', '26f7cbde-fbcb-4500-80a9-a99daa0ead9d\\\\urn:catalog:cas:bot-bc:123611']",2817,26f7cbde-fbcb-4500-80a9-a99daa0ead9d,heuchera duranii bacig.,duranii,207,california,3032645,accepted,genus,isotype,e63dba41-92e6-4d14-bf5a-7abcaba66967,"july 26, 1930",,,,Heuchera duranii bacig.,-118.2275,37.5885
,,PRESERVED_SPECIMEN,,,ASC00041344,Magnoliopsida,,17a53c97-835b-409e-8a9a-c9a7307a4965,,J. D. Morefield,,,,1807.0,,,Mono,,1984-07-27T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera,,,,ASC,,,Plantae,,,,,,,White Mountains; 0.8 miles N45 deg. E of Mt. Barcroft on hill above lab,,,,,,,,,7f1f9b5c-2b13-48c3-90ba-f8878fed64da,Saxifragales,Tracheophyta,,2393e,,Heuchera duranii Bacig.,duranii,,California,86723,ACCEPTED,SPECIES,,,1984-7-27,,,,Heuchera duranii bacig.,-118.240953,37.585824
,,PRESERVED_SPECIMEN,,,ASC00041343,Magnoliopsida,,17a53c97-835b-409e-8a9a-c9a7307a4965,,J. D. Morefield,,,,969.0,,,Inyo,,1984-06-25T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera,,,,ASC,,,Plantae,,,,,,,"White Mountains. In Wyman Creek canyon at Roberts Ranch, Deep Springs Valley drainage.",,,,,,,,,c4943f60-5e4d-4149-8c1d-a0b16bc9304d,Saxifragales,Tracheophyta,,2184e,,Heuchera duranii Bacig.,duranii,,California,86723,ACCEPTED,SPECIES,,,25 Jun 1984,,,,Heuchera duranii bacig.,-118.104798,37.427504
,,PRESERVED_SPECIMEN,,,11970,Magnoliopsida,,3818e0aa-b6a4-11e8-b408-001a64db2964,,"E. R. Blakley, K. K. Muller",,,,1000.0,,,Mono,,1960-07-14T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera,,,,SBBG,,,Plantae,,,,,,,"south of Crooked Crk Laboratory, White Mts",,,,,,,,,1c24281e-e4eb-43d5-8cb7-bdbedb1dc16c,Saxifragales,Tracheophyta,,3568,,Heuchera duranii Bacig.,duranii,196,California,22964,ACCEPTED,SPECIES,,,1960-7-14,,,,Heuchera duranii bacig.,-118.17,37.496999999088544
,,PRESERVED_SPECIMEN,,,CM265086,Magnoliopsida,Botany,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,,"Thorne, R.F.; Thorne, M.Z.; DeDecker, M.",,,,90.0,,,Mono,,1969-07-20T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Saxifragaceae|Heuchera,,,,CM,,,Plantae,,,,,,,"White Mts., Inyo National Forest, near headwaters of Cottonwood Creek, ca 1.5 mi S of McAfee Meadows",,,,,,,,,3034B384-B4D7-40E4-8AB1-246751CF5EEB,Saxifragales,Tracheophyta,,38631,,Heuchera duranii Bacig.,duranii,201,California,86723,ACCEPTED,SPECIES,,,20 Jul 1969,,,,Heuchera duranii bacig.,-118.018694,37.468011
,,PRESERVED_SPECIMEN,,,CSLA016614,Magnoliopsida,,9a7f2f77-3288-4d40-8baa-2f55b8450b7f,,K. L. Bell; R. E. Johnson,,,,400.0,,,Mono,,1978-07-20T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera,,,,CSLA,,,Plantae,,,,,,,"2.0 km south, 0.7 km east of the summit of Wheeler Peak, Sweetwater Range",,,,,,,,,f73cbe9b-8d65-44a2-bd7e-f515653af144,Saxifragales,Tracheophyta,,1063,,Heuchera duranii Bacig.,duranii,201,California,22964,ACCEPTED,SPECIES,,,20 Jul 1978,,,,Heuchera duranii bacig.,-119.2806,38.4003
,,PRESERVED_SPECIMEN,,,RSA0005900,Magnoliopsida,POM,3818e1d3-b6a4-11e8-b408-001a64db2964,,Victor Duran,,,,800.0,,,Mono,,1930-07-26T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera,,,,RSA,,,Plantae,,,,,,,"McAfee Meadow, White Mts.",,,,,,,,,4927c4b0-458d-4e1c-a5ab-329ed1781caf,Saxifragales,Tracheophyta,,2817,,Heuchera duranii Bacig.,duranii,207,California,22964,ACCEPTED,SPECIES,ISOTYPE,,,,,,Heuchera duranii bacig.,-118.2275,37.5885
,,PRESERVED_SPECIMEN,,,RSA0005899,Magnoliopsida,RSA,3818e1d3-b6a4-11e8-b408-001a64db2964,,Victor Duran,,,,800.0,,,Mono,,1930-07-26T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera,,,,RSA,,,Plantae,,,,,,,"McAfee Meadow, White Mts.",,,,,,,,,883767f1-7d93-476f-aacf-45e44c7f806d,Saxifragales,Tracheophyta,,2817,,Heuchera duranii Bacig.,duranii,207,California,22964,ACCEPTED,SPECIES,ISOTYPE,,,,,,Heuchera duranii bacig.,-118.2275,37.5885
,,PRESERVED_SPECIMEN,,,,Magnoliopsida,RSA,3818e1d3-b6a4-11e8-b408-001a64db2964,,Mary DeDecker,,,,1000.0,,,Mono,,1960-07-24T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera,,,,RSA,,,Plantae,,,,,,,White Mountains: Limestone ridge south of McAfee Meadow.,,,,,,,,,dd442082-3975-45ed-b11a-51421cdf66ec,Saxifragales,Tracheophyta,,1276,,Heuchera duranii Bacig.,duranii,206,California,22964,ACCEPTED,SPECIES,,,,,,,Heuchera duranii bacig.,-118.231,37.5794
,,PRESERVED_SPECIMEN,,,,Magnoliopsida,,3818c5b4-b6a4-11e8-b408-001a64db2964,,John C. Roos,,,,,,,Esmeralda,,1937-08-05T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera,,,,UCR,,,Plantae,,,,,,,"Mustang Peak, at far W end of state, north end of the White Mtns., just north of Boundary Peak",,,,,,,,,UCR-BPS-24441,Saxifragales,Tracheophyta,,1039,,Heuchera duranii Bacig.,duranii,217,Nevada,22964,ACCEPTED,SPECIES,,,1937-8-5,,,,Heuchera duranii bacig.,-118.3075,37.89222
