associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera flabellifolia,262936,magnoliopsida,vascular,,,wilhelm n. suksdorf,,,north america,7500.0,united states,usa,park,7ddf754f-d193-4cc9-b351-99906754a03b,1921-06-24,2021-09-19T20:33:48.370392+00:00,0.2028985507246377,,,,,,dd377c29561280913860c0bf81f9f56e8004e5a6,saxifragaceae,,"['geopoint_datum_missing', 'dwc_country_replaced', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_continent_added', 'dwc_taxonid_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_taxonomicstatus_added', 'dwc_order_added', 'idigbio_isocountrycode_added', 'gbif_reference_added', 'dwc_parentnameusageid_added', 'dwc_class_added', 'dwc_kingdom_added']",,heuchera,,"{'lat': 46.085888, 'lon': -110.792838}",,false,false,saxifragaceae,,,,wtu,,,plantae,,,,,,,"suksdorf's gulch, 9 miles northwest of wilsall.",,,,,,,,,2d13cc68-d6a0-4b1b-93ed-3223cafb84c8,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\2d13cc68-d6a0-4b1b-93ed-3223cafb84c8', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82589', 'b3735298-7f1c-494c-afdc-86efe9fbe8d5']",243,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera flabellifolia,flabellifolia,175,montana,3032674,accepted,species,,b8f3ce9a-5aa8-4589-9aa3-503b59647cd3,,,,,Heuchera flabellifolia,-110.792838,46.085888
,,preservedspecimen,,heuchera flabellifolia,262937,magnoliopsida,vascular,,,wilhelm n. suksdorf,,,north america,7500.0,united states,usa,park,7ddf754f-d193-4cc9-b351-99906754a03b,1921-08-10,2021-09-19T20:33:48.370392+00:00,0.2028985507246377,,,,,,0b56a580cf1e0aaf154accead3ce3fc481419582,saxifragaceae,,"['geopoint_datum_missing', 'dwc_country_replaced', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_continent_added', 'dwc_taxonid_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_taxonomicstatus_added', 'dwc_order_added', 'idigbio_isocountrycode_added', 'gbif_reference_added', 'dwc_parentnameusageid_added', 'dwc_class_added', 'dwc_kingdom_added']",,heuchera,,"{'lat': 46.085888, 'lon': -110.792838}",,false,false,saxifragaceae,,,,wtu,,,plantae,,,,,,,"suksdorf's gulch, 9 miles northwest of wilsall.",,,,,,,,,f362cc75-1eb2-4db2-b16b-358d257d25f2,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\f362cc75-1eb2-4db2-b16b-358d257d25f2', '804a7606-7318-4f0e-b514-4bbc5dffdbcd', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82593']",243,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera flabellifolia,flabellifolia,222,montana,3032674,accepted,species,,65e35637-3cf7-48c4-a839-3021a9c7559d,,,,,Heuchera flabellifolia,-110.792838,46.085888
,,preservedspecimen,,heuchera flabellifolia,217021,magnoliopsida,vascular,,,c. l. hitchcock,,,north america,1000.0,united states,usa,custer,7ddf754f-d193-4cc9-b351-99906754a03b,1964-05-28,2021-09-19T20:33:48.370392+00:00,0.21739130434782608,,,,,,f9357b52f7cff4b48cc1823378b980c7d1211a51,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 44.504718, 'lon': -114.251137}",,false,false,saxifragaceae,,,,wtu,,,plantae,,,,,,,1 mile west of challis.,,,,,,,,,bf1ed26a-fa1f-4336-82bb-a5039f6431ca,saxifragales,tracheophyta,"['2932ccaa-a2f5-44bf-a152-3a04eb8cde0c', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82599', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\bf1ed26a-fa1f-4336-82bb-a5039f6431ca']",23621,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera flabellifolia,flabellifolia,149,idaho,3032674,accepted,species,,c1149c27-8fa5-4647-910d-6f54fd8ea31e,,,,,Heuchera flabellifolia,-114.251137,44.504718
,,preservedspecimen,,heuchera flabellifolia,129786,magnoliopsida,vascular,,,r. l. lingenfelter,,,north america,1000.0,united states,usa,clark,7ddf754f-d193-4cc9-b351-99906754a03b,1948-06-04,2021-09-19T20:33:48.370392+00:00,0.21739130434782608,,,,,,0fc297df1bdbcbc0f829bf3b297b999e3afff874,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 44.29707, 'lon': -112.15432}",,false,false,saxifragaceae,,,,wtu,,,plantae,,,,,,,"close to rim of crater, u.s. sheep experiment station.",,,,,,,,,c0a62299-f9d9-4495-b4a3-52132cc43c7e,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\c0a62299-f9d9-4495-b4a3-52132cc43c7e', '60ce0747-b76d-49bf-bf62-5ad5d2e2c1a8', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82586']",543,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera flabellifolia,flabellifolia,156,idaho,3032674,accepted,species,,0ddee78e-223f-494a-9468-eb61ec7e3963,,,,,Heuchera flabellifolia,-112.15432,44.29707
,,preservedspecimen,,heuchera flabellifolia,91070,magnoliopsida,vascular,,,"c. l. hitchcock, c. v. muhlick",,,north america,8000.0,united states,usa,granite,7ddf754f-d193-4cc9-b351-99906754a03b,1944-06-20,2021-09-19T20:33:48.370392+00:00,0.21739130434782608,,,,,,cda2cd2f5a937fa45f67bea53f956ce614a09938,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 46.447971, 'lon': -113.29423}",,false,false,saxifragaceae,,,,wtu,,,plantae,,,,,,,about 8 miles north of philipsburg.,,,,,,,,,2a35578a-94cb-4ff8-928a-86f91e7d672c,saxifragales,tracheophyta,"['68838ac1-f7ae-4e4e-a719-64519b8575cc', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82604', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\2a35578a-94cb-4ff8-928a-86f91e7d672c']",9147,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera flabellifolia,flabellifolia,172,montana,3032674,accepted,species,,f2522425-1f64-47f3-a3ee-4ad154f246ae,,,,,Heuchera flabellifolia,-113.29423,46.447971
,,preservedspecimen,,heuchera flabellifolia,41617,magnoliopsida,vascular,,,f. d. kelsey,,,north america,,united states,usa,,7ddf754f-d193-4cc9-b351-99906754a03b,1887-06-06,2021-09-19T20:33:45.892790+00:00,0.17391304347826086,,,,,,41d407bb095a35405c3d21dab6d56a080f607127,saxifragaceae,,"['geopoint_datum_missing', 'dwc_country_replaced', 'dwc_phylum_added', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_multimedia_added', 'dwc_continent_added', 'dwc_taxonid_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_order_added', 'idigbio_isocountrycode_added', 'gbif_reference_added', 'dwc_parentnameusageid_added', 'dwc_class_added', 'dwc_kingdom_added']",,heuchera,,"{'lat': 46.5958, 'lon': -112.027}",,true,true,saxifragaceae,,,,srp,,,plantae,,,,,,,"collected near helena, montana",,,,ecbd6d4e-cf3a-44bd-a347-9a03a728c52c,,,,,0d18c861-3bcf-48d2-9ad7-40f566569b5f,saxifragales,tracheophyta,"['f84d528a-7d08-467e-b532-ace707316f1d\\\\2077575', '93e595ff-3d07-4f9d-afbd-a198dfc62e9f', 'f84d528a-7d08-467e-b532-ace707316f1d\\\\0d18c861-3bcf-48d2-9ad7-40f566569b5f']",s.n.,f84d528a-7d08-467e-b532-ace707316f1d,heuchera flabellifolia,flabellifolia,157,montana,3032674,accepted,species,,b8f936e1-4a9a-452e-8ad7-f57d9992ac2e,,,,,Heuchera flabellifolia,-112.027,46.5958
,,preservedspecimen,,heuchera flabellifolia,161550,magnoliopsida,vascular,,,arthur cronquist,,,north america,805.0,united states,usa,carbon,7ddf754f-d193-4cc9-b351-99906754a03b,1955-07-22,2021-09-19T20:33:48.370392+00:00,0.2318840579710145,,,,,,c777883c14ea8d1e79fa9f961595e4574604921a,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 45.05717563452756, 'lon': -109.431687022079}",,false,false,saxifragaceae,,,,wtu,,,plantae,,,,,,,"along wyoming creek just above rock creek, 13 miles southwest of red lodge.",,,,,,,2226.0,,ec20931f-9448-42b0-9b0d-54ea259e99d6,saxifragales,tracheophyta,"['ae75deee-261e-4a34-b6d9-839c0d5e4fe2', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82614', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\ec20931f-9448-42b0-9b0d-54ea259e99d6']",7963,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera flabellifolia,flabellifolia,203,montana,3032674,accepted,species,,4a8cce3d-a443-4075-aa9f-0359e2b65f36,,,,,Heuchera flabellifolia,-109.431687022079,45.05717563452756
,,preservedspecimen,,heuchera flabellifolia,34225,magnoliopsida,vascular,,,p. h. hawkins,,,north america,2544.0,united states,usa,stillwater,7ddf754f-d193-4cc9-b351-99906754a03b,1918-05-22,2021-09-19T20:36:48.123276+00:00,0.2028985507246377,,,,,,c0bd2a3165b0cb57830bd871bb3039f458b163f8,saxifragaceae,,"['geopoint_datum_missing', 'dwc_country_replaced', 'dwc_phylum_added', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_multimedia_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_taxonid_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_order_added', 'idigbio_isocountrycode_added', 'gbif_reference_added', 'dwc_class_added', 'dwc_kingdom_added']",,heuchera,,"{'lat': 45.52056, 'lon': -109.44222}",,true,true,saxifragaceae,,,,mont,,,plantae,,,,,,,absarokee.,,,,3a729c7c-2842-48e5-95f3-66a392043337,,,,,76d75548-7562-4904-bf20-46a5f55419be,saxifragales,tracheophyta,"['9b725e43-93c9-423b-adf8-a11d08a83d13\\\\1783448', '9b725e43-93c9-423b-adf8-a11d08a83d13\\\\76d75548-7562-4904-bf20-46a5f55419be', 'a1b27406-4e06-4272-9bdc-fea4672feb39']",s.n.,9b725e43-93c9-423b-adf8-a11d08a83d13,heuchera flabellifolia,flabellifolia,142,montana,3032674,accepted,species,,103ede87-e390-4f02-886c-e54735f495f2,,,,,Heuchera flabellifolia,-109.44222,45.52056
,,preservedspecimen,,heuchera flabellifolia,114364,magnoliopsida,vascular,,,c. l. hitchcock,,,north america,10000.0,united states,usa,meagher,7ddf754f-d193-4cc9-b351-99906754a03b,1947-07-08,2021-09-19T20:33:48.370392+00:00,0.2028985507246377,,,,,,d5bd297ed24dfc2821e6f7d17c844ec428b039c5,saxifragaceae,,"['geopoint_datum_missing', 'dwc_country_replaced', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_continent_added', 'dwc_taxonid_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_order_added', 'idigbio_isocountrycode_added', 'gbif_reference_added', 'dwc_parentnameusageid_added', 'dwc_class_added', 'dwc_kingdom_added']",,heuchera,,"{'lat': 46.836597, 'lon': -111.301976}",,false,false,saxifragaceae,,,,wtu,,,plantae,,,,,,,"top of dry range, 35 miles northwest of white sulphur springs.",,,,,,,,,5060db4d-fe25-4232-b060-3494c3b67819,saxifragales,tracheophyta,"['ae6db4df-16d5-4a32-a738-45784ec6bf72', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82581', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\5060db4d-fe25-4232-b060-3494c3b67819']",16249,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera flabellifolia,flabellifolia,189,montana,3032674,accepted,species,,6fa8b12b-9801-4eb3-8c61-6a6c14f49553,,,,,Heuchera flabellifolia,-111.301976,46.836597
,,preservedspecimen,,heuchera flabellifolia,45100,magnoliopsida,vascular,,,"c. l. hitchcock, roland v. rethke, r. van raadshooven",,,north america,10000.0,united states,usa,custer,7ddf754f-d193-4cc9-b351-99906754a03b,1938-06-23,2021-09-19T20:33:48.370392+00:00,0.2318840579710145,,,,,,70a876a91aff0bfa1a0791ee3c490270b114a153,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 44.063135, 'lon': -113.429531}",,false,false,saxifragaceae,,,,wtu,,,plantae,,,,,,,"big creek, 3 miles northeast of patterson.",,,,,,,1677.0,,f8b4fc16-76ab-4e80-90b0-70da70837462,saxifragales,tracheophyta,"['8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\f8b4fc16-76ab-4e80-90b0-70da70837462', '02436ab4-cfd6-400b-83a9-59a89af4b2cd', '8b0c1f4b-9de7-4521-98c2-983e0bfd33c7\\\\82579']",3742,8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,heuchera flabellifolia,flabellifolia,174,idaho,3032674,accepted,species,,b0922784-fde8-4f3c-9562-72b4f3409823,,,,,Heuchera flabellifolia,-113.429531,44.063135
