associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera longiflora,186026,magnoliopsida,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,c. w. short,,,north america,,united states,usa,bath co.,7ddf754f-d193-4cc9-b351-99906754a03b,,2021-08-21T02:58:27.774336+00:00,0.2028985507246377,,,,,,fbfced7d207b18bdac6654bac1e8dead318addc8,saxifragaceae,,"['geopoint_datum_missing', 'dwc_country_replaced', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_phylum_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_class_added']",,heuchera,,"{'lat': 38.144974, 'lon': -83.742667}",,true,true,,,,,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,plantae,,,,,,,,,,,d55a83fb-9666-4a51-8670-4dc02cad8abf,,,,,80b66ab7-8f25-4704-8607-e3e6bc19709b,saxifragales,tracheophyta,['36d35b23-113e-4633-90ec-19d265a3b5f6\\\\80b66ab7-8f25-4704-8607-e3e6bc19709b'],s.n.,36d35b23-113e-4633-90ec-19d265a3b5f6,heuchera longiflora rydb.,longiflora,,kentucky,3032690,accepted,species,holotype,9ceb6d5a-3e5c-4c55-a691-a71fadc611e1,,,,,Heuchera longiflora rydb.,-83.742667,38.144974
,,HUMAN_OBSERVATION,,,108053755,Magnoliopsida,Observations,,,Jan Newton,,,,28957.0,,,,,2021-04-26T18:03:59,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/108053755,Saxifragales,Tracheophyta,,,,Heuchera longiflora Rydb.,longiflora,,Alabama,163741,ACCEPTED,SPECIES,,,2021-04-26 18:03:59,"Alabama, US",,,Heuchera longiflora rydb.,-85.983081,33.432891
,,HUMAN_OBSERVATION,,,80029250,Magnoliopsida,Observations,,,Elias,,,,28210.0,,,,,2021-05-22T17:04:30,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/80029250,Saxifragales,Tracheophyta,,,,Heuchera longiflora Rydb.,longiflora,,Ohio,163741,ACCEPTED,SPECIES,,,2021-05-22 17:04:30,"Ohio, US",,,Heuchera longiflora rydb.,-83.558933,38.603747
,,HUMAN_OBSERVATION,,,78944336,Magnoliopsida,Observations,,,Elias,,,,28210.0,,,,,2021-05-15T16:56:17,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/78944336,Saxifragales,Tracheophyta,,,,Heuchera longiflora Rydb.,longiflora,,Ohio,163741,ACCEPTED,SPECIES,,,2021-05-15 16:56:17,"Ohio, US",,,Heuchera longiflora rydb.,-83.46652,38.787578
,,PRESERVED_SPECIMEN,,,400777,Magnoliopsida,MVSC,urn:lsid:biocol.org:col:15103,,James C. Parks,,,,,,,Letcher Co.,,1975-05-22T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,MVSC,,,Plantae,,,,,,,Near bridge over U.S. 119 at Harlan Co. line.  Found on west side of Mtn. Above quarry.,,,,,,,,,https://natureatlas.org/plants/mvsc/app/record.php?RID=400777,Saxifragales,Tracheophyta,,3268,,Heuchera longiflora Rydb.,longiflora,,Kentucky,,ACCEPTED,SPECIES,,,1975-05-22,,,,Heuchera longiflora rydb.,-82.907258,37.0
,,PRESERVED_SPECIMEN,,,400776,Magnoliopsida,MVSC,urn:lsid:biocol.org:col:15103,,James C. Parks,,,,1000.0,,,Letcher Co.,,1975-05-22T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,MVSC,,,Plantae,,,,,,,Near bridge over U.S 119 at Harlan Co. line.  Found on west side on Mtn. Above quarry.,,,,,,,,,https://natureatlas.org/plants/mvsc/app/record.php?RID=400776,Saxifragales,Tracheophyta,,3268,,Heuchera longiflora Rydb.,longiflora,,Kentucky,,ACCEPTED,SPECIES,,,1975-05-22,,,,Heuchera longiflora rydb.,-82.909061,37.0
,,HUMAN_OBSERVATION,,,81806486,Magnoliopsida,Observations,,,John Brown,,,,28300.0,,,,,2021-06-04T17:06:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/81806486,Saxifragales,Tracheophyta,,,,Heuchera longiflora Rydb.,longiflora,,West Virginia,163741,ACCEPTED,SPECIES,,,2021/06/04 5:06 PM UTC,"West Virginia, US",,,Heuchera longiflora rydb.,-82.218564,38.002701
,,HUMAN_OBSERVATION,,,80010308,Magnoliopsida,Observations,,,Joshua Eastlake,,,,28210.0,,,,,2021-05-23T09:15:56,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/80010308,Saxifragales,Tracheophyta,,,,Heuchera longiflora Rydb.,longiflora,,Ohio,163741,ACCEPTED,SPECIES,,,Sun May 23 2021 09:15:56 GMT-0400 (EDT),"Ohio, US",,,Heuchera longiflora rydb.,-83.44797,38.711917
,,HUMAN_OBSERVATION,,,79718488,Magnoliopsida,Observations,,,biomania,,,,90.0,,,,,2021-05-21T09:15:32,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/79718488,Saxifragales,Tracheophyta,,,,Heuchera longiflora Rydb.,longiflora,,Kentucky,163741,ACCEPTED,SPECIES,,,Fri May 21 2021 09:15:32 GMT-0400 (EDT),"Daniel Boone National Forest, Campton, KY, US",,,Heuchera longiflora rydb.,-83.661103,37.751172
,,HUMAN_OBSERVATION,,,78170486,Magnoliopsida,Observations,,,csupshaw,,,,28534.0,,,,,2021-05-09T14:03:14,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/78170486,Saxifragales,Tracheophyta,,,,Heuchera longiflora Rydb.,longiflora,,Tennessee,163741,ACCEPTED,SPECIES,,,Sun May 09 2021 14:03:14 GMT-0400 (EDT),United States,,,Heuchera longiflora rydb.,-82.682324,36.455185
,,HUMAN_OBSERVATION,,,49036133,Magnoliopsida,Observations,,,Jeremy Schewe,,,,28649.0,,,,,2020-06-07T17:11:07,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/49036133,Saxifragales,Tracheophyta,,,,Heuchera longiflora Rydb.,longiflora,,North Carolina,163741,ACCEPTED,SPECIES,,,Sun Jun 07 2020 17:11:07 GMT-0400 (EDT),"North Carolina, US",,,Heuchera longiflora rydb.,-83.163367,35.645845
,,HUMAN_OBSERVATION,,,49047553,Magnoliopsida,Observations,,,Owen Carson,,,,28649.0,,,,,2020-06-09T12:47:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/49047553,Saxifragales,Tracheophyta,,,,Heuchera longiflora Rydb.,longiflora,,North Carolina,163741,ACCEPTED,SPECIES,,,2020/06/09 12:47 PM EDT,"North Carolina, US",,,Heuchera longiflora rydb.,-82.798665,35.630101
,,HUMAN_OBSERVATION,,,49047813,Magnoliopsida,Observations,,,Owen Carson,,,,28649.0,,,,,2020-06-09T13:16:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/49047813,Saxifragales,Tracheophyta,,,,Heuchera longiflora Rydb.,longiflora,,North Carolina,163741,ACCEPTED,SPECIES,,,2020/06/09 1:16 PM EDT,"North Carolina, US",,,Heuchera longiflora rydb.,-82.702952,35.724858
,,HUMAN_OBSERVATION,,,48689796,Magnoliopsida,Observations,,,sourwood,,,,28620.0,,,,,2020-06-06T15:26:56,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/48689796,Saxifragales,Tracheophyta,,,,Heuchera longiflora Rydb.,longiflora,,North Carolina,163741,ACCEPTED,SPECIES,,,Sat Jun 06 2020 15:26:56 GMT-0400 (EDT),"North Carolina, US",,,Heuchera longiflora rydb.,-82.804244,35.82522
,,HUMAN_OBSERVATION,,,49267995,Magnoliopsida,Observations,,,bluewing,,,,28649.0,,,,,2020-06-11T14:28:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/49267995,Saxifragales,Tracheophyta,,,,Heuchera longiflora Rydb.,longiflora,,North Carolina,163741,ACCEPTED,SPECIES,,,2020/06/11 2:28 PM EDT,"North Carolina, US",,,Heuchera longiflora rydb.,-82.550975,35.61472
,,HUMAN_OBSERVATION,,,48685520,Magnoliopsida,Observations,,,Terri Koontz,,,,228.0,,,,,2020-06-06T08:34:37,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/48685520,Saxifragales,Tracheophyta,,,,Heuchera longiflora Rydb.,longiflora,,Kentucky,163741,ACCEPTED,SPECIES,,,2020-06-06 8:34:37 AM EDT,"Patsey, KY 40380, USA",,,Heuchera longiflora rydb.,-83.682857,37.822301
,,HUMAN_OBSERVATION,,,48715011,Magnoliopsida,Observations,,,jakelly,,,,28620.0,,,,,2020-06-06T15:43:12,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/48715011,Saxifragales,Tracheophyta,,,,Heuchera longiflora Rydb.,longiflora,,North Carolina,163741,ACCEPTED,SPECIES,,,Sat Jun 06 2020 15:43:12 GMT-0400 (EDT),"North Carolina, US",,,Heuchera longiflora rydb.,-82.984777,35.992955
,,HUMAN_OBSERVATION,,,46486047,Magnoliopsida,Observations,,,smeierotto,,,,,,,,,2020-05-17T09:52:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/46486047,Saxifragales,Tracheophyta,,,,Heuchera longiflora Rydb.,longiflora,,Kentucky,163741,ACCEPTED,SPECIES,,,2020/05/17 9:52 AM EDT,"Rowan, Kentucky, United States",,,Heuchera longiflora rydb.,-83.512535,38.124747
