associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,PRESERVED_SPECIMEN,,,,Magnoliopsida,,3818ca8b-b6a4-11e8-b408-001a64db2964,,L.E. Eighme,,,,,,,Glenn,,1950-07-03T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera micrantha,,,hartwegii,PUA,,,Plantae,,,,,,,Local landmark: Mt. St. John. Stonyford Quad.,,,,,,,,,7197fa81-73da-4b74-8cc5-e4b8e5cae76e,Saxifragales,Tracheophyta,,,,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,micrantha,184,California,48436,ACCEPTED,VARIETY,,,7/3/1950,,,,Heuchera micrantha var. hartwegii (s.watson ex wheelock) rosend.,-122.695,39.433333
,,HUMAN_OBSERVATION,,,28459666,Magnoliopsida,Observations,,,Remington Jackson,,,,8.0,,,,,2019-06-08T09:40:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,,,,hartwegii,iNaturalist,,,Plantae,,,,,,,,,,,,,,,,https://www.inaturalist.org/observations/28459666,Saxifragales,Tracheophyta,,,,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,micrantha,,Oregon,241023,ACCEPTED,VARIETY,,,2019/06/08 9:40 AM PDT,"Tillamook County, OR, USA",,,Heuchera micrantha var. hartwegii (s.watson ex wheelock) rosend.,-123.960889,45.744508
,,PRESERVED_SPECIMEN,,,RSA0063101,Magnoliopsida,POM,3818e1d3-b6a4-11e8-b408-001a64db2964,,L. S. Rose,,,,4000.0,,,San Mateo,,1941-07-02T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera micrantha,,,hartwegii,RSA,,,Plantae,,,,,,,Kings Mountain.,,,,,,,,,76fa3297-e7ab-46d6-adc6-ff01c79376fc,Saxifragales,Tracheophyta,,41289,,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,micrantha,183,California,48436,ACCEPTED,VARIETY,,,,,,,Heuchera micrantha var. hartwegii (s.watson ex wheelock) rosend.,-122.323502,37.440557
,,PRESERVED_SPECIMEN,,,RSA0066163,Magnoliopsida,RSA,3818e1d3-b6a4-11e8-b408-001a64db2964,,F. R. Fosberg,,,,3079.0,,,Santa Cruz,,1931-06-04T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera micrantha,,,hartwegii,RSA,,,Plantae,,,,,,,Near Glenwood. Santa Cruz Mts.,,,,,,,,,62e294cb-51d8-41ef-9689-879c451a93e1,Saxifragales,Tracheophyta,,S5225,,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,micrantha,155,California,48436,ACCEPTED,VARIETY,,,,,,,Heuchera micrantha var. hartwegii (s.watson ex wheelock) rosend.,-121.98652,37.1092
,,PRESERVED_SPECIMEN,,,RSA0063148,Magnoliopsida,RSA,3818e1d3-b6a4-11e8-b408-001a64db2964,,John H. Thomas,,,,,,,Santa Cruz,,1959-06-11T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera micrantha,,,hartwegii,RSA,,,Plantae,,,,,,,"Along Hwy 9, 1 mile NW of Ben Lomond.",,,,,,,,,3d8a1629-aef5-4dbb-9386-a8e9a6a8361e,Saxifragales,Tracheophyta,,7995,,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,micrantha,162,California,48436,ACCEPTED,VARIETY,,,,,,,Heuchera micrantha var. hartwegii (s.watson ex wheelock) rosend.,-122.1,37.125
,,PRESERVED_SPECIMEN,,,RSA0063139,Magnoliopsida,RSA,3818e1d3-b6a4-11e8-b408-001a64db2964,,John H. Thomas,,,,,,,Santa Cruz,,1953-05-23T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera micrantha,,,hartwegii,RSA,,,Plantae,,,,,,,Near summit of Santa Cruz - Los Gatos Hwy. State Hwy 17.,,,,,,,,,37ea8a33-2286-4498-a054-62660392cb5f,Saxifragales,Tracheophyta,,3159,,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,micrantha,143,California,48436,ACCEPTED,VARIETY,,,,,,,Heuchera micrantha var. hartwegii (s.watson ex wheelock) rosend.,-121.986667,37.141667
,,PRESERVED_SPECIMEN,,,RSA0063144,Magnoliopsida,POM,3818e1d3-b6a4-11e8-b408-001a64db2964,,A. D. E. Elmer,,,,150.0,,,San Mateo,,,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera micrantha,,,hartwegii,RSA,,,Plantae,,,,,,,Pilarcitos Stone Dam.,,,,,,,,,75280595-a538-4e2d-8829-117aa7fdb94c,Saxifragales,Tracheophyta,,4762,,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,micrantha,,California,48436,ACCEPTED,VARIETY,,,1903-07,,,,Heuchera micrantha var. hartwegii (s.watson ex wheelock) rosend.,-122.42252,37.54821
,,PRESERVED_SPECIMEN,,,RSA0066157,Magnoliopsida,RSA,3818e1d3-b6a4-11e8-b408-001a64db2964,,Misses Patterson; Wiltz,,,,1648.0,,,Monterey,,1907-06-12T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera micrantha,,,hartwegii,RSA,,,Plantae,,,,,,,Near Pacific Grove.,,,,,,,,,74578ecc-3dab-4129-9ef2-72872885edeb,Saxifragales,Tracheophyta,,s.n.,,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,micrantha,163,California,48436,ACCEPTED,VARIETY,,,,,,,Heuchera micrantha var. hartwegii (s.watson ex wheelock) rosend.,-121.91923,36.61966
,,PRESERVED_SPECIMEN,,,RSA0063138,Magnoliopsida,POM,3818e1d3-b6a4-11e8-b408-001a64db2964,,Marcus E. Jones,,,,3000.0,,,Sonoma,,1924-04-25T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera micrantha,,,hartwegii,RSA,,,Plantae,,,,,,,Cloverdale.,,,,,,,,,74035bec-1706-4565-a86f-9b65b4303df3,Saxifragales,Tracheophyta,,s.n.,,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,micrantha,116,California,48436,ACCEPTED,VARIETY,,,,,,,Heuchera micrantha var. hartwegii (s.watson ex wheelock) rosend.,-123.0132,38.8048
,,PRESERVED_SPECIMEN,,,RSA0063135,Magnoliopsida,POM,3818e1d3-b6a4-11e8-b408-001a64db2964,,H. F. Copeland,,,,6250.0,,,Alameda,,1929-05-18T00:00:00,,,,,,,,,Saxifragaceae,,,,Heuchera,,,,,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Myrothamnanae|Saxifragales|Saxifragaceae|Heuchera|Heuchera micrantha,,,hartwegii,RSA,,,Plantae,,,,,,,Hills back of Oakland.,,,,,,,,,67015b35-e884-4a52-b9f8-fb2247341017,Saxifragales,Tracheophyta,,513,,Heuchera micrantha var. hartwegii (S.Watson ex Wheelock) Rosend.,micrantha,138,California,48436,ACCEPTED,VARIETY,,,,,,,Heuchera micrantha var. hartwegii (s.watson ex wheelock) rosend.,-122.1625,37.7981
