associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera novomexicana,102907,magnoliopsida,vascular,,,r. spellenberg,,,north america,800.0,united states,usa,sierra,7ddf754f-d193-4cc9-b351-99906754a03b,1990-09-02,2021-09-19T20:34:52.838472+00:00,0.2318840579710145,,,,,,6b81f86212d71f3078a59e4b01e171b552a96052,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 33.30117748259238, 'lon': -106.52446356842493}",,true,true,saxifragaceae,,,,id,,,plantae,,,,,,,"ne sierra co.: white sands missile range, 70 air km ene of truth or consequences, n end of san andres mts., salinas peak.",,,,cd3a1b10-ac32-4ea3-8cc5-7261a9269fcf,,,2720.0,,40dea100-837f-46b8-ae91-454daa37ea1e,saxifragales,tracheophyta,"['0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\40dea100-837f-46b8-ae91-454daa37ea1e', '1f5630b0-6098-4c26-9449-6d008f2fbc2d', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\913868']",10582,0fd6e726-6828-4f62-ba8d-6ec316fe0b52,heuchera novomexicana,novomexicana,245,new mexico,3032676,accepted,species,,c53a9efa-d868-48bf-85be-90915424fe72,,,,,Heuchera novomexicana,-106.52446356842493,33.30117748259238
,,preservedspecimen,,heuchera novomexicana,utc00113496,magnoliopsida,utc,06bf658d-f555-4c9c-ab93-fc2d7db7086e,,james mitchell,,,north america,969.0,united states,usa,grant,7ddf754f-d193-4cc9-b351-99906754a03b,1952-06-15,2022-04-27T12:28:49.805009+00:00,0.2898550724637681,,,,,,15a309d5f706b6746adfdc3bc4b1b52549bc53be,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 33.0698, 'lon': -107.8343}",,false,false,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,utah state university,,,plantae,,,,,,,1/2 mi e redstone airplane signal peak,,,,,,,2377.0,,usu:utc:113496,saxifragales,tracheophyta,"['urn:uuid:3b4bc1ab-db2f-4fee-aa13-6f1ffbeb8601', '215eeaf0-0a88-409e-a75d-aec98b7c41eb\\\\usu:utc:113496', '215eeaf0-0a88-409e-a75d-aec98b7c41eb\\\\205579', '215eeaf0-0a88-409e-a75d-aec98b7c41eb\\\\urn:uuid:3b4bc1ab-db2f-4fee-aa13-6f1ffbeb8601', '215eeaf0-0a88-409e-a75d-aec98b7c41eb\\\\3b4bc1ab-db2f-4fee-aa13-6f1ffbeb8601']",37,215eeaf0-0a88-409e-a75d-aec98b7c41eb,heuchera novomexicana,novomexicana,167,new mexico,3032676,accepted,species,,873b00bf-fd61-4011-93b7-eb9abdeac405,,,,,Heuchera novomexicana,-107.8343,33.0698
,,preservedspecimen,,heuchera novomexicana,utc00140903,magnoliopsida,utc,06bf658d-f555-4c9c-ab93-fc2d7db7086e,,leila m. shultz; john s. shultz,,,north america,969.0,united states,usa,sierra,7ddf754f-d193-4cc9-b351-99906754a03b,1974-09-01,2022-04-27T12:28:49.805009+00:00,0.30434782608695654,,,,,,5d3a9d02161ba2168a4a1c2d83ca14fee9b7d678,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_continent_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 33.0698, 'lon': -107.8343}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,utah state university,,,plantae,,,,,,,"lincoln national forest; mimbres lake, black mts",,,,04909ac0-6bfa-4aea-9b0a-0a819364ca6e,,,3018.0,,usu:utc:140903,saxifragales,tracheophyta,"['urn:uuid:64202333-1694-44ac-ba98-60e33cd2f28d', '215eeaf0-0a88-409e-a75d-aec98b7c41eb\\\\usu:utc:140903', '215eeaf0-0a88-409e-a75d-aec98b7c41eb\\\\213332', '215eeaf0-0a88-409e-a75d-aec98b7c41eb\\\\urn:uuid:64202333-1694-44ac-ba98-60e33cd2f28d', '215eeaf0-0a88-409e-a75d-aec98b7c41eb\\\\64202333-1694-44ac-ba98-60e33cd2f28d']",1356,215eeaf0-0a88-409e-a75d-aec98b7c41eb,heuchera novomexicana,novomexicana,244,new mexico,3032676,accepted,species,,3f206d7b-d760-43f1-aa3a-0de0bd812398,01 september 1974,,,,Heuchera novomexicana,-107.8343,33.0698
,,preservedspecimen,,heuchera novomexicana,364784,magnoliopsida,kanu,,,kelly kindscher,,,north america,,united states,usa,grant,7ddf754f-d193-4cc9-b351-99906754a03b,2005-06-01,2022-03-11T03:30:07.872873+00:00,0.2753623188405797,,,,,,e6620f3a9e949160fc149f6c6190026e44fbe5ff,saxifragaceae,2393,"['dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_reference_added', 'gbif_vernacularname_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 33.02718, 'lon': -108.155}",,false,false,,,,,ku,http://grbio.org/cool/iakn-125z,,plantae,,,,,,,lake roberts,,,,,,,,,040acce5-ba8b-11e3-8cfe-90b11c41863e,saxifragales,tracheophyta,['d7b285d4-2643-45ee-9302-b0c3d51dda5c\\\\040acce5-ba8b-11e3-8cfe-90b11c41863e'],,d7b285d4-2643-45ee-9302-b0c3d51dda5c,heuchera novomexicana,novomexicana,152,new mexico,3032676,accepted,species,,80cc1233-174e-4177-9a68-3b8a141f82f7,,,,,Heuchera novomexicana,-108.155,33.02718
,,preservedspecimen,,heuchera novomexicana,khd00034020,magnoliopsida,khd,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,,loraine yeatts; dick yeatts,,,north america,,united states,usa,catron,7ddf754f-d193-4cc9-b351-99906754a03b,2003-05-21,2022-02-07T13:15:06.876501+00:00,0.2463768115942029,,,,,,67baa1b664603c6407e9be69870a260087d8af69,saxifragaceae,,"['geopoint_datum_missing', 'dwc_country_replaced', 'dwc_taxonomicstatus_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 33.578649, 'lon': -108.968557}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,dbg,,,plantae,,,,,,,"along a trail on steep north facing slope against a boulder in dense aspen forest.in pyroclastic volcanics, in the apache national forest, brushy mountains, pueblo creek ca. 0.5 miles downstream from pueblo park.",,,,e476eaf8-3153-4366-bae4-844a9cd1bd52,,,1951.0,,bd1e57f6-2de7-4d9d-8224-8f5c6f812016,saxifragales,tracheophyta,"['urn:uuid:bd1e57f6-2de7-4d9d-8224-8f5c6f812016', '5835f642-2560-4e3e-9c25-741a12cc3fe8\\\\urn:uuid:bd1e57f6-2de7-4d9d-8224-8f5c6f812016', '5835f642-2560-4e3e-9c25-741a12cc3fe8\\\\3198430', '5835f642-2560-4e3e-9c25-741a12cc3fe8\\\\bd1e57f6-2de7-4d9d-8224-8f5c6f812016']",4888,5835f642-2560-4e3e-9c25-741a12cc3fe8,heuchera novomexicana,novomexicana,141,new mexico,3032676,accepted,species,,7cd3597e-baf9-487e-b2aa-f8245715d2fa,,,,,Heuchera novomexicana,-108.968557,33.578649
,,preservedspecimen,,heuchera novomexicana,utc00115288,magnoliopsida,utc,06bf658d-f555-4c9c-ab93-fc2d7db7086e,,jim mitchel,,,north america,785.0,united states,usa,grant,7ddf754f-d193-4cc9-b351-99906754a03b,1952-06-15,2022-04-27T12:28:49.805009+00:00,0.30434782608695654,,,,,,24cd6ba860743fdb926bbf794cbdfb0b4613c180,saxifragaceae,,"['gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 32.924474, 'lon': -108.179087}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,utah state university,,,plantae,,,,,,,e of redstone on signal pk,,,,5215729f-0f8e-4ce5-8d93-976cea5544cc,,,2377.0,,usu:utc:115288,saxifragales,tracheophyta,"['urn:uuid:1a06f438-4b6e-4acb-86d5-953df9e53da6', '215eeaf0-0a88-409e-a75d-aec98b7c41eb\\\\usu:utc:115288', '215eeaf0-0a88-409e-a75d-aec98b7c41eb\\\\205921', '215eeaf0-0a88-409e-a75d-aec98b7c41eb\\\\urn:uuid:1a06f438-4b6e-4acb-86d5-953df9e53da6', '215eeaf0-0a88-409e-a75d-aec98b7c41eb\\\\1a06f438-4b6e-4acb-86d5-953df9e53da6']",118,215eeaf0-0a88-409e-a75d-aec98b7c41eb,heuchera novomexicana,novomexicana,167,new mexico,3032676,accepted,species,,ed7ee5c0-0844-4732-9581-7c67fb144c18,15 june 1952,,,,Heuchera novomexicana,-108.179087,32.924474
,,preservedspecimen,,heuchera novomexicana,utep:herb:29561,magnoliopsida,herb,120,,collector(s): richard d. worthington,,,north america,320.0,united states,usa,grant county,7ddf754f-d193-4cc9-b351-99906754a03b,1985-06-09,2022-04-27T13:01:15.032991+00:00,0.36231884057971014,,,,,,5ab3e2e2ee2d1ada791c964b8a823c7429b19328,saxifragaceae,,"['geopoint_datum_error', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_order_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'idigbio_isocountrycode_added', 'dwc_scientificnameauthorship_added', 'dwc_taxonid_added', 'dwc_parentnameusageid_added']",,heuchera,,"{'lat': 32.913273, 'lon': -107.780603}",,true,true,"plantae, tracheophyta, magnoliopsida, rosales, saxifragaceae, heuchera,",,,,utep,utep,,plantae,,,,,,,"wright's cabin recreation area, iron creek spring",,,2294.0,c3069a9f-ab6e-406d-a70c-b2063bfdc4ee,,,2278.0,,http://arctos.database.museum/guid/utep:herb:29561?seid=5210111,saxifragales,tracheophyta,['e36691ec-c4f8-4bec-b331-b48ffa82ff49\\\\http://arctos.database.museum/guid/utep:herb:29561?seid=5210111'],13224,e36691ec-c4f8-4bec-b331-b48ffa82ff49,heuchera novomexicana,novomexicana,160,new mexico,3032676,accepted,species,,23f67734-511a-4bb1-ab6e-b4156185f0a9,09 jun 1985,"new mexico, grant co., wright's cabin rec. area, iron creek spring (t16s, r9w, centr. sec.16) ca. 7500 ft",,,Heuchera novomexicana,-107.780603,32.913273
,,preservedspecimen,,heuchera novomexicana,des00038743,magnoliopsida,,edb9860c-c481-4d19-88cc-224a536ebcd4,,dale a. zimmerman; allan d. zimmerman,,,north america,5000.0,united states,usa,grant,7ddf754f-d193-4cc9-b351-99906754a03b,1972-09-02,2022-04-27T13:34:04.836071+00:00,0.2463768115942029,,,,,,4fcf7efcf93be7e5aadf37e26fcc6864dd6e5fbe,saxifragaceae,,"['geopoint_datum_missing', 'dwc_country_replaced', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 32.768789, 'lon': -107.727458}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,des,,,plantae,,,,,,,"black range, ca. 32 miles east of silver city.",,,,091de641-2e03-4862-80cf-092b9bf115e0,,,2040.0,,6b55a417-afb6-4e60-bf3c-f057950ba82c,saxifragales,tracheophyta,"['urn:uuid:6b55a417-afb6-4e60-bf3c-f057950ba82c', 'c569e530-7322-40b8-9b66-1e0ed96fefcb\\\\urn:uuid:6b55a417-afb6-4e60-bf3c-f057950ba82c', 'c569e530-7322-40b8-9b66-1e0ed96fefcb\\\\3075077', 'c569e530-7322-40b8-9b66-1e0ed96fefcb\\\\6b55a417-afb6-4e60-bf3c-f057950ba82c']",daz-adz-2025,c569e530-7322-40b8-9b66-1e0ed96fefcb,heuchera novomexicana,novomexicana,246,new mexico,3032676,accepted,species,,842d688e-5fc5-48b5-a311-c87757697c4c,,,,,Heuchera novomexicana,-107.727458,32.768789
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera novomexicana,-108.428656,32.585654
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heuchera novomexicana,-108.413943,32.611826
