associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera cylindrica alpina,8907,magnoliopsida,vascular,,,j. w. blankinship,,,north america,1716.0,united states,usa,beaverhead,7ddf754f-d193-4cc9-b351-99906754a03b,1902-06-26,2021-09-19T20:36:48.123276+00:00,0.21739130434782608,,,,,,011d9e7474544d49c325e41ff0f4e412cbf4679e,saxifragaceae,,"['dwc_infraspecificepithet_added', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 44.55876, 'lon': -112.3066}",,true,true,saxifragaceae,,,alpina,mont,,,plantae,,,,,,,monida.,,,,fbe93fcd-4ad9-4bc8-b857-4c6bb0c058c9,,,2744.0,,cea66209-a96f-4c2b-8355-3541a3c5f876,saxifragales,tracheophyta,"['9b725e43-93c9-423b-adf8-a11d08a83d13\\\\cea66209-a96f-4c2b-8355-3541a3c5f876', 'a55b97e2-7483-46b7-b5ea-f1ec339f16d2', '9b725e43-93c9-423b-adf8-a11d08a83d13\\\\1783321']",s.n.,9b725e43-93c9-423b-adf8-a11d08a83d13,heuchera ovalifolia,cylindrica,177,montana,3753062,accepted,variety,,84d762f6-e268-460d-8170-21e1a79bfaed,,,,,Heuchera ovalifolia,-112.3066,44.55876
,,preservedspecimen,,heuchera cylindrica alpina,7976,magnoliopsida,vascular,,,f. g. renner,,,north america,894.0,united states,usa,chelan,7ddf754f-d193-4cc9-b351-99906754a03b,1925-05-24,2021-09-19T20:34:10.929673+00:00,0.21739130434782608,,,,,,73b67883680d1279ce65511f1936c2a2dd659dc2,saxifragaceae,,"['dwc_infraspecificepithet_added', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 47.591958, 'lon': -120.419241}",,true,true,saxifragaceae,,,alpina,ewu,,,plantae,,,,,,,wenatchee national forest. head of nahahum canyon.,,,,018a30d8-a6bf-4999-9a15-3d69823f5a11,,,884.0,,5cd7dfdc-332b-40d8-a088-5bc6962a1186,saxifragales,tracheophyta,"['cc4ad0de-e3e4-401a-863f-395d0b85a3ef', 'e701ecce-f9ab-445f-afcb-24f279efbc9c\\\\5cd7dfdc-332b-40d8-a088-5bc6962a1186', 'e701ecce-f9ab-445f-afcb-24f279efbc9c\\\\3273056']",672,e701ecce-f9ab-445f-afcb-24f279efbc9c,heuchera ovalifolia,cylindrica,144,washington,3753062,accepted,variety,,14fb6c31-5682-43f5-b3cd-82e59838d7e4,,,,,Heuchera ovalifolia,-120.419241,47.591958
,,preservedspecimen,,heuchera cylindrica alpina,48346,magnoliopsida,vascular,,,f. b. cotner,,,north america,4552.0,united states,usa,jefferson,7ddf754f-d193-4cc9-b351-99906754a03b,1954-07-04,2021-09-19T20:36:48.123276+00:00,0.2028985507246377,,,,,,b4e9574f733b02f36154165d0be2a82b397b6b27,saxifragaceae,,"['dwc_infraspecificepithet_added', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 46.097938, 'lon': -112.124822}",,true,true,saxifragaceae,,,alpina,mont,,,plantae,,,,,,,"whitehall, twenty miles north.",,,,1be42947-888f-485f-89e4-33b883df801f,,,,,cd12052a-7c75-4052-95a2-fa008a1494bd,saxifragales,tracheophyta,"['9b725e43-93c9-423b-adf8-a11d08a83d13\\\\1783349', 'caaad6c5-bc68-403d-a263-c169d3689303', '9b725e43-93c9-423b-adf8-a11d08a83d13\\\\cd12052a-7c75-4052-95a2-fa008a1494bd']",s.n.,9b725e43-93c9-423b-adf8-a11d08a83d13,heuchera ovalifolia,cylindrica,185,montana,3753062,accepted,variety,,11f7394b-6f4a-4beb-83d5-27abce7425d5,,,,,Heuchera ovalifolia,-112.124822,46.097938
,,preservedspecimen,,heuchera cylindrica alpina,11059,magnoliopsida,vascular,,,judge simons,,,north america,2427.0,united states,usa,yakima,7ddf754f-d193-4cc9-b351-99906754a03b,1998-06-27,2021-09-19T20:35:29.669030+00:00,0.2028985507246377,,,,,,5703f415d2cfe09a5f5d837029c6eec1a3aafc47,saxifragaceae,,"['dwc_infraspecificepithet_added', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 46.864991, 'lon': -121.362043}",,true,true,saxifragaceae,,,alpina,psm,,,plantae,,,,,,,boulder creek.,,,,b09f1308-ae66-40bf-b5ad-0c2be5cf2731,,,,,99352547-ed88-4705-86fc-48cecf7aec6d,saxifragales,tracheophyta,"['662b1aa5-9c19-4eb9-9766-1da78a117456\\\\99352547-ed88-4705-86fc-48cecf7aec6d', '662b1aa5-9c19-4eb9-9766-1da78a117456\\\\2150974', 'b0a42b6f-d9d1-4405-8966-d2e83b9dd084']",s.n.,662b1aa5-9c19-4eb9-9766-1da78a117456,heuchera ovalifolia,cylindrica,178,washington,3753062,accepted,variety,,f81ba469-6f33-4409-ad73-81ccf934fae4,,,,,Heuchera ovalifolia,-121.362043,46.864991
,,preservedspecimen,,heuchera cylindrica alpina,7875,magnoliopsida,vascular,,,h. c. leraas,,,north america,3036.0,united states,usa,chelan,7ddf754f-d193-4cc9-b351-99906754a03b,1964-06-17,2021-09-19T20:36:23.870265+00:00,0.18840579710144928,,,,,,67e1e011734f07a70928e64842840abe57c95620,saxifragaceae,,"['geopoint_datum_missing', 'dwc_infraspecificepithet_added', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 48.199335, 'lon': -120.774078}",,true,true,saxifragaceae,,,alpina,plu,,,plantae,,,,,,,holden.,,,,39b6fa50-2e38-4424-8b89-00ea154c32aa,,,,,2d816dc1-9cad-455e-bfb1-4c87170ebac8,saxifragales,tracheophyta,"['414a5bf5-061e-4e47-8410-0f76a04f7d1d\\\\1953584', '6bb4b2a5-8074-4564-814a-e7c6c92b75f9', '414a5bf5-061e-4e47-8410-0f76a04f7d1d\\\\2d816dc1-9cad-455e-bfb1-4c87170ebac8']",s.n.,414a5bf5-061e-4e47-8410-0f76a04f7d1d,heuchera ovalifolia,cylindrica,169,washington,3753062,accepted,variety,,7248e5e6-a13e-4934-a9ee-22b9511277d6,,,,,Heuchera ovalifolia,-120.774078,48.199335
,,preservedspecimen,,heuchera cylindrica alpina,7974,magnoliopsida,vascular,,,frank b. lenzie,,,north america,12500.0,united states,usa,chelan,7ddf754f-d193-4cc9-b351-99906754a03b,1917-06-14,2021-09-19T20:34:10.929673+00:00,0.21739130434782608,,,,,,2d10928251d5bce44faab2782fea0a08c97f1d7c,saxifragaceae,,"['dwc_infraspecificepithet_added', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 47.68469, 'lon': -120.736441}",,true,true,saxifragaceae,,,alpina,ewu,,,plantae,,,,,,,forest: wenatchee. chiwaukum ranger sta. pasture.,,,,29072e8c-ae78-47a4-bfbd-441ef5825672,,,555.0,,dc36e9e6-36ed-4d98-9a6a-abb8effb8c26,saxifragales,tracheophyta,"['14d34c83-c680-4093-9103-412593232c1e', 'e701ecce-f9ab-445f-afcb-24f279efbc9c\\\\dc36e9e6-36ed-4d98-9a6a-abb8effb8c26', 'e701ecce-f9ab-445f-afcb-24f279efbc9c\\\\3273058']",248,e701ecce-f9ab-445f-afcb-24f279efbc9c,heuchera ovalifolia,cylindrica,165,washington,3753062,accepted,variety,,1eb2f857-0d4f-42fe-b18c-d139a8f701dd,,,,,Heuchera ovalifolia,-120.736441,47.68469
,,preservedspecimen,,heuchera cylindrica alpina,7978,magnoliopsida,vascular,,,douglas hole,,,north america,2300.0,united states,usa,chelan,7ddf754f-d193-4cc9-b351-99906754a03b,1935-07-26,2021-09-19T20:34:10.929673+00:00,0.21739130434782608,,,,,,4cd2a813f8130393bed05d31e282316fc48762aa,saxifragaceae,,"['dwc_infraspecificepithet_added', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'dwc_multimedia_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_phylum_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 47.320766, 'lon': -120.514617}",,true,true,saxifragaceae,,,alpina,ewu,,,plantae,,,,,,,wenatchee national forest. mt. lillium [lillian].,,,,838bd7b4-cada-40e9-bbda-c63c0f0733b3,,,1829.0,,8514b9a7-5715-4558-8109-10c9770122cb,saxifragales,tracheophyta,"['e701ecce-f9ab-445f-afcb-24f279efbc9c\\\\3273054', 'e701ecce-f9ab-445f-afcb-24f279efbc9c\\\\8514b9a7-5715-4558-8109-10c9770122cb', 'd33a6e52-b08a-4ff8-8b69-e7b00eecf1ba']",h-27,e701ecce-f9ab-445f-afcb-24f279efbc9c,heuchera ovalifolia,cylindrica,207,washington,3753062,accepted,variety,,6cb38d7e-f167-426f-971b-e5459f8950d7,,,,,Heuchera ovalifolia,-120.514617,47.320766
,,preservedspecimen,,heuchera cylindrica alpina,7975,magnoliopsida,vascular,,,frank b. lenzie,,,north america,650.0,united states,usa,chelan,7ddf754f-d193-4cc9-b351-99906754a03b,1916-08-19,2021-09-19T20:34:10.929673+00:00,0.21739130434782608,,,,,,ebfc79b2b58e632925e429822892f982b625ca4b,saxifragaceae,,"['dwc_infraspecificepithet_added', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 47.726427, 'lon': -120.885368}",,true,true,saxifragaceae,,,alpina,ewu,,,plantae,,,,,,,wenatchee national forest. north shore of chiwaukum lake,,,,1dcc839c-dc91-40ed-afb8-a5eb7133449a,,,1585.0,,39118356-a405-45a8-83ec-c6c3fa2fe507,saxifragales,tracheophyta,"['e701ecce-f9ab-445f-afcb-24f279efbc9c\\\\3273057', 'e701ecce-f9ab-445f-afcb-24f279efbc9c\\\\39118356-a405-45a8-83ec-c6c3fa2fe507', '8ac44fea-e8b1-456f-a8ba-8e726d92df82']",67,e701ecce-f9ab-445f-afcb-24f279efbc9c,heuchera ovalifolia,cylindrica,232,washington,3753062,accepted,variety,,a50dfa5c-0de3-4eff-a147-d08711bb2c9a,,,,,Heuchera ovalifolia,-120.885368,47.726427
,,preservedspecimen,,heuchera cylindrica alpina,26963,magnoliopsida,vascular,,,william h. baker,,,north america,2639.0,united states,usa,nez perce,7ddf754f-d193-4cc9-b351-99906754a03b,1954-05-15,2021-09-19T20:34:52.838472+00:00,0.21739130434782608,,,,,,c4ec27a901598c01681864e089a401a82f39bfc0,saxifragaceae,,"['dwc_infraspecificepithet_added', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_vernacularname_added', 'dwc_continent_added', 'idigbio_isocountrycode_added', 'dwc_order_added', 'dwc_kingdom_added', 'dwc_phylum_added', 'dwc_specificepithet_replaced', 'dwc_taxonomicstatus_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'gbif_taxon_corrected', 'gbif_canonicalname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 46.503306, 'lon': -116.527938}",,true,true,saxifragaceae,,,alpina,id,,,plantae,,,,,,,"above the clearwater river, 1 mile east of lenore.",,,,bcd94491-2ed0-4e71-b639-63026dd60935,,,,,bbd5d884-93ba-4d03-83ba-a992d9c2eae3,saxifragales,tracheophyta,"['0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\914166', '0fd6e726-6828-4f62-ba8d-6ec316fe0b52\\\\bbd5d884-93ba-4d03-83ba-a992d9c2eae3', '140647d0-3649-46d2-bb5b-0aa60c98a0cf']",11406,0fd6e726-6828-4f62-ba8d-6ec316fe0b52,heuchera ovalifolia,cylindrica,135,idaho,3753062,accepted,variety,,3eebaaef-021e-441d-8a15-2a900a0d7a9b,"may 15, 1954",,,,Heuchera ovalifolia,-116.527938,46.503306
,,preservedspecimen,,heuchera cylindrica alpina,us 3689034,magnoliopsida,us,urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8,,r. g. stolze,,,north america,,united states,usa,,7ddf754f-d193-4cc9-b351-99906754a03b,,2022-04-27T13:37:19.029763+00:00,0.2318840579710145,,,,,,30948504147206cebc2af27dd1eec58bd6783dfe,saxifragaceae,,"['geopoint_datum_missing', 'geopoint_low_precision', 'dwc_taxonrank_added', 'gbif_vernacularname_added', 'dwc_multimedia_added', 'dwc_phylum_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'dwc_scientificnameauthorship_replaced', 'dwc_specificepithet_replaced', 'dwc_parentnameusageid_added', 'dwc_infraspecificepithet_added', 'dwc_taxonid_added', 'gbif_reference_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_taxon_corrected', 'dwc_class_replaced']",,heuchera,,"{'lat': 45.17, 'lon': -109.5}",,true,true,"plantae, dicotyledonae, saxifragales, saxifragaceae, heucheroideae",,1.0,alpina,us,urn:lsid:biocol.org:col:15463,,plantae,,,,,,,"beartooth mountains - carbon county. along west fork of rock creek, through canyon separating silver run and red lodge plateaus, at end of forest service road no. 71; 15 miles west of red lodge.",,,,d0e2af19-2646-465c-9fcd-f61782c862cd,,,2500.0,,http://n2t.net/ark:/65665/3f4ca1c1e-5dd5-4506-aa0e-1a50f659425f,saxifragales,tracheophyta,['a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\\\http://n2t.net/ark:/65665/3f4ca1c1e-5dd5-4506-aa0e-1a50f659425f'],1206,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,heuchera ovalifolia,cylindrica,201,montana,3753062,accepted,variety,,02ed4fe3-fd67-467d-a29a-f621b0c2834c,,,,,Heuchera ovalifolia,-109.5,45.17
